,tr_build_id,tr_duration,Build_Result,Actual_Result,Index
0,56983913,8623,0,1,1
1,57160858,5733,0,0,2
2,57167789,7338,0,1,3
3,57168560,5275,1,0,4
4,57310132,7978,0,1,5
5,57311251,7678,0,1,6
6,57315421,7019,1,1,7
7,57354279,8151,1,1,8
8,57466450,716,1,0,9
9,57471304,8174,0,1,10
10,57474406,4951,1,0,11
11,57603124,12509,0,1,12
12,57614848,9390,0,1,13
13,57627536,8341,1,1,14
14,57664357,8060,0,1,15
15,57715928,10261,0,1,16
16,57720875,8413,0,1,17
17,57940320,10436,0,1,18
18,57987425,8413,0,1,19
19,58135766,7426,0,1,20
20,58136378,5514,1,0,21
21,58136789,7390,0,1,22
22,58137702,7584,1,1,23
23,58139871,6223,1,0,24
24,58260502,8314,0,1,25
25,58402520,8976,0,1,26
26,58521948,7968,0,1,27
27,58720843,5865,0,0,28
28,58728848,7817,0,1,29
29,58930015,8425,0,1,30
30,58942062,8099,0,1,31
31,58947729,9049,0,1,32
32,58955325,8914,0,1,33
33,59064782,7747,1,1,34
34,59100019,4540,1,0,35
35,59101026,7567,0,1,36
36,59102052,8263,0,1,37
37,59274353,8885,0,1,38
38,59309873,6760,1,0,39
39,59586128,8421,0,1,40
40,59599476,7860,0,1,41
41,59605069,8813,0,1,42
42,59630231,3783,1,0,43
43,59698976,8073,1,1,44
44,59759728,8098,0,1,45
45,59852136,8400,1,1,46
46,59961492,7418,1,1,47
47,59962542,7517,0,1,48
48,60084401,5262,0,0,49
49,60726224,7850,1,1,50
50,60897084,6524,0,0,51
51,61052602,8019,0,1,52
52,61058876,7656,0,1,53
53,61110708,7715,0,1,54
54,61121250,7980,0,1,55
55,61210454,7782,0,1,56
56,61264997,7786,0,1,57
57,61265080,8228,0,1,58
58,61295907,4835,0,0,59
59,61304399,8270,0,1,60
60,61361982,8222,0,1,61
61,61390063,7404,0,1,62
62,61625751,8517,1,1,63
63,61641955,7565,0,1,64
64,61673422,8429,0,1,65
65,61697161,7213,0,1,66
66,61733622,8501,0,1,67
67,61745233,7246,0,1,68
68,61759298,9756,1,0,69
69,61770876,7530,0,1,70
70,61775531,8009,0,0,71
71,61789071,7330,0,1,72
72,61899930,7557,0,1,73
73,61901123,7611,0,1,74
74,61942358,7086,0,1,75
75,61984914,7414,0,1,76
76,61995727,7801,0,1,77
77,62157020,7249,1,1,78
78,62166794,9141,0,0,79
79,62202790,9297,0,1,80
80,62275080,8596,0,1,81
81,62279091,2560,1,0,82
82,62282523,6583,0,1,83
83,62286954,6303,0,1,84
84,62288506,6276,0,0,85
85,62290988,6655,1,1,86
86,62361005,6779,0,1,87
87,62376625,5884,0,1,88
88,62480763,4795,1,0,89
89,62815905,6331,0,1,90
90,63017513,4303,0,0,91
91,63045342,6312,0,1,92
92,63211536,6210,0,0,93
93,63219296,6727,0,1,94
94,63224725,6983,0,1,95
95,63271533,5661,0,1,96
96,63396934,6544,0,1,97
97,63492997,7018,0,1,98
98,63574851,6133,1,0,99
99,63864710,6502,0,1,100
100,63866642,5965,0,0,101
101,63868893,6305,0,1,102
102,64068095,6136,0,0,103
103,64145620,6797,1,1,104
104,64148592,6232,0,0,105
105,64148698,6632,0,1,106
106,64148836,6693,1,0,107
107,64162292,6663,0,1,108
108,64167648,6818,0,1,109
109,64220829,6783,1,0,110
110,64268101,6518,0,1,111
111,64395777,6083,0,0,112
112,64512244,6878,0,1,113
113,64534796,6834,1,0,114
114,64625243,6798,0,1,115
115,64682697,5970,0,0,116
116,64683281,7072,1,1,117
117,64703866,6021,1,1,118
118,64715681,6461,0,1,119
119,64723349,6727,0,1,120
120,64735428,6009,1,1,121
121,64797186,6329,1,1,122
122,64885979,6596,1,1,123
123,65080636,4465,1,0,124
124,65208297,7150,1,1,125
125,65234151,6596,0,0,126
126,65357106,6539,0,1,127
127,65674984,6229,0,1,128
128,65685493,6427,0,1,129
129,65799807,4997,0,0,130
130,66083739,6625,0,1,131
131,66092920,6401,0,1,132
132,66108218,4207,0,0,133
133,66317493,6204,0,1,134
134,66584305,6462,0,1,135
135,66594128,7046,1,1,136
136,66756304,6195,0,1,137
137,66951850,6353,0,1,138
138,66985518,7005,0,1,139
139,67273449,6337,1,0,140
140,67288611,6364,0,1,141
141,67304824,5754,0,0,142
142,67384451,7336,1,1,143
143,67386770,6814,0,0,144
144,67432393,6913,0,1,145
145,67446405,6393,0,1,146
146,67502844,7284,0,1,147
147,67527490,6511,0,0,148
148,67535804,6786,0,1,149
149,67554603,6234,1,1,150
150,67555117,6055,1,1,151
151,67597697,6463,0,1,152
152,67644913,6457,0,1,153
153,67644945,6587,1,1,154
154,67674000,7192,0,1,155
155,67796191,7333,0,1,156
156,67835746,6989,0,1,157
157,67865476,7502,1,1,158
158,67867316,7003,1,1,159
159,67957581,6968,0,1,160
160,68134243,6851,0,0,161
161,68143447,7025,0,1,162
162,68250589,6688,0,1,163
163,68333958,7037,0,1,164
164,68397745,6148,0,0,165
165,69052174,6643,1,1,166
166,69079981,7109,0,1,167
167,69204104,6710,0,1,168
