,tr_build_id,tr_duration,Build_Result,Actual_Result,Index
0,28767109,592,0,1,1
1,28767191,581,0,1,2
2,28767209,576,0,1,3
3,28768754,500,0,1,4
4,28773378,531,0,1,5
5,28875694,760,0,1,6
6,28950688,601,0,1,7
7,28965413,890,0,1,8
8,28966964,785,0,1,9
9,28968237,822,0,1,10
10,28975808,600,0,1,11
11,29042180,592,0,1,12
12,29075589,551,0,1,13
13,29122993,621,0,1,14
14,29129025,519,0,1,15
15,29133303,451,0,1,16
16,29145459,480,0,1,17
17,29306305,1039,0,1,18
18,29313957,1240,0,1,19
19,29315682,1122,0,1,20
20,29317901,481,0,1,21
21,29327831,548,0,1,22
22,29331589,529,0,1,23
23,29331765,538,0,1,24
24,29333116,543,0,1,25
25,29335331,941,0,1,26
26,29336736,979,0,1,27
27,29340597,828,0,0,28
28,29342245,541,0,1,29
29,29390637,498,0,1,30
30,29399972,427,0,1,31
31,29409077,474,0,1,32
32,29417132,733,0,1,33
33,29417510,781,0,1,34
34,29422930,667,0,1,35
35,29484967,601,0,1,36
36,29492685,619,0,1,37
37,29716116,535,0,1,38
38,29890446,608,0,1,39
39,29895340,653,0,1,40
40,29987022,995,0,1,41
41,30052970,758,0,1,42
42,30056738,719,0,1,43
43,30057467,695,0,1,44
44,30058899,610,0,1,45
45,30063861,660,0,1,46
46,30159642,571,0,1,47
47,30159681,653,0,1,48
48,30183489,701,0,1,49
49,30248972,710,0,1,50
50,30260756,736,0,1,51
51,30276243,688,0,1,52
52,30415594,605,0,1,53
53,30465414,1015,0,1,54
54,30535680,578,0,1,55
55,30535760,814,0,1,56
56,30633809,616,0,1,57
57,30636942,590,0,1,58
58,30642459,596,0,1,59
59,30644917,242,0,0,60
60,30647258,580,0,1,61
61,30735153,619,0,1,62
62,30764183,663,0,1,63
63,30836223,549,0,1,64
64,31052249,698,0,1,65
65,31122569,668,0,1,66
66,31206837,558,0,1,67
67,31218547,580,0,1,68
68,31231459,809,0,1,69
69,31238134,605,0,1,70
70,31249494,652,0,1,71
71,31254649,647,0,1,72
72,31317270,681,0,1,73
73,31318963,849,0,1,74
74,31324289,555,0,1,75
75,31332744,733,0,1,76
76,31336644,594,0,1,77
77,31339838,638,0,1,78
78,31340276,531,0,1,79
79,31343724,755,0,1,80
80,31344451,771,0,1,81
81,31345566,702,0,1,82
82,31413771,536,0,1,83
83,31416076,530,0,1,84
84,31416545,555,0,1,85
85,31416737,540,0,1,86
86,31418505,570,0,1,87
87,31419058,474,0,1,88
88,31425276,561,0,1,89
89,31425827,439,0,1,90
90,31428322,401,0,1,91
91,31436643,497,0,1,92
92,31439387,514,0,1,93
93,31440310,552,0,1,94
94,31440686,1066,0,1,95
95,31595285,878,0,1,96
96,31596812,980,0,1,97
97,31611004,954,0,1,98
98,31615182,917,0,1,99
99,31629325,1178,0,1,100
100,31722143,1100,0,1,101
101,31733881,1154,0,1,102
102,31788683,1038,0,1,103
103,31810038,951,0,1,104
104,31812275,1036,0,1,105
105,31817750,1204,0,1,106
106,31818369,1310,0,1,107
107,31821504,1069,0,1,108
108,31822386,1071,0,1,109
109,31891173,909,0,1,110
110,31901105,1098,0,1,111
111,31914597,1129,0,1,112
112,31924078,1060,0,1,113
113,31924121,1066,0,1,114
114,31931678,1303,0,1,115
115,31984156,807,0,1,116
116,31988427,432,0,0,117
117,31992163,1054,0,1,118
118,31993666,1094,0,1,119
119,31995633,1183,0,1,120
120,31996662,1018,0,1,121
121,32003207,1011,0,1,122
122,32004065,698,0,1,123
123,32009721,1048,0,1,124
124,32215907,1236,0,1,125
125,32216984,993,0,1,126
126,32217574,1155,0,1,127
127,32219133,1274,0,1,128
128,32219225,1170,0,1,129
129,32318842,1073,0,1,130
130,32341860,1272,0,1,131
131,32343730,1191,0,1,132
132,32348525,1037,0,1,133
133,32418917,1053,0,1,134
134,32419988,944,0,1,135
135,32424436,531,0,0,136
136,32425364,959,0,1,137
137,32430179,1914,0,1,138
138,32449977,1636,0,1,139
139,32519219,1202,0,1,140
140,32522106,1075,0,1,141
141,32535907,993,0,1,142
142,32552485,1199,0,1,143
143,32561201,1050,0,1,144
144,32563880,1153,0,1,145
145,32627237,1048,0,1,146
146,32629010,1019,0,1,147
147,32631130,921,0,1,148
148,32638902,1243,0,1,149
149,32656542,1009,0,1,150
150,32767629,811,0,1,151
151,32841781,887,0,1,152
152,32845677,927,0,1,153
153,32847799,950,0,1,154
154,33050811,937,0,1,155
155,33054441,1179,0,1,156
156,33055837,1041,0,1,157
157,33070019,984,0,1,158
158,33073217,959,0,1,159
159,33083162,934,0,1,160
160,33084215,1879,0,1,161
161,33086342,1138,0,1,162
162,33086754,1053,0,1,163
163,33157861,907,0,1,164
164,33163096,885,0,1,165
165,33167124,1037,0,1,166
166,33172678,962,0,1,167
167,33174163,987,0,1,168
168,33174217,1032,0,1,169
169,33183840,3105,0,1,170
170,33260348,2166,0,1,171
171,33266246,1049,0,1,172
172,33270659,958,0,1,173
173,33283153,1298,0,1,174
174,33316689,999,0,1,175
175,33472905,907,0,0,176
176,33473451,1246,0,1,177
177,33474136,2413,0,1,178
178,33475192,980,0,1,179
179,33476680,2374,0,1,180
180,33480877,994,1,1,181
181,33490053,2781,0,1,182
182,33492048,1139,0,1,183
183,33501978,1053,0,1,184
184,33576104,836,0,1,185
185,33582032,977,0,1,186
186,33587508,1141,0,1,187
187,33591465,915,0,1,188
188,33787206,959,0,1,189
189,33793261,1183,0,1,190
190,33799312,1061,0,1,191
191,33877013,934,0,1,192
192,33881070,785,0,1,193
193,33905016,1012,0,1,194
194,34081921,998,0,1,195
195,34166237,1065,0,1,196
196,34173468,1110,0,1,197
197,34183405,1037,0,1,198
198,34185483,973,0,1,199
199,34201162,1577,0,1,200
200,34262792,978,0,1,201
201,34496419,1027,0,1,202
202,34513321,1048,0,1,203
203,34832881,1175,0,1,204
