batch_num,total_builds,batch_builds
,,
4,5,5
8,10,5
12,11,1
16,12,1
20,13,1
24,14,1
28,15,1
32,16,1
36,17,1
40,18,1
44,19,1
48,24,5
52,25,1
56,30,5
60,31,1
64,32,1
68,37,5
72,38,1
76,43,5
80,44,1
84,49,5
88,54,5
92,55,1
96,56,1
100,61,5
104,62,1
108,67,5
112,68,1
116,69,1
120,74,5
124,79,5
128,80,1
132,85,5
136,90,5
140,91,1
144,92,1
148,97,5
152,102,5
156,107,5
160,112,5
164,113,1
168,114,1
172,115,1
176,120,5
180,125,5
184,126,1
188,127,1
192,128,1
196,133,5
200,138,5
204,143,5
208,148,5
212,153,5
216,158,5
220,159,1
224,160,1
228,165,5
232,170,5
236,171,1
240,172,1
244,173,1
248,178,5
252,179,1
256,180,1
260,185,5
264,190,5
268,191,1
272,192,1
276,193,1
280,198,5
284,199,1
288,200,1
292,201,1
296,206,5
300,211,5
304,212,1
308,217,5
312,222,5
316,223,1
320,228,5
324,233,5
328,234,1
332,235,1
336,236,1
340,241,5
344,246,5
348,247,1
352,248,1
356,249,1
360,250,1
364,255,5
368,260,5
372,261,1
376,266,5
380,271,5
384,276,5
388,281,5
392,286,5
396,291,5
400,292,1
404,297,5
408,298,1
412,299,1
416,300,1
420,301,1
424,302,1
428,303,1
432,304,1
436,305,1
440,310,5
444,311,1
448,312,1
452,313,1
456,318,5
460,323,5
464,324,1
468,329,5
472,330,1
476,331,1
480,332,1
484,337,5
488,342,5
492,347,5
496,348,1
500,353,5
504,354,1
508,355,1
512,356,1
516,357,1
520,362,5
524,367,5
528,372,5
532,373,1
536,378,5
540,379,1
544,380,1
548,385,5
552,386,1
556,387,1
560,392,5
564,393,1
568,394,1
572,399,5
576,404,5
580,405,1
584,410,5
588,411,1
592,412,1
596,417,5
600,422,5
604,423,1
608,424,1
612,425,1
616,430,5
620,435,5
624,436,1
628,437,1
632,438,1
636,443,5
640,444,1
644,445,1
648,450,5
652,451,1
656,452,1
660,453,1
664,458,5
668,463,5
672,464,1
676,469,5
680,470,1
684,471,1
688,476,5
692,481,5
696,486,5
700,491,5
704,492,1
708,493,1
712,494,1
716,495,1
720,500,54,5,5
8,10,5
12,11,1
16,12,1
20,13,1
24,14,1
28,15,1
32,16,1
36,17,1
40,18,1
44,19,1
48,24,5
52,25,1
56,30,5
60,31,1
64,32,1
68,37,5
72,38,1
76,43,5
80,44,1
84,49,5
88,54,5
92,55,1
96,56,1
100,61,5
104,62,1
108,67,5
112,68,1
116,69,1
120,74,5
124,79,5
128,80,1
132,85,5
136,90,5
140,91,1
144,92,1
148,97,5
152,102,5
156,107,5
160,112,5
164,113,1
168,114,1
172,115,1
176,120,5
180,125,5
184,126,1
188,127,1
192,128,1
196,133,5
200,138,5
204,143,5
208,148,5
212,153,5
216,158,5
220,159,1
224,160,1
228,165,5
232,170,5
236,171,1
240,172,1
244,173,1
248,178,5
252,179,1
256,180,1
260,185,5
264,190,5
268,191,1
272,192,1
276,193,1
280,198,5
284,199,1
288,200,1
292,201,1
296,206,5
300,211,5
304,212,1
308,217,5
312,222,5
316,223,1
320,228,5
324,233,5
328,234,1
332,235,1
336,236,1
340,241,5
344,246,5
348,247,1
352,248,1
356,249,1
360,250,1
364,255,5
368,260,5
372,261,1
376,266,5
380,271,5
384,276,5
388,281,5
392,286,5
396,291,5
400,292,1
404,297,5
408,298,1
412,299,1
416,300,1
420,301,1
424,302,1
428,303,1
432,304,1
436,305,1
440,310,5
444,311,1
448,312,1
452,313,1
456,318,5
460,323,5
464,324,1
468,329,5
472,330,1
476,331,1
480,332,1
484,337,5
488,342,5
492,347,5
496,348,1
500,353,5
504,354,1
508,355,1
512,356,1
516,357,1
520,362,5
524,367,5
528,372,5
532,373,1
536,378,5
540,379,1
544,380,1
548,385,5
552,386,1
556,387,1
560,392,5
564,393,1
568,394,1
572,399,5
576,404,5
580,405,1
584,410,5
588,411,1
592,412,1
596,417,5
600,422,5
604,423,1
608,424,1
612,425,1
616,430,5
620,435,5
624,436,1
628,437,1
632,438,1
636,443,5
640,444,1
644,445,1
648,450,5
652,451,1
656,452,1
660,453,1
664,458,5
668,463,5
672,464,1
676,469,5
680,470,1
684,471,1
688,476,5
692,481,5
696,486,5
700,491,5
704,492,1
708,493,1
712,494,1
716,495,1
720,500,5
