batch_num,num_of_exec,difference
16,15,15
32,30,15
48,45,15
64,68,23
80,87,19
96,110,23
112,119,9
128,142,23
144,155,13
160,174,19
176,193,19
192,212,19
208,225,13
224,226,1
240,235,9
256,236,1
272,237,1
288,250,13
304,259,9
320,274,15
336,283,9
352,292,9
368,301,9
384,302,1
400,315,13
416,328,13
432,343,15
448,358,15
464,367,9
480,376,9
496,395,19
512,404,9
528,417,13
544,430,13
560,439,9
576,448,9
592,457,9
608,466,9
624,467,1
640,476,9
656,489,13
672,502,13
688,511,9
704,526,15
720,527,1
736,536,9
752,549,13
768,568,19
784,587,19
800,606,19
816,621,15
832,630,9
848,631,1
864,644,13
880,653,9
896,654,1
912,663,9
928,664,1
944,665,1
960,684,19
976,699,15
992,712,13
1008,713,1
1024,714,1
1040,729,15
1056,748,19
1072,771,23
1088,794,23
1104,817,23
1120,836,19
1136,851,15
1152,864,13
1168,865,1
1184,866,1
1200,867,1
1216,880,13
1232,895,15
1248,896,1
1264,897,1
1280,898,1
1296,907,9
1312,926,19
1328,945,19
1344,960,15
1360,969,9
1376,984,15
1392,1007,23
1408,1016,9
1424,1039,23
1440,1058,19
1456,1077,19
1472,1092,15
1488,1111,19
1504,1126,15
1520,1149,23
1536,1172,23
1552,1195,23
1568,1218,23
1584,1241,23
1600,1264,23
1616,1287,23
1632,1310,23
1648,1333,23
1664,1356,23
1680,1379,23
1696,1402,23
1712,1425,23
1728,1448,23
1744,1471,23
1760,1494,23
1776,1513,19
1792,1536,23
1808,1559,23
1824,1582,23
1840,1605,23
1856,1628,23
1872,1651,23
1888,1670,19
1904,1689,19
1920,1708,19
1936,1727,19
1952,1750,23
1968,1773,23
1984,1792,19
2000,1811,19
2016,1834,23
2032,1857,23
2048,1880,23
2064,1903,23
2080,1926,23
2096,1949,23
2112,1968,19
2128,1991,23
2144,2014,23
2160,2037,23
2176,2060,23
2192,2079,19
2208,2098,19
2224,2121,23
2240,2140,19
2256,2159,19
2272,2182,23
2288,2205,23
2304,2228,23
2320,2251,23
2336,2264,13
2352,2287,23
2368,2300,13
2384,2323,23
2400,2342,19
2416,2365,23
2432,2384,19
2448,2407,23
2464,2430,23
2480,2453,23
2496,2472,19
2512,2485,13
2528,2500,15
2544,2523,23
2560,2538,15
2576,2557,19
2592,2576,19
2608,2599,23
2624,2612,13
2640,2613,1
2656,2636,23
2672,2659,23
2688,2674,15
2704,2693,19
2720,2702,9
2736,2725,23
2752,2734,9
2768,2753,19
2784,2776,23
2800,2777,1
2816,2792,15
2832,2801,9
2848,2802,1
2864,2817,15
2880,2826,9
2896,2835,9
2912,2850,15
2928,2865,15
2944,2880,15
2960,2889,9
2976,2908,19
2992,2927,19
3008,2936,9
3024,2945,9
3040,2954,9
3056,2955,1
3072,2956,1
3088,2971,15
3104,2980,9
3120,2989,9
3136,2990,1
3152,3003,13
3168,3004,1
3184,3013,9
3200,3032,19
3216,3051,19
3232,3070,19
3248,3093,23
3264,3116,23
3280,3139,23
3296,3154,15
3312,3177,23
3328,3196,19
3344,3197,1
3360,3206,9
3376,3215,9
3392,3224,9
3408,3233,9
3424,3242,9
3440,3257,15
3456,3272,15
3472,3291,19
3488,3300,9
3504,3309,9
3520,3310,1
3536,3311,1
3552,3334,23
3568,3357,23
3584,3376,19
3600,3389,13
3616,3412,23
3632,3425,13
3648,3438,13
3664,3457,19
3680,3480,23
3696,3499,19
3712,3518,19
3728,3531,13
3744,3550,19
3760,3565,15
3776,3588,23
3792,3611,23
3808,3620,9
3824,3639,19
3840,3640,1
3856,3663,23
3872,3686,23
3888,3695,9
3904,3704,9
3920,3727,23
3936,3746,19
3952,3761,15
3968,3762,1
3984,3781,19
4000,3790,9
4016,3791,1
