batch_num,total_builds,batch_builds
,,
4,1,1
8,2,1
12,3,1
16,4,1
20,5,1
24,6,1
28,7,1
32,8,1
36,9,1
40,10,1
44,11,1
48,12,1
52,13,1
56,14,1
60,15,1
64,16,1
68,21,5
72,26,5
76,27,1
80,28,1
84,29,1
88,30,1
92,31,1
96,32,1
100,37,5
104,38,1
108,43,5
112,44,1
116,45,1
120,46,1
124,51,5
128,56,5
132,61,5
136,62,1
140,67,5
144,68,1
148,73,5
152,78,5
156,79,1
160,80,1
164,81,1
168,82,1
172,83,1
176,84,1
180,89,5
184,94,5
188,95,1
192,96,1
196,97,1
200,98,1
204,99,1
208,100,1
212,101,1
216,106,5
220,107,1
224,108,1
228,109,1
232,110,1
236,111,1
240,112,1
244,113,1
248,114,1
252,115,1
256,120,5
260,121,1
264,126,5
268,127,1
272,132,5
276,133,1
280,134,1
284,135,1
288,136,1
292,137,1
296,138,1
300,139,1
304,140,1
308,141,1
312,146,5
316,147,1
320,148,1
324,149,1
328,150,1
332,151,1
336,152,1
340,157,5
344,162,5
348,163,1
352,164,1
356,169,5
360,170,1
364,171,1
368,172,1
372,173,1
376,174,1
380,175,1
384,180,5
388,181,1
392,182,1
396,183,1
400,188,5
404,189,1
408,190,1
412,191,1
416,196,5
420,197,1
424,202,5
428,203,1
432,204,1
436,205,1
440,206,1
444,207,1
448,208,1
452,209,1
456,214,5
460,215,1
464,216,1
468,217,1
472,218,1
476,219,1
480,220,1
484,221,1
488,222,1
492,223,1
496,224,1
500,225,1
504,226,1
508,227,1
512,228,1
516,229,1
520,230,1
524,231,1
528,236,5
532,241,5
536,246,5
540,247,1
544,248,1
548,249,1
552,250,1
556,251,1
560,252,1
564,253,1
568,258,5
572,259,1
576,260,1
580,261,1
584,266,5
588,267,1
592,268,1
596,269,1
600,270,1
604,271,1
608,272,1
612,273,1
616,278,5
620,279,1
624,284,5
628,285,1
632,290,5
636,291,1
640,292,1
644,293,1
648,294,1
652,295,1
656,296,1
660,297,1
664,298,1
668,303,5
672,308,5
676,309,1
680,310,1
684,315,5
688,320,5
692,325,5
696,326,1
700,331,5
704,336,5
708,337,1
712,338,1
716,343,5
720,344,1
724,349,5
