batch_num,total_builds,batch_builds
,,
4,5,5
8,10,5
12,15,5
16,20,5
20,25,5
24,30,5
28,35,5
32,40,5
36,45,5
40,50,5
44,55,5
48,60,5
52,65,5
56,70,5
60,75,5
64,80,5
68,85,5
72,90,5
76,95,5
80,100,5
84,105,5
88,110,5
92,115,5
96,120,5
100,125,5
104,130,5
108,135,5
112,140,5
116,145,5
120,150,5
124,155,5
128,160,5
132,165,5
136,170,5
140,175,5
144,180,5
148,185,5
152,190,5
156,195,5
160,200,5
164,205,5
168,210,5
172,215,5
176,220,5
180,225,5
184,230,5
188,235,5
192,240,5
196,245,5
200,250,5
204,255,5
208,260,5
212,265,5
216,270,5
220,275,5
224,280,5
228,285,5
232,290,5
236,295,5
240,300,5
244,305,5
248,310,5
252,315,5
256,320,5
260,325,5
264,330,5
268,335,5
272,340,5
276,345,5
280,350,5
284,355,5
288,360,5
292,365,5
296,370,5
300,375,5
304,380,5
308,385,5
312,390,5
316,395,5
320,400,5
324,405,5
328,410,5
332,415,5
336,420,5
340,425,5
344,430,5
348,435,5
352,440,5
356,441,1
360,442,1
364,443,1
368,444,1
372,445,1
376,446,1
380,447,1
384,448,1
388,449,1
392,450,1
396,451,1
400,456,5
404,457,1
408,458,1
412,463,5
416,468,5
420,473,5
424,474,1
428,479,5
432,480,1
436,481,1
440,482,1
444,487,5
448,488,1
452,493,5
456,498,5
460,499,1
464,500,1
468,501,1
472,502,1
476,507,5
480,508,1
484,509,1
488,510,1
492,511,1
496,512,1
500,517,5
504,522,5
508,523,1
512,524,1
516,529,5
520,530,1
524,531,1
528,532,1
532,533,1
536,538,5
540,543,5
544,544,1
548,545,1
552,550,5
556,555,5
560,560,5
564,561,1
568,566,5
572,571,5
576,572,1
580,573,1
584,578,5
588,583,5
592,588,5
596,593,5
600,594,1
604,595,1
608,596,1
612,601,5
616,602,1
620,603,1
624,604,1
628,605,1
632,606,1
636,607,1
640,608,1
644,613,5
648,614,1
652,617,3
