,tr_build_id,tr_duration,Build_Result,Actual_Result,Index
0,114597727,2757,1,1,1
1,114649412,1373,1,1,2
2,114656809,1328,1,1,3
3,114656825,1239,1,1,4
4,114659048,1607,1,1,5
5,114670164,1666,1,1,6
6,114670173,1671,1,1,7
7,114672232,1261,1,1,8
8,114872461,1349,1,1,9
9,114936501,1203,1,1,10
10,115130366,1262,1,1,11
11,115147629,1303,1,1,12
12,115203924,1226,1,1,13
13,115405459,1393,1,1,14
14,115430440,1210,1,1,15
15,115935458,1420,1,1,16
16,116003446,1179,1,1,17
17,116003549,1204,1,1,18
18,116052336,3557,1,1,19
19,116182166,1948,1,1,20
20,116266069,1266,1,0,21
21,116295276,1141,1,1,22
22,116301553,1176,1,1,23
23,116435604,1513,1,1,24
24,116704722,1330,1,1,25
25,116711573,1318,1,1,26
26,116773240,1334,1,1,27
27,117150575,1165,1,1,28
28,117219372,1211,1,1,29
29,117285411,1144,1,0,30
30,117500891,1634,1,1,31
31,117519704,1990,1,1,32
32,117574351,1528,1,0,33
33,117624888,1272,1,1,34
34,118047390,1473,1,1,35
35,118057291,2046,1,1,36
36,118109556,1304,1,1,37
37,118122505,1173,1,0,38
38,118315338,1295,1,1,39
39,118316135,1276,1,1,40
40,118377835,1274,1,1,41
41,118379283,1242,1,1,42
42,118394775,1215,1,1,43
43,118522773,1240,1,1,44
44,118524874,1246,1,1,45
45,118586724,1200,1,0,46
46,119092563,1373,1,1,47
47,119153876,1220,1,1,48
48,119154291,1208,1,1,49
49,119406099,1614,1,1,50
50,119711352,1226,1,1,51
51,119711993,1173,1,1,52
52,119846068,1258,1,1,53
53,119871119,1312,1,1,54
54,119933085,1308,1,1,55
55,119936161,1306,1,1,56
56,119957121,1287,1,1,57
57,120092959,1296,1,1,58
58,120120669,1263,1,1,59
59,120144698,1277,1,1,60
60,120308638,1201,1,0,61
61,120333870,1189,1,1,62
62,120686988,1262,1,1,63
63,120757720,1315,1,1,64
64,120768068,1455,1,1,65
65,120768120,1370,1,1,66
66,120775149,1267,1,1,67
67,120939753,1365,1,1,68
68,120948696,1363,1,1,69
69,121023141,1251,1,0,70
70,121230486,1323,1,1,71
71,121277367,1289,1,1,72
72,121303987,1277,1,1,73
73,121337518,1396,1,1,74
74,121346013,1403,1,1,75
75,121346132,1366,1,1,76
76,121346929,1364,1,1,77
77,121499030,1253,1,1,78
78,121499084,1337,1,1,79
79,121563471,1257,1,1,80
80,121780971,1398,1,1,81
81,121839534,1229,1,1,82
82,122309492,1357,1,1,83
83,122318131,1315,1,1,84
84,122366049,1267,1,1,85
85,122377491,1302,1,1,86
86,122379574,1271,1,1,87
87,122380924,1288,1,1,88
88,122390949,1291,1,1,89
89,122595309,1308,0,1,90
90,122634504,1272,1,1,91
91,122645317,737,1,0,92
92,122651890,1272,1,1,93
93,122655804,1279,1,1,94
94,122930563,1312,1,1,95
95,123128064,1390,1,1,96
96,123135938,1363,1,1,97
97,123190867,1325,1,1,98
98,123196734,1273,1,1,99
99,123396846,1305,1,1,100
100,123406579,1370,1,1,101
101,123421392,1317,1,1,102
102,123456059,1387,1,1,103
103,123463386,1484,1,1,104
104,123988163,1384,1,1,105
105,124040347,1258,1,1,106
106,124059791,1203,1,1,107
107,124087350,1412,1,1,108
108,124249230,1318,1,1,109
109,124390351,1391,1,1,110
110,124606660,1320,1,1,111
111,125628994,1555,1,1,112
112,125629051,1521,1,0,113
113,125645562,1494,1,1,114
114,125709850,1434,1,1,115
115,125711440,1424,0,1,116
116,125897132,1517,1,1,117
117,125904223,1541,1,1,118
118,125974334,1439,1,1,119
119,125974399,1580,0,1,120
120,125974443,1461,1,1,121
121,126187073,1527,1,1,122
122,126187102,1518,1,1,123
123,126246469,1461,1,1,124
124,127283135,1421,1,1,125
125,127873490,1409,1,0,126
126,127919066,1532,1,1,127
127,127939330,1452,1,1,128
128,127939338,1383,1,1,129
129,127939372,1442,1,1,130
130,128101856,1456,1,1,131
131,128107843,1448,1,1,132
132,128111524,1467,1,1,133
133,128362058,1491,1,1,134
134,128422025,1374,1,1,135
135,128962967,1453,1,1,136
136,128990157,1464,1,1,137
137,128997415,1425,1,1,138
138,128998140,1451,1,1,139
139,129299661,1852,1,1,140
140,130065082,1453,1,1,141
141,130629520,1537,1,1,142
142,130649644,1421,1,1,143
143,130699169,1421,1,1,144
144,130711998,1432,1,1,145
145,131546803,1659,1,1,146
146,132367200,1656,1,1,147
147,132649793,708,1,0,148
148,132690183,1714,1,1,149
149,132904315,1581,1,1,150
150,133181385,1731,1,1,151
151,133234607,1683,1,1,152
152,133236073,1820,1,1,153
153,133457929,1638,1,1,154
154,134522663,1713,1,1,155
155,134522729,1689,1,1,156
156,134522769,1697,1,1,157
157,134588183,1736,1,1,158
158,134588461,1809,1,1,159
159,134655268,1569,1,1,160
160,134869502,1792,1,1,161
161,134888777,922,1,0,162
162,135073830,1828,1,1,163
163,135103533,1773,1,1,164
164,135721383,1422,1,0,165
165,136006525,1690,1,1,166
166,136015600,1817,1,1,167
167,136242090,1896,1,1,168
168,136567270,1853,1,1,169
169,136574477,1846,1,1,170
170,136597253,1781,1,1,171
171,136842425,1728,1,1,172
172,137299293,1817,1,1,173
173,137641072,1856,1,1,174
174,137882569,1752,1,0,175
175,137968812,1783,1,1,176
176,137990056,1768,1,1,177
177,138241348,1280,1,0,178
178,138253895,1739,1,1,179
179,138404626,1824,1,1,180
180,138496288,2296,1,1,181
181,139036064,1840,1,1,182
182,139037277,1784,1,1,183
183,139280471,2000,1,1,184
184,139287068,2063,1,1,185
185,139362668,1849,1,1,186
186,139363506,1866,1,1,187
187,139940299,1794,1,0,188
188,140092870,1865,1,1,189
189,140157673,1310,1,0,190
190,140163777,1849,1,1,191
191,140179535,2898,1,1,192
192,140673942,1870,1,1,193
193,140869057,1891,1,1,194
194,140869282,1836,1,1,195
195,140942967,1792,1,0,196
196,140947518,1933,1,1,197
197,140954928,1371,1,0,198
198,141134581,1921,1,1,199
199,141158369,2015,1,1,200
200,141211569,1902,1,1,201
201,141214187,1846,1,1,202
202,141251770,1807,1,1,203
203,141418689,1973,1,1,204
204,141419858,1933,1,1,205
205,141479429,1889,1,1,206
206,141727262,1675,1,1,207
207,141733732,1738,1,1,208
208,141768368,1714,1,1,209
209,141771528,1638,1,1,210
