index,duration,total_builds
32,0,0
64,20958,3
96,31570,4
128,0,0
160,0,0
192,0,0
224,0,0
256,21710,3
288,0,0
320,22794,3
352,9264,2
384,0,0
416,0,0
448,0,0
480,0,0
512,0,0
544,9393,1
576,15841,2
608,0,0
640,0,0
672,0,0
704,0,0
736,10388,1
768,22972,2
800,16750,2
832,0,0
864,10832,1
896,0,0
928,10400,1
960,0,0
992,14561,1
1024,0,0
1056,29157,2
1088,0,0
1120,0,0
1152,0,0
1184,10871,1
1216,14639,1
1248,0,0
1280,44483,3
1312,0,0
1344,10085,1
1376,20551,1
1408,22600,2
1440,18946,1
1472,30553,2
