index,duration,total_builds
4,0,0
8,0,0
12,0,0
16,0,0
20,0,0
24,0,0
28,2099,1
32,2103,1
36,0,0
40,0,0
44,2300,1
48,0,0
52,0,0
56,0,0
60,2097,1
64,0,0
68,0,0
72,0,0
76,0,0
80,2545,1
84,0,0
88,0,0
92,0,0
96,0,0
100,0,0
104,0,0
108,4830,2
112,0,0
116,0,0
120,0,0
124,0,0
128,0,0
132,0,0
136,0,0
140,2697,1
144,0,0
148,0,0
152,0,0
156,0,0
160,0,0
164,0,0
168,0,0
172,0,0
176,0,0
180,0,0
184,0,0
188,0,0
192,0,0
196,0,0
200,2295,1
204,0,0
208,0,0
212,0,0
216,0,0
220,0,0
224,0,0
228,0,0
232,0,0
236,0,0
240,0,0
244,0,0
248,0,0
252,0,0
256,0,0
260,0,0
264,0,0
268,0,0
272,2004,1
276,0,0
280,0,0
284,0,0
288,0,0
292,0,0
296,2285,1
300,0,0
304,0,0
308,0,0
312,0,0
316,0,0
320,0,0
324,0,0
328,0,0
332,0,0
336,0,0
340,0,0
344,0,0
348,2191,1
352,0,0
356,0,0
360,0,0
364,0,0
368,0,0
372,0,0
376,0,0
380,0,0
384,0,0
388,0,0
392,0,0
396,0,0
400,0,0
404,0,0
408,0,0
412,0,0
416,0,0
420,0,0
424,0,0
428,2216,1
432,0,0
436,0,0
440,0,0
444,0,0
448,2298,1
452,0,0
456,0,0
460,0,0
464,0,0
