index,duration,total_builds
8,837,1
16,1782,2
24,0,0
32,701,1
40,2018,2
48,717,1
56,947,1
64,826,1
72,0,0
80,0,0
88,0,0
96,0,0
104,0,0
112,811,1
120,1782,2
128,773,1
136,0,0
144,0,0
152,0,0
160,0,0
168,3540,1
176,4075,1
184,4280,1
192,0,0
200,0,0
208,0,0
216,0,0
224,3828,1
232,0,0
240,0,0
248,0,0
256,0,0
264,0,0
272,4026,1
280,3721,1
288,0,0
296,0,0
304,19675,5
312,0,0
320,0,0
328,9722,2
336,4561,1
344,0,0
352,0,0
360,10308,2
368,3641,1
376,8179,3
384,0,0
392,0,0
400,0,0
408,0,0
