index,duration,total_builds
4,156177,3
8,156181,3
12,207596,4
16,155706,3
20,103854,2
24,103896,2
28,207792,4
32,207585,4
36,207285,4
40,103600,2
44,155400,3
48,155403,3
52,207205,4
56,154284,3
60,205712,4
64,205721,4
68,154336,3
72,205861,4
76,205912,4
80,205912,4
84,205912,4
88,205912,4
92,0,0
96,102974,2
100,0,0
104,51487,1
108,51487,1
112,0,0
116,0,0
120,154371,3
124,205896,4
128,205965,4
132,154479,3
136,206059,4
140,206298,4
144,206304,4
148,154728,3
152,206304,4
156,206304,4
160,206304,4
164,154728,3
168,0,0
172,206304,4
176,206304,4
180,154728,3
184,206280,4
188,206280,4
192,206268,4
196,206240,4
200,154690,3
204,206260,4
208,206310,4
212,205923,4
216,205960,4
220,205964,4
224,154482,3
228,205980,4
232,205980,4
236,205491,4
240,153753,3
244,205004,4
248,205004,4
252,205004,4
256,205025,4
260,153774,3
264,102516,2
268,0,0
272,0,0
276,102516,2
280,102276,2
284,153414,3
288,51138,1
292,153330,3
296,102192,2
300,0,0
304,51134,1
308,51134,1
312,102268,2
316,0,0
320,102366,2
324,102366,2
328,102366,2
332,0,0
336,0,0
340,101948,2
344,101948,2
348,0,0
352,101312,2
356,101310,2
360,101258,2
364,50548,1
368,0,0
372,0,0
376,0,0
380,100600,2
384,0,0
388,0,0
392,100600,2
396,100106,2
400,0,0
404,0,0
408,100034,2
412,0,0
416,0,0
420,49858,1
424,49858,1
428,0,0
432,99722,2
436,0,0
440,0,0
444,99722,2
448,49861,1
452,0,0
456,0,0
460,149601,3
464,149601,3
468,99264,2
472,0,0
476,99282,2
480,99282,2
484,0,0
488,0,0
492,49632,1
496,49632,1
500,0,0
504,49632,1
508,49632,1
512,0,0
516,0,0
520,99324,2
524,198648,4
528,198648,4
532,198616,4
536,176471,3
540,233401,3
544,309830,4
548,231604,3
552,224884,3
556,213288,3
560,212846,3
564,212223,3
568,282514,4
572,211758,3
576,141172,2
580,281516,4
584,281081,4
588,210771,3
592,281044,4
596,281060,4
600,281060,4
604,281063,4
608,210800,3
612,210804,3
616,210804,3
620,281072,4
624,210804,3
628,0,0
632,210804,3
636,0,0
640,140536,2
644,210798,3
648,140498,2
