project,algorithm,batch_size,confidence,project_reqd_builds,project_missed_builds,project_build_duration,project_saved_builds,project_delays,testall_size,batch_delays
vagrant,BATCHBISECT,1,2,50.352112676056336,1.7605633802816902,20360,49.647887323943664,"[2, 2, 2, 2, 2]",284,0.0
vagrant,BATCHBISECT,1,3,34.15492957746479,1.7605633802816902,13570,65.84507042253522,"[3, 2, 2, 2, 3]",284,0.0
vagrant,BATCHBISECT,1,4,25.35211267605634,2.464788732394366,10476,74.64788732394366,"[4, 3, 2, 3, 2, 2, 3]",284,0.0
vagrant,BATCHBISECT,1,5,20.070422535211268,2.816901408450704,8287,79.92957746478874,"[2, 3, 5, 4, 5, 4, 3, 4]",284,0.0
vagrant,BATCHBISECT,1,6,16.901408450704224,2.464788732394366,6773,83.09859154929578,"[6, 5, 4, 2, 4, 6, 6]",284,0.0
vagrant,BATCHBISECT,1,7,14.788732394366198,2.464788732394366,6044,85.21126760563381,"[2, 7, 3, 2, 7, 3, 3]",284,0.0
vagrant,BATCHBISECT,1,8,13.028169014084508,2.464788732394366,5135,86.97183098591549,"[8, 7, 2, 7, 2, 2, 7]",284,0.0
vagrant,BATCHBISECT,1,9,11.267605633802816,2.816901408450704,4566,88.73239436619718,"[6, 2, 2, 5, 4, 6, 4, 8]",284,0.0
vagrant,BATCHBISECT,1,10,9.859154929577464,3.1690140845070425,3898,90.14084507042253,"[2, 3, 6, 3, 9, 9, 3, 2, 8]",284,0.0
vagrant,BATCHBISECT,1,11,8.80281690140845,3.1690140845070425,3815,91.19718309859155,"[7, 2, 9, 4, 9, 11, 6, 6, 3]",284,0.0
vagrant,BATCHBISECT,1,12,8.450704225352112,2.816901408450704,3357,91.54929577464789,"[12, 11, 10, 7, 10, 6, 7, 5]",284,0.0
vagrant,BATCHBISECT,1,13,7.746478873239437,2.816901408450704,3128,92.25352112676056,"[4, 7, 9, 2, 8, 3, 2, 13]",284,0.0
vagrant,BATCHBISECT,1,14,7.394366197183099,2.816901408450704,2979,92.6056338028169,"[8, 7, 2, 8, 8, 6, 9, 9]",284,0.0
vagrant,BATCHBISECT,1,15,6.690140845070423,2.816901408450704,2627,93.30985915492958,"[12, 8, 5, 14, 10, 9, 13, 12]",284,0.0
vagrant,BATCHBISECT,1,16,5.985915492957746,3.1690140845070425,2401,94.01408450704226,"[16, 15, 10, 9, 15, 9, 9, 14, 12]",284,0.0
vagrant,BATCHBISECT,1,17,5.633802816901408,3.1690140845070425,2286,94.36619718309859,"[3, 5, 2, 3, 9, 7, 8, 14, 12]",284,0.0
vagrant,BATCHBISECT,1,18,5.633802816901408,2.816901408450704,2333,94.36619718309859,"[6, 11, 10, 14, 4, 6, 13, 12]",284,0.0
vagrant,BATCHBISECT,1,19,4.929577464788732,3.1690140845070425,1895,95.07042253521126,"[9, 17, 18, 4, 10, 16, 8, 19, 12]",284,0.0
vagrant,BATCHBISECT,1,20,4.929577464788732,3.1690140845070425,1906,95.07042253521126,"[12, 3, 6, 13, 19, 9, 2, 13, 8]",284,0.0
vagrant,BATCHBISECT,2,2,36.61971830985915,1.7605633802816902,15298,32.74647887323944,"[2, 2, 2, 2, 2]",284,96.0
vagrant,BATCHBISECT,2,3,28.52112676056338,1.7605633802816902,12496,48.943661971830984,"[3, 2, 2, 2, 3]",284,73.0
vagrant,BATCHBISECT,2,4,22.535211267605632,2.112676056338028,9756,59.15492957746479,"[4, 2, 4, 3, 2, 3]",284,58.0
vagrant,BATCHBISECT,2,5,19.366197183098592,2.112676056338028,8167,65.49295774647888,"[5, 4, 3, 2, 4, 3]",284,49.0
vagrant,BATCHBISECT,2,6,16.901408450704224,2.112676056338028,7454,70.4225352112676,"[2, 3, 4, 3, 6, 6]",284,42.0
vagrant,BATCHBISECT,2,7,15.140845070422536,2.112676056338028,6668,73.94366197183099,"[7, 6, 4, 4, 4, 5]",284,37.0
vagrant,BATCHBISECT,2,8,11.971830985915492,2.816901408450704,4980,77.46478873239437,"[5, 2, 2, 5, 4, 6, 4, 8]",284,32.0
vagrant,BATCHBISECT,2,9,12.67605633802817,2.112676056338028,5525,78.87323943661971,"[4, 7, 6, 2, 6, 5]",284,30.0
vagrant,BATCHBISECT,2,10,10.915492957746478,2.464788732394366,4701,80.98591549295774,"[6, 10, 5, 10, 9, 9, 6]",284,27.0
