version,tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
1,3105918,850,0,89,10,0,11,1,74,1,passed
1,3106082,869,0,89,10,0,17,1,129,1,failed
1,3106713,0,0,0,0,0,1,1,1,1,passed
1,3113875,2,0,5,1,0,2,2,11,2,passed
1,3114441,215,0,5,0,0,4,1,36,1,passed
1,3116762,215,0,5,0,0,4,1,38,1,passed
1,3133612,197,0,0,1,0,0,1,7,1,passed
1,3134001,45,0,0,0,0,1,3,20,3,passed
1,3134037,0,0,0,0,0,1,1,4,1,passed
1,3134222,0,0,0,0,0,1,1,5,1,passed
1,3152886,491,1,0,7,1,6,8,0,8,passed
1,3153168,491,1,0,7,1,6,8,0,8,passed
1,3169683,53,0,0,0,0,1,2,18,2,passed
1,3170365,1,0,0,0,0,1,1,16,1,passed
1,3174512,115,0,0,1,0,1,1,17,1,passed
1,3175296,188,0,0,1,0,1,2,1,2,passed
1,3175506,12,0,0,0,0,0,1,15,1,passed
1,3180784,69,0,0,0,0,1,1,4,1,passed
1,3181366,1,0,0,0,0,1,1,3,1,passed
1,3181419,1,0,0,0,0,1,1,3,1,passed
1,3181509,113,0,0,0,0,1,1,21,1,passed
1,3182323,465,1,0,5,0,6,4,54,4,passed
1,3185075,38,0,0,1,0,1,1,14,1,passed
1,3188336,174,0,0,1,0,0,1,4,1,passed
1,3190883,6,0,0,0,0,1,2,8,2,passed
1,3191696,21,0,0,0,0,1,1,10,1,passed
1,3197737,324,0,0,0,0,1,1,79,1,passed
1,3199336,19,0,0,0,0,1,2,5,2,passed
1,3228651,555,0,0,4,0,0,1,0,1,passed
1,3230597,10,0,0,0,0,4,1,1,1,passed
1,3230731,10,0,0,0,0,4,1,1,1,passed
1,3230804,67,0,0,0,0,1,1,9,1,passed
1,3231077,30,0,0,0,0,1,1,40,1,passed
1,3231162,14,0,0,0,0,1,1,14,1,passed
1,3231202,666,0,0,4,0,3,1,66,1,passed
1,3231502,153,0,0,1,0,0,2,3,2,passed
1,3232069,45,0,0,0,0,1,1,1,1,passed
1,3233682,1439,0,0,0,0,21,2,650,2,passed
1,3234685,1126,0,0,0,0,19,2,570,2,passed
1,3235452,224,2,0,1,0,1,2,2,2,passed
1,3235662,2,0,0,0,0,1,1,4,1,passed
1,3238359,3,0,0,0,0,1,1,6,1,passed
1,3245903,463,0,0,1,0,1,3,2,3,passed
1,3246089,127,0,0,1,0,1,2,2,2,passed
1,3249688,159,0,0,1,0,1,2,2,2,passed
1,3249728,15,0,0,0,0,4,1,17,1,passed
1,3254885,245,0,0,2,0,1,2,5,2,passed
1,3255621,226,0,0,1,0,1,2,2,2,passed
1,3263743,396,0,0,1,0,1,2,15,2,passed
1,3266216,14,0,0,0,0,3,1,177,1,passed
