project,method,algorithm,batch_size,builds_reqd,batch_delays,sbs_delays,confidence
sonarqube.csv,ssr,BATCH4,4,18.33333396911621,157.0,92,12
sonarqube.csv,ssr,BATCHSTOP4,4,18.33333396911621,157.0,92,12
sonarqube.csv,ssr,BATCHSTOP4,8,30.66666603088379,547.0,77,18
sonarqube.csv,ssr,BATCHSTOP4,16,38.66666793823242,1588.0,66,18
sonarqube.csv,ssr,BATCHBISECT,1,35.66666793823242,0.0,38,3
sonarqube.csv,ssr,BATCHBISECT,2,25.0,57.0,43,5
sonarqube.csv,ssr,BATCHBISECT,4,19.0,157.0,92,12
sonarqube.csv,ssr,BATCHBISECT,8,30.66666603088379,547.0,77,18
sonarqube.csv,ssr,BATCHBISECT,16,38.66666793823242,1588.0,66,18
loomio.csv,ssr,BATCH4,4,43.90243911743164,180.0,31,7
loomio.csv,ssr,BATCHSTOP4,4,43.90243911743164,180.0,31,7
loomio.csv,ssr,BATCHSTOP4,8,41.46341323852539,420.0,71,19
loomio.csv,ssr,BATCHSTOP4,16,66.34146118164062,1203.0,29,15
loomio.csv,ssr,BATCHBISECT,1,37.07316970825195,0.0,40,3
loomio.csv,ssr,BATCHBISECT,2,41.46341323852539,53.0,28,4
loomio.csv,ssr,BATCHBISECT,4,46.82926940917969,180.0,31,7
loomio.csv,ssr,BATCHBISECT,8,45.36585235595703,420.0,71,19
loomio.csv,ssr,BATCHBISECT,16,68.29268646240234,1203.0,29,15
concerto.csv,ssr,BATCH4,4,13.448275566101074,133.0,76,12
concerto.csv,ssr,BATCHSTOP4,4,13.448275566101074,133.0,76,12
concerto.csv,ssr,BATCHSTOP4,8,20.689655303955078,413.0,62,20
concerto.csv,ssr,BATCHSTOP4,16,20.689655303955078,1321.0,79,15
concerto.csv,ssr,BATCHBISECT,1,34.482757568359375,0.0,22,3
concerto.csv,ssr,BATCHBISECT,2,30.689655303955078,65.0,9,4
concerto.csv,ssr,BATCHBISECT,4,14.137930870056152,133.0,76,12
concerto.csv,ssr,BATCHBISECT,8,20.689655303955078,413.0,62,20
concerto.csv,ssr,BATCHBISECT,16,20.689655303955078,1321.0,79,15
vagrant.csv,ssr,BATCH4,4,13.380281448364258,108.0,37,17
vagrant.csv,ssr,BATCHSTOP4,4,13.380281448364258,108.0,37,17
vagrant.csv,ssr,BATCHSTOP4,8,10.563380241394043,336.0,43,20
vagrant.csv,ssr,BATCHSTOP4,16,15.845070838928223,1101.0,53,20
vagrant.csv,ssr,BATCHBISECT,1,14.788732528686523,0.0,27,7
vagrant.csv,ssr,BATCHBISECT,2,9.507041931152344,23.0,37,12
