tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
1951436,12955,0,3894,277,98,165,637,126,637,passed
1951494,0,0,0,0,0,1,1,17,1,passed
2085868,714,0,0,0,1,13,1,70,1,passed
2086197,3,0,8,0,0,3,1,43,1,passed
2086297,7,0,0,2,0,1,1,39,1,passed
2086635,0,0,7,0,0,5,1,62,1,passed
2086760,0,0,0,0,1,1,1,22,1,passed
2092229,32,0,8,4,0,8,5,130,5,passed
2092384,3,0,0,0,0,1,1,6,1,passed
2092401,9,0,0,0,0,1,1,1,1,passed
2092449,2,0,0,0,0,1,1,2,1,passed
2092498,116,0,0,1,2,2,1,138,1,passed
2095870,2,0,0,0,0,1,1,1,1,passed
2095977,3,0,0,0,1,0,1,1,1,passed
2128215,45,0,0,0,0,4,2,140,2,passed
2132301,0,0,0,0,0,1,1,2,1,passed
2137699,0,0,0,0,0,2,1,73,1,passed
2139080,0,0,0,0,0,1,1,69,1,passed
2212901,183,0,2,44,1,48,23,472,23,passed
2239931,199,0,0,0,0,11,1,6,1,passed
2240158,3,0,0,1,1,2,1,49,1,passed
2240792,4,0,0,0,0,1,1,27,1,passed
2242232,2,0,0,0,0,1,1,28,1,passed
2250607,8,0,0,0,0,1,1,7,1,passed
2250662,1,0,0,0,0,1,1,48,1,passed
2318244,0,0,0,0,0,2,1,33,1,passed
2329937,0,0,0,0,0,1,1,34,1,passed
2330144,0,0,0,0,0,1,1,35,1,passed
2356136,4,0,11,0,0,4,1,2,1,passed
2377324,49,0,0,4,0,3,2,12,2,passed
2378262,9,0,0,0,0,2,1,2,1,passed
2378739,2,0,2,0,0,2,1,2,1,passed
2378782,2,0,16,0,0,2,1,5,1,passed
2379035,4,0,10,0,0,4,1,7,1,passed
2379818,2,0,1,0,0,2,1,7,1,failed
2379982,2,0,0,0,0,1,1,5,1,passed
2380081,14,0,0,0,0,2,1,3,1,passed
2382722,2,0,0,0,0,1,1,18,1,passed
2435622,14,0,18,0,0,2,1,37,1,passed
2435918,8,0,24,0,0,2,1,38,1,passed
2449557,13,0,9,0,0,2,1,35,1,failed
2449776,2,0,2,0,0,2,1,36,1,failed
2449878,0,0,0,0,0,1,1,3,1,passed
2459066,54,0,0,0,0,2,1,7,1,passed
2459188,8,0,0,0,0,1,1,8,1,passed
2459871,5,0,3,0,0,5,1,120,1,passed
2503567,198,0,4,54,0,9,2,123,2,passed
2503785,4,0,0,0,0,5,4,103,4,passed
