tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
7808819,9,0,2,0,1,4,3,20,3,passed
7809297,16,0,0,2,0,3,1,23,1,passed
7809485,0,0,0,0,0,1,1,17,1,passed
8147815,20,0,0,0,0,3,1,26,1,passed
8148091,20,0,0,0,0,3,1,27,1,passed
8559774,9470,0,1974,113,7,17,2,59,2,passed
9160326,4,0,0,0,0,2,1,17,1,passed
9491260,3,0,0,0,0,1,2,9,2,passed
9491353,2,0,0,0,0,2,2,39,2,passed
10554691,34,0,0,0,0,2,1,17,1,passed
10762443,34,0,0,0,0,2,1,18,1,passed
11664418,36,0,0,1,0,3,4,76,4,passed
12134532,2,0,0,0,0,2,1,82,1,passed
12135161,14228,0,3444,44,114,11,1,135,1,passed
16941366,330,0,148,0,0,9,1,20,1,passed
34653371,9010,0,2453,26,5,53,50,122,50,failed
35864282,5691,0,1947,23,1,27,1,166,1,failed
35864886,4,0,0,0,0,3,1,81,1,failed
35866222,43,0,0,0,1,0,1,6,1,failed
35866310,0,0,0,0,0,1,1,80,1,failed
35868281,2,0,0,0,0,1,1,9,1,failed
38484112,1,0,0,0,0,1,1,41,1,failed
38602572,1,0,0,0,0,1,1,42,1,failed
43877173,2068,0,346,4,0,20,4,121,4,failed
57477391,1,0,0,0,0,1,1,10,1,failed
57482349,0,0,0,0,0,1,1,13,1,failed
57502621,5,0,0,0,0,2,1,19,1,passed
78786009,2,0,0,0,0,2,2,21,2,failed
100096980,0,0,0,0,0,1,1,28,1,passed
