tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
2707195,32,0,2,1,0,6,9,49,9,passed
2708933,5,0,0,0,0,2,1,26,1,passed
2708999,9,0,0,0,0,3,2,31,2,passed
2709001,0,0,0,0,0,1,1,17,1,passed
2971135,13,0,11,0,0,2,1,33,1,passed
2975622,13,0,11,0,0,2,1,34,1,passed
3712913,8,0,21,0,0,3,3,44,3,passed
3712927,8,0,15,0,0,3,1,49,1,passed
3803167,28,0,0,0,0,1,1,31,1,failed
3808197,28,0,0,0,0,1,1,32,1,passed
3809655,10,0,0,0,0,3,1,36,1,passed
3809667,0,0,0,0,0,1,1,19,1,passed
3809671,0,0,0,0,0,1,1,20,1,passed
3818300,123,0,0,0,0,1,1,18,1,passed
3927840,3,0,50,0,0,2,1,40,1,failed
3928495,9,0,0,0,0,3,2,40,2,passed
3928497,0,0,0,0,0,1,1,22,1,passed
3928586,2,0,0,0,0,1,1,20,1,passed
3928613,2,0,0,0,0,1,1,21,1,passed
4725833,7,0,0,0,0,1,1,34,1,passed
4726677,7,0,0,0,0,1,1,35,1,passed
4735267,67,0,61,0,0,2,1,44,1,passed
4745207,10,0,0,0,0,1,1,38,1,passed
4745232,10,0,0,0,0,1,1,39,1,passed
5928414,1,0,17,0,0,2,1,47,1,passed
5928478,1,0,17,0,0,2,1,48,1,passed
5930208,1920,0,2116,1,4,5,1,51,1,passed
5930673,1920,0,2116,1,4,5,1,52,1,passed
6319501,64,0,506,0,0,8,6,47,6,passed
6319505,0,0,0,0,0,1,1,25,1,passed
6356599,4,0,0,0,0,1,1,23,1,passed
6363561,6,0,0,0,0,1,1,1,1,passed
6363708,6,0,0,0,0,1,1,2,1,passed
6687278,2,0,0,0,0,1,1,2,1,passed
6693338,2,0,0,0,0,1,1,3,1,passed
6696311,7,0,0,0,0,2,2,35,2,passed
6696313,0,0,0,0,0,1,1,27,1,passed
7259004,2,0,0,0,0,1,1,4,1,failed
7271535,3,0,0,0,0,1,1,4,1,passed
8222436,3,0,0,0,0,1,1,5,1,passed
8223053,2,0,0,0,0,1,1,7,1,passed
8223086,2,0,6,0,0,2,1,10,1,passed
8223276,6,0,0,0,0,2,2,38,2,passed
8223278,0,0,0,0,0,1,1,29,1,passed
12449698,47,0,2,1,0,2,3,28,3,passed
12449736,2,0,0,0,0,1,1,3,1,passed
12803527,2,0,0,0,0,1,1,4,1,passed
16771583,33,0,35,0,0,2,1,12,1,passed
18671134,0,0,11,0,0,1,1,5,1,failed
18671666,0,0,11,0,0,1,1,7,1,failed
28820428,5,0,4,0,0,2,1,16,1,failed
30707158,8,0,20,0,0,2,1,18,1,passed
33256153,0,0,4,0,0,1,1,12,1,passed
37227783,0,0,4,0,0,1,1,13,1,passed
38889443,14,0,6,0,0,3,1,21,1,passed
38948625,14,0,6,0,0,3,1,22,1,passed
44660509,47,0,0,2,0,2,1,26,1,passed
44660597,47,0,0,2,0,2,1,27,1,passed
134463046,2,0,0,0,0,1,1,28,1,passed
