tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
17984092,4,0,0,0,0,1,2,9,2,failed
17984149,4,0,0,0,0,1,2,9,2,failed
17984481,0,0,0,1,0,0,1,0,1,failed
17984559,4,0,0,0,0,1,1,11,1,failed
17984717,4,0,0,0,0,1,1,12,1,passed
17986186,60,0,27,0,0,4,1,13,1,passed
17995142,163,0,157,0,0,3,3,4,3,failed
17995256,8,0,0,0,0,1,1,14,1,failed
17995331,0,0,0,0,0,1,1,1,1,passed
17995384,6,0,0,0,0,1,1,15,1,passed
17995843,2,0,0,0,0,1,1,2,1,passed
17996414,34,0,0,0,0,2,2,9,2,passed
17996560,2,0,0,0,0,1,1,3,1,passed
17996948,2,0,0,0,0,1,1,16,1,passed
18000373,101,0,100,0,0,5,1,27,1,passed
18027339,6,0,0,0,0,1,1,19,1,passed
18036697,189,0,107,0,0,2,2,23,2,passed
18043117,52,0,274,0,0,2,2,11,2,passed
18044669,49,0,77,0,0,2,1,13,1,passed
18046015,120,0,0,0,0,4,2,29,2,passed
18046291,0,0,0,0,0,1,1,5,1,passed
18046466,6,0,0,0,0,4,1,31,1,passed
18047958,56,0,27,0,0,4,1,34,1,passed
18047994,0,0,0,0,0,1,1,11,1,passed
18051702,100,0,97,0,0,4,1,36,1,passed
18056621,11,0,40,0,0,3,1,22,1,passed
18056691,6,0,0,0,0,4,1,36,1,passed
18058885,47,0,112,0,0,2,2,17,2,passed
18058915,0,0,0,0,0,1,1,15,1,passed
18088838,19,0,22,0,0,2,1,19,1,passed
18090832,10,0,47,0,0,2,2,20,2,passed
18090997,4,0,0,0,0,3,1,20,1,passed
18127217,95,0,152,0,0,4,3,46,3,passed
18138068,2,0,0,0,0,2,1,22,1,passed
18138183,7,0,0,0,0,1,1,29,1,passed
18138314,2,0,0,0,0,1,1,30,1,passed
18138666,2,0,0,0,0,1,1,31,1,passed
18144432,12,0,0,0,0,1,1,32,1,passed
18218322,1091,0,677,4,0,10,4,59,4,passed
18218486,8,0,0,0,0,1,1,34,1,passed
18238919,23,0,2,2,0,2,1,11,1,passed
18239308,2,0,0,0,0,1,1,35,1,passed
18240900,2,0,0,0,0,1,1,36,1,passed
18241584,2,0,8,0,0,5,1,15,1,passed
18241905,0,0,7,0,0,1,1,2,1,passed
18241983,18,0,3,0,0,4,1,45,1,passed
18275398,309,0,304,3,0,8,6,68,6,passed
18276076,2,0,0,0,0,1,1,40,1,passed
18285466,2,0,0,0,0,1,1,42,1,passed
18290340,16,0,0,0,0,4,2,64,2,passed
18312393,130,0,159,0,0,7,1,78,1,passed
18409484,58,0,0,0,0,1,1,33,1,passed
18416054,91,0,174,1,0,3,2,75,2,passed
18428827,206,0,165,2,0,6,2,82,2,passed
18438610,230,0,171,1,0,8,1,79,1,passed
18438853,4,0,0,0,0,3,1,40,1,passed
18440460,48,0,0,0,0,1,1,49,1,passed
18444745,4,0,0,0,0,1,1,50,1,passed
18444830,3,0,0,0,0,1,1,51,1,passed
18448426,2,0,0,0,0,1,1,52,1,passed
18448448,2,0,0,0,0,1,1,52,1,passed
18451655,2,0,0,0,0,1,1,53,1,passed
18477962,80,0,65,1,0,18,1,89,1,passed
18479453,115,0,0,1,0,3,1,4,1,passed
18482841,130,0,0,2,0,0,1,0,1,passed
18494050,2,0,0,0,0,1,1,55,1,passed
18494263,2,0,0,0,0,1,1,56,1,passed
18494853,0,0,0,0,0,1,1,7,1,passed
18495010,0,0,0,0,0,1,1,2,1,passed
18495498,0,0,4,0,0,1,1,5,1,passed
18495794,0,0,1,0,0,2,1,7,1,passed
18504097,0,0,9,0,0,2,1,14,1,passed
18666758,4,0,0,0,0,1,1,58,1,passed
18667307,3,0,0,0,0,1,1,59,1,passed
