tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
18188786,0,1,0,0,0,2,2,6,2,failed
18222894,0,0,0,0,0,1,1,2,1,passed
18267291,79,0,0,1,4,10,1,53,1,passed
18301114,0,0,98,0,0,2,1,11,1,passed
18302177,0,0,6,0,0,2,1,14,1,passed
18340773,2,0,0,0,0,1,1,35,1,passed
19798017,79,1,0,0,1,4,2,18,2,failed
19798521,0,0,0,0,0,2,1,16,1,passed
19800335,0,0,0,0,0,1,1,13,1,passed
19801100,0,0,0,0,0,1,1,14,1,passed
19801216,0,0,0,0,0,4,1,22,1,passed
19865877,0,0,0,0,0,1,1,3,1,passed
23428618,0,0,0,0,14,0,1,14,1,passed
23432069,0,0,0,0,0,1,1,18,1,passed
23434787,0,0,0,0,0,1,1,20,1,passed
23445820,0,0,0,0,0,1,1,22,1,passed
23445894,0,0,0,0,0,4,1,30,1,passed
23445939,0,0,0,0,0,4,1,31,1,passed
23596999,0,0,0,1,0,0,1,0,1,passed
23620316,28,0,0,0,0,1,1,22,1,failed
23622478,58,0,23,0,0,6,1,97,1,passed
23622591,0,0,0,0,0,4,1,32,1,passed
23622649,0,0,0,0,0,4,1,33,1,passed
23622918,6,0,0,0,0,1,1,42,1,passed
23996736,2,0,0,0,0,1,1,43,1,passed
24435789,2,0,0,0,0,1,1,44,1,passed
38145143,254,0,0,9,13,3,1,65,1,passed
38147054,0,0,0,0,0,1,1,3,1,passed
44566626,0,0,0,0,0,3,1,5,1,failed
44567358,0,0,0,0,0,1,1,17,1,failed
44568520,0,0,0,0,0,1,1,18,1,failed
44950577,0,0,0,0,0,1,1,20,1,failed
44952236,0,0,0,0,1,0,1,2,1,passed
156247874,0,0,0,0,0,2,1,6,1,passed
