tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
8106575,493,0,0,2,0,16,8,590,8,passed
8107465,55,0,0,0,0,1,1,20,1,passed
8119245,105,0,0,0,0,3,1,107,1,passed
8119323,28,0,0,0,0,2,1,16,1,passed
8136423,2,0,0,0,0,1,1,5,1,passed
8144969,22,0,0,0,0,5,1,580,1,passed
8146025,35,0,0,3,0,1,1,338,1,passed
8146066,28,0,0,0,0,10,1,654,1,failed
8147379,82,0,0,0,0,7,1,261,1,passed
8148883,3,0,0,0,0,1,1,204,1,passed
8284001,43,0,0,0,0,4,1,254,1,passed
8290160,43,0,0,0,0,4,1,255,1,passed
8828237,43,0,0,0,0,8,1,293,1,failed
8872647,4432,0,538,6,1,68,1,1596,1,passed
8974899,39,0,0,0,0,4,1,101,1,passed
8976201,7,0,0,0,0,1,1,63,1,passed
8985785,78,0,2,0,0,11,1,597,1,passed
8987130,93,0,0,0,0,1,1,445,1,passed
8989011,100,0,0,0,0,9,1,297,1,passed
8989043,100,0,0,0,0,9,1,298,1,passed
8992893,15,0,0,0,0,2,1,436,1,passed
8993332,55,0,0,0,0,4,1,205,1,passed
8994418,0,0,102,1,0,0,1,0,1,failed
8994598,0,0,16,0,0,1,1,1,1,failed
9012046,42,0,0,0,0,8,1,392,1,failed
9013729,42,0,0,0,0,8,1,393,1,failed
9017494,44,0,8,0,0,8,1,532,1,failed
9022365,288,0,14,0,0,18,1,92,1,failed
9034297,1037,0,14,2,8,17,2,169,2,failed
9044806,467,0,0,0,1,13,2,251,2,failed
9045712,126,0,0,0,0,13,1,618,1,failed
9045880,577,0,0,0,1,25,1,742,1,failed
9049757,112,0,2,0,0,11,1,287,1,failed
9110624,470,0,0,0,0,12,1,651,1,failed
9111374,197,0,2,0,3,4,1,68,1,failed
9113605,58,0,0,0,0,7,1,410,1,failed
9116172,15,0,0,0,0,3,1,506,1,failed
9143045,29,0,0,0,0,2,1,580,1,failed
9144927,111,0,0,0,0,1,1,1,1,failed
9157441,24,0,0,0,0,1,1,340,1,failed
9163414,8,0,0,0,0,3,1,187,1,failed
9166454,881,0,17,0,0,12,1,212,1,failed
9189686,10,0,0,0,0,2,1,233,1,failed
9199415,23,0,4,0,0,6,1,482,1,failed
9242865,126,0,0,0,0,4,2,540,2,failed
9256727,15,0,0,0,0,1,1,57,1,failed
9309570,76,0,5,0,0,11,1,438,1,failed
9311733,188,0,0,3,0,6,1,599,1,failed
9313709,0,0,0,0,0,1,1,76,1,failed
9314024,6,0,0,0,0,1,1,58,1,failed
9315332,30,0,4,0,0,4,1,21,1,passed
9328385,190,0,2,0,0,7,1,556,1,passed
9328982,6,0,0,0,0,1,1,14,1,passed
9330969,506,0,187,0,3,12,1,45,1,passed
9337092,14,0,0,0,0,3,1,465,1,passed
9417487,1505,0,0,4,1,23,1,1342,1,passed
9495110,0,0,0,0,0,1,1,156,1,passed
9500987,48,0,390,1,1,2,1,2,1,passed
9501413,3,0,0,0,0,2,1,3,1,passed
9503421,73,0,0,0,0,7,1,3,1,passed
9529940,217,0,0,0,2,3,1,3,1,passed
9541628,302,0,0,3,0,37,1,3,1,passed
9542135,708,0,0,7,0,9,2,6,2,passed
9556583,10,0,0,0,0,4,1,4,1,passed
9566766,42,0,0,0,0,2,1,4,1,passed
9567140,344,0,6,0,2,15,1,5,1,passed
9568075,2009,0,395,0,0,289,1,16,1,passed
9568186,2009,0,395,0,0,289,1,17,1,passed
9568552,11,0,0,0,0,1,1,2,1,passed
9568576,11,0,0,0,0,1,1,3,1,passed
9569661,451,0,5,0,0,28,3,10,3,passed
9577151,4,0,0,0,0,1,1,5,1,passed
9581539,39,0,0,0,0,4,1,7,1,passed
9583123,15,0,0,0,0,3,1,7,1,passed
9583946,5,0,0,0,0,1,1,6,1,passed
9591266,0,0,0,0,0,6,1,165,1,passed
9709301,176,0,4,3,0,8,1,9,1,passed
9711747,2,0,0,0,0,1,1,4,1,passed
9758545,21,0,0,0,0,6,1,4,1,passed
9760181,21,0,0,0,0,6,1,5,1,passed
9761637,0,0,0,0,0,1,1,158,1,passed
9820197,2,0,0,0,0,1,1,4,1,passed
9822005,2,0,0,0,0,1,1,5,1,passed
9831715,0,0,13,0,0,4,1,8,1,passed
9831847,0,0,13,0,0,4,1,9,1,passed
9884456,3751,0,35,3,10,79,1,55,1,passed
9884976,7,0,0,0,0,1,1,12,1,passed
9885300,4,0,0,0,0,1,1,5,1,passed
9909771,132,0,8,0,0,16,1,22,1,passed
9926950,58,0,0,0,1,5,1,26,1,passed
9927638,113,0,0,0,1,4,1,11,1,passed
9971914,0,0,0,0,0,6,2,170,2,passed
9993020,364,0,213,0,0,61,1,66,1,passed
9993628,0,0,0,0,0,1,1,14,1,passed
10041093,72,0,0,0,1,1,1,10,1,passed
10045026,78,0,0,0,0,7,1,5,1,passed
10048470,2,0,0,0,0,1,1,11,1,passed
10049002,18,0,0,0,0,1,1,12,1,passed
10050972,197,0,0,0,0,5,1,25,1,passed
10051736,9,0,0,0,0,3,1,22,1,passed
10051834,28,0,0,0,0,2,1,18,1,passed
10074363,7,0,0,0,0,2,1,18,1,passed
10088042,6,0,0,0,0,1,1,5,1,passed
10127487,132,0,0,0,0,2,1,18,1,passed
10136786,53,0,0,0,0,14,1,63,1,passed
10165487,18,0,0,0,0,2,2,23,2,passed
10174714,4,0,0,0,0,1,1,21,1,passed
10176149,5,0,0,0,0,1,1,6,1,passed
10176405,5,0,0,0,0,1,1,7,1,passed
10177323,100,0,0,0,0,5,1,32,1,passed
10203705,213,0,194,0,0,18,2,4,2,passed
10341459,8,0,0,0,0,1,1,4,1,passed
10350117,151,0,10,0,0,9,1,46,1,passed
10350531,50,0,0,0,0,4,1,54,1,passed
10417252,2,0,0,0,0,1,1,6,1,passed
10426014,2,0,0,0,0,1,1,12,1,passed
10439000,249,0,0,0,1,9,1,52,1,passed
10481257,56,0,0,0,0,11,1,38,1,passed
10481291,1,0,0,0,0,1,1,3,1,passed
10481487,19,0,0,0,0,2,1,4,1,passed
10520151,87,0,0,0,0,5,1,27,1,passed
10559159,73,0,0,0,0,6,1,59,1,passed
10570081,5,0,0,0,0,3,1,44,1,passed
10619202,2,0,0,0,0,1,1,4,1,passed
10838365,3,0,0,0,0,1,1,21,1,passed
10871912,6121,0,2557,0,22,160,1,114,1,passed
11398422,0,0,0,0,0,4,3,179,3,passed
11491219,21,0,0,0,0,4,1,29,1,passed
11494881,21,0,0,0,0,4,1,30,1,passed
11648717,57,0,0,0,0,5,1,41,1,passed
11841251,1010,0,0,4,1,24,1,80,1,passed
11906705,14,0,0,0,0,4,1,33,1,passed
11907086,14,0,0,0,0,4,1,34,1,passed
11914840,9,0,0,0,0,2,1,17,1,passed
13093646,11,0,0,0,0,1,1,13,1,passed
13440186,7,0,0,0,0,1,1,20,1,passed
14071164,0,0,0,10,0,9,1,8,1,passed
14110435,0,0,0,10,0,9,1,9,1,passed
15961935,2,0,0,0,0,1,1,8,1,passed
