tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
46981847,0,0,0,0,0,1,1,1,1,failed
46984319,0,0,75,0,0,1,1,5,1,failed
46992698,41,0,40,0,1,9,2,49,2,failed
47150116,0,0,613,0,0,1,1,6,1,failed
47152734,0,0,169,0,0,1,1,17,1,failed
47155513,4,0,0,0,0,1,1,20,1,failed
47233825,15,0,15,0,0,4,1,42,1,failed
47285458,0,0,2,0,0,2,1,21,1,failed
47363898,485,0,1059,5,1,32,1,399,1,failed
47369705,0,0,1,0,0,1,1,20,1,failed
47378674,106,0,3,0,0,4,1,162,1,failed
47429542,0,0,2,0,0,2,1,23,1,failed
47429780,0,0,0,0,0,1,1,3,1,failed
47431153,0,0,0,0,0,1,1,4,1,failed
47630799,2,0,1,0,0,3,1,78,1,failed
47632635,0,0,14,0,0,1,1,3,1,failed
47648304,0,0,12,0,0,2,1,95,1,failed
47654567,5,0,2,0,0,3,1,21,1,failed
47660815,49,0,9,0,0,3,1,43,1,failed
47772800,10,0,24,0,0,6,1,51,1,failed
47800849,0,0,21,0,0,1,1,19,1,failed
48320169,2604,0,626,18,8,26,1,474,1,failed
48332914,4,0,9,0,0,2,1,17,1,failed
48483214,187,0,46,0,0,6,3,37,3,failed
48597093,552,0,352,4,0,14,4,184,4,failed
48601972,546,0,318,4,0,12,1,189,1,failed
48605254,546,0,318,4,0,12,1,190,1,failed
48620878,5,0,5,0,0,3,2,94,2,failed
48736017,0,0,2,0,0,1,1,10,1,failed
49534091,109,0,18,0,0,8,1,53,1,failed
49683091,275,0,68,0,0,22,1,190,1,failed
49685480,0,0,31,0,0,2,1,27,1,failed
49689396,119,0,0,0,0,9,1,76,1,failed
49782595,0,0,0,0,0,1,1,2,1,failed
49782730,0,0,0,0,0,1,1,12,1,failed
49802283,0,0,2,0,0,3,1,37,1,failed
49804688,0,0,2,0,0,1,1,18,1,failed
49807953,2,0,0,0,0,1,1,11,1,failed
49903933,16,0,0,0,0,3,1,95,1,failed
49911981,101,0,16,0,1,12,1,174,1,failed
50689992,0,0,22,0,0,1,1,10,1,failed
50696395,143,0,14,0,0,7,1,64,1,failed
50701121,0,0,15,0,0,1,1,5,1,failed
50709435,32,0,22,0,0,5,1,42,1,failed
50710488,0,0,2,0,0,1,1,6,1,passed
50786113,0,0,0,0,0,1,1,77,1,passed
50789436,0,0,0,0,0,1,1,3,1,passed
50789562,0,0,0,0,0,1,1,4,1,passed
50791020,0,0,2,0,0,1,1,6,1,passed
50999476,14,0,87,1,0,4,1,113,1,failed
51064059,6,0,62,0,0,3,2,42,2,passed
51065019,13,0,0,0,0,3,1,10,1,passed
51076513,0,0,0,0,0,1,1,81,1,failed
51077047,0,0,0,0,1,2,1,97,1,passed
51078888,0,0,36,0,0,1,1,11,1,passed
51222212,46,0,0,0,0,1,1,73,1,passed
51389186,0,0,0,0,0,1,1,3,1,passed
51619915,2,0,0,0,0,1,1,5,1,passed
51821593,2,0,0,0,0,1,1,6,1,passed
52109320,3,0,0,0,0,1,1,14,1,failed
52203947,134,0,1,0,0,9,1,279,1,passed
52244724,45,0,0,0,0,1,1,33,1,failed
52319356,0,0,0,0,0,1,1,9,1,failed
52324195,8,0,0,0,0,3,2,120,2,failed
52330601,0,0,29,0,0,2,1,59,1,failed
52337468,6,0,0,0,0,2,2,169,2,passed
52343238,2,0,14,0,0,4,1,67,1,failed
52352612,157,0,119,1,0,13,2,358,2,failed
52388063,97,0,0,2,0,2,1,24,1,failed
52404673,97,0,0,2,0,2,1,25,1,failed
52670468,97,0,0,2,0,2,1,26,1,failed
52900575,0,0,0,0,0,10,1,154,1,failed
52900579,0,0,0,0,0,10,1,155,1,failed
53566473,255,0,21,0,2,7,1,38,1,failed
53631716,9,0,8,0,0,2,1,37,1,failed
53638836,0,0,0,0,0,1,1,1,1,failed
53650711,198,0,0,0,3,2,1,51,1,failed
53713754,7,0,0,0,0,1,1,9,1,failed
54116679,3240,0,471,12,3,21,1,477,1,failed
54651605,4,0,1,0,0,2,2,64,2,failed
54726237,0,0,53,0,0,1,1,41,1,failed
54840264,28,0,0,0,0,2,1,97,1,failed
55004754,181,0,121,1,0,16,1,244,1,failed
55065120,445,0,55,0,0,16,1,136,1,failed
55418538,343,0,0,2,0,6,7,82,7,failed
55419292,0,0,22,0,1,0,1,3,1,failed
55553260,46,0,0,0,0,2,1,23,1,failed
55779856,158,0,24,0,0,15,1,328,1,failed
55785589,79,0,0,0,0,1,1,14,1,failed
55954104,36,0,0,0,0,3,1,62,1,failed
55954677,0,0,0,0,0,10,1,161,1,failed
55954689,0,0,0,0,0,10,1,162,1,failed
56584957,4,0,0,0,0,2,2,23,2,failed
56593428,0,0,259,0,0,1,1,43,1,failed
56618672,287,0,31,0,0,35,3,504,3,failed
56690451,0,0,1,0,0,1,1,44,1,failed
56695418,8,0,0,0,0,1,1,35,1,failed
56697635,0,0,14,0,0,1,1,45,1,failed
56703332,8,0,70,1,0,2,2,69,2,failed
56889151,2,0,0,0,0,1,1,32,1,failed
59370363,212,0,0,1,0,6,2,280,2,failed
61477001,52,0,0,0,0,7,3,79,3,failed
61917607,53,0,355,2,0,2,1,2,1,failed
62625889,525,0,69,0,10,8,4,66,4,failed
63890556,231,0,2,0,0,10,2,184,2,failed
64296389,79,0,0,0,0,7,2,273,2,failed
64296596,0,0,0,0,0,11,1,170,1,failed
64296612,0,0,0,0,0,11,1,171,1,failed
64898945,3,0,44,0,0,3,1,25,1,failed
65410282,854,0,61,0,0,27,1,373,1,failed
65411895,130,0,0,0,0,6,1,42,1,failed
65467933,20,0,0,0,0,1,1,17,1,failed
65863215,20,0,3,0,0,2,1,41,1,failed
65864941,5,0,0,0,0,1,1,44,1,failed
65897050,296,0,10,1,0,11,2,300,2,failed
65910162,6,0,0,0,0,1,1,20,1,failed
66043580,90,0,1,0,0,6,1,156,1,failed
66049914,13,0,0,0,0,1,1,46,1,failed
66108882,178,0,35,0,0,8,1,168,1,failed
66170855,73,0,2,0,0,3,1,70,1,failed
66182018,0,0,518,0,1,41,1,237,1,failed
66215073,137,0,1,0,0,13,1,373,1,failed
66243909,12,0,0,0,0,2,1,50,1,failed
66347364,20,0,0,0,0,6,1,188,1,failed
66350759,5,0,0,0,0,1,1,39,1,failed
66353119,26,0,0,0,0,2,1,50,1,failed
