tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
3258705,400,0,39,1,1,5,2,151,2,passed
3258796,2,0,0,0,0,1,1,17,1,passed
3267192,1,0,5,0,0,2,1,121,1,passed
3279116,1,0,5,0,0,2,1,122,1,passed
3285428,0,0,425,2,0,1,2,80,2,passed
3286137,0,0,425,2,0,1,1,82,1,passed
3290566,0,0,0,0,0,1,1,7,1,passed
3290586,0,0,0,0,0,1,1,8,1,passed
3316703,27,0,34,0,0,2,1,128,1,passed
3327704,5,0,10,0,0,2,1,34,1,passed
3328200,5,0,10,0,0,2,1,35,1,passed
3353791,0,0,4,0,0,2,3,15,3,passed
3354192,0,0,4,0,0,2,1,18,1,passed
3355598,0,0,0,0,0,1,2,12,2,passed
3355813,0,0,0,0,0,1,1,14,1,failed
3440441,4,0,0,0,0,1,1,20,1,passed
3440556,4,0,0,0,0,1,1,21,1,failed
3474081,4,0,59,0,0,2,1,36,1,passed
3474244,4,0,59,0,0,2,1,37,1,passed
3596720,19,0,46,0,0,3,1,130,1,passed
3712613,8,0,0,0,0,1,1,22,1,passed
3763812,8,0,0,0,0,1,1,23,1,passed
3764066,31,0,0,0,0,1,1,4,1,passed
3774037,0,0,11,0,0,1,1,9,1,passed
3782734,6,0,0,0,0,1,1,5,1,passed
3782800,6,0,0,0,0,1,1,6,1,passed
3785707,46,0,54,0,0,4,1,124,1,passed
3976495,1,0,20,0,0,3,1,136,1,failed
3980895,3,0,22,0,0,2,1,14,1,passed
3982831,15,1,0,0,0,1,2,22,2,failed
4072678,4,0,0,0,0,1,1,20,1,failed
4073144,4,0,0,0,0,1,1,27,1,failed
4089555,65,0,0,0,0,1,3,28,3,failed
4090130,37,0,0,0,0,1,1,31,1,passed
4094805,3,0,0,0,0,1,1,21,1,passed
4094904,3,0,0,0,0,1,1,33,1,failed
4117279,2,0,0,0,0,1,1,34,1,passed
4117373,2,0,0,0,0,1,1,35,1,failed
4168141,2,0,0,0,0,1,1,36,1,passed
4691608,2,0,0,0,0,1,1,37,1,failed
4692220,2,0,0,0,0,1,1,37,1,failed
4723447,40,0,9,0,0,6,5,159,5,passed
4882014,20,0,0,0,0,1,1,4,1,failed
5066910,1,0,38,0,0,3,3,156,3,passed
5135108,14,0,0,0,0,3,2,136,2,passed
5138303,14,0,0,0,0,3,1,138,1,passed
5244615,7,0,38,0,0,3,1,139,1,passed
5258742,40,0,0,0,0,1,1,39,1,passed
5268122,40,0,0,0,0,1,1,40,1,passed
5268273,7,0,38,0,0,3,1,140,1,passed
5268680,13,0,0,0,0,1,1,43,1,passed
5269039,3,0,22,0,0,2,1,21,1,passed
5269635,4,0,0,0,0,1,1,44,1,passed
5270120,18,0,17,0,0,2,1,142,1,passed
5270346,1,0,36,0,0,3,1,165,1,passed
5270362,54,0,98,0,0,3,1,65,1,passed
5270430,54,0,98,0,0,3,1,66,1,passed
5271876,2,0,0,0,0,1,1,3,1,passed
5275769,19,0,1,0,0,3,1,128,1,failed
5288662,2,0,0,0,0,1,1,47,1,passed
5292822,2,0,0,0,0,1,1,48,1,passed
5293563,3,0,0,0,0,1,1,10,1,passed
5299983,18,0,1,0,0,3,1,130,1,passed
5300224,16,0,0,1,0,0,1,0,1,passed
5337342,15,0,50,0,0,2,1,24,1,passed
5347520,26,0,7,0,0,3,1,192,1,passed
5347683,15,0,50,0,0,2,1,25,1,passed
5382505,4,0,0,0,0,1,1,51,1,failed
5388067,4,0,0,0,0,1,1,52,1,failed
5389256,0,0,0,0,0,1,2,15,2,passed
5486501,93,0,391,2,0,6,1,178,1,passed
5487717,2,0,0,0,0,1,1,53,1,passed
5488888,2,0,0,0,0,1,1,54,1,passed
5489800,93,0,391,2,0,6,1,179,1,passed
5490950,100,0,0,1,0,3,1,129,1,passed
5491318,35,0,0,0,0,2,1,127,1,passed
5506818,5,0,0,0,0,1,1,32,1,passed
5507158,5,0,0,0,0,1,1,33,1,passed
5510659,4,0,0,0,0,1,1,128,1,passed
5510850,75,0,0,1,0,3,1,134,1,passed
5511777,184,0,164,1,0,4,8,158,8,failed
5520298,2,0,0,0,0,1,1,6,1,passed
5520391,0,0,60,0,0,1,1,5,1,passed
5520653,2,0,9,0,0,2,1,2,1,passed
5532753,2,0,0,0,0,1,1,7,1,passed
5532773,2,0,9,0,0,2,1,3,1,passed
5532800,128,0,96,1,0,3,1,167,1,passed
5533584,0,0,57,0,0,1,1,21,1,passed
5534883,0,0,57,0,0,1,1,22,1,passed
5546424,8,0,28,0,0,2,1,164,1,passed
5552606,8,0,28,0,0,2,1,165,1,passed
5601660,8,0,0,1,0,1,2,5,2,passed
5602569,37,0,80,1,0,5,1,216,1,passed
5610808,8,0,0,0,0,1,1,15,1,passed
5612349,8,0,0,0,0,1,1,16,1,passed
5638304,4,0,0,0,0,1,1,41,1,passed
5640182,19,0,16,0,0,4,1,17,1,passed
5645749,87,0,0,0,0,3,1,167,1,passed
5654588,4,0,0,0,0,1,1,144,1,passed
5661014,91,0,0,0,0,3,1,169,1,passed
5714797,4,0,0,0,0,2,1,151,1,passed
5719088,4,0,0,0,0,2,1,152,1,passed
5723441,3,0,0,0,0,1,1,4,1,passed
5725077,3,0,0,0,0,1,1,5,1,passed
5728471,8,0,0,0,0,1,1,57,1,passed
5735296,4,0,0,0,0,1,1,57,1,passed
5739590,8,0,0,0,0,1,1,58,1,passed
5739617,4,0,0,0,0,1,1,60,1,passed
5808991,2,0,0,0,0,2,1,17,1,failed
5811186,2,0,0,0,0,2,1,18,1,failed
5812557,6,0,4,0,0,4,1,176,1,failed
5827764,6,0,4,0,0,4,1,177,1,failed
5830716,0,0,2,0,0,1,1,9,1,passed
5843836,0,0,2,0,0,1,1,10,1,passed
6034864,50,0,399,0,2,5,1,200,1,failed
6040471,2,0,0,0,0,1,1,43,1,failed
6041052,0,0,5,0,0,2,1,39,1,passed
6047634,7,0,14,0,0,3,1,177,1,passed
6175440,2,0,19,0,0,3,1,177,1,failed
6231530,4,0,31,0,0,3,2,129,2,failed
6303076,2,0,0,0,0,1,1,37,1,failed
6369450,2,0,0,0,0,1,1,38,1,passed
6369558,0,0,0,0,0,1,1,17,1,passed
6369691,2,0,19,0,0,3,1,178,1,passed
6369983,4,0,31,0,0,3,1,133,1,failed
6382861,16,0,0,0,0,1,1,6,1,failed
6390112,16,0,0,0,0,1,1,7,1,failed
6402812,0,0,6,0,0,1,1,109,1,passed
6402920,0,0,6,0,0,1,1,110,1,passed
6455516,4,0,0,0,0,2,1,57,1,passed
6455661,4,0,0,0,0,2,1,58,1,passed
6501973,8,0,0,0,0,1,1,153,1,passed
6529594,8,0,0,0,0,1,1,154,1,passed
6530959,2,0,0,0,0,1,1,16,1,passed
6533509,2,0,0,0,0,1,1,17,1,passed
6619146,2,0,0,0,0,1,1,61,1,passed
6637061,2,0,0,0,0,1,1,62,1,passed
6688414,2,0,59,0,0,2,1,184,1,passed
6819484,2,0,0,0,0,1,1,63,1,passed
6820776,2,0,0,0,0,1,1,63,1,passed
6885449,8,0,0,0,0,2,2,107,2,passed
6886670,6,0,0,0,0,1,1,45,1,passed
6893815,4,0,0,0,0,1,1,19,1,passed
6902715,28,0,10,0,0,3,1,113,1,passed
6902860,4,0,0,0,0,1,1,20,1,passed
6902894,28,0,10,0,0,3,1,114,1,passed
6902925,2,0,59,0,0,2,1,185,1,passed
6902984,7,0,14,0,0,3,1,188,1,passed
6904105,2,0,0,0,0,1,1,67,1,passed
6904747,29,0,13,0,0,5,2,106,2,passed
6904899,2,0,0,0,0,1,1,4,1,passed
6908645,4,0,0,0,0,1,1,159,1,passed
6908685,4,0,0,0,0,1,1,160,1,passed
6908711,6,0,0,0,0,2,2,14,2,passed
6999767,4,0,0,0,0,1,1,10,1,passed
6999879,4,0,0,0,0,1,1,11,1,passed
7074102,2,0,0,0,0,1,1,69,1,passed
7080882,2,0,0,0,0,1,1,70,1,passed
7131245,12,0,0,0,0,1,1,71,1,passed
7148909,65,0,0,0,0,1,2,72,2,passed
7170273,49,0,0,0,0,1,1,74,1,passed
7351376,6,0,0,0,0,1,1,75,1,passed
7362626,6,0,0,0,0,1,1,76,1,passed
7376384,570,0,4,2,0,5,1,240,1,failed
7377007,39,0,0,0,0,1,1,12,1,failed
7377939,2,0,32,0,0,2,1,174,1,failed
7392688,2,0,0,0,0,1,1,13,1,failed
7392730,2,0,0,0,0,1,1,14,1,failed
7407290,2,0,32,0,0,2,1,175,1,failed
7407369,2,0,0,0,0,1,1,175,1,passed
7455545,2,0,22,0,0,3,1,37,1,passed
7475890,31,0,69,0,0,3,1,239,1,passed
7477053,2,0,22,0,0,3,1,38,1,passed
7477338,7,0,0,0,0,1,1,15,1,passed
7489773,20,0,0,1,0,0,1,0,1,passed
7584600,3,0,19,0,0,2,1,30,1,passed
7616602,3,0,19,0,0,2,1,30,1,passed
7616791,3,0,19,0,0,2,1,30,1,passed
7617111,0,0,0,0,0,1,1,18,1,passed
7618127,0,0,0,0,0,1,1,19,1,passed
7646541,114,0,1216,0,0,20,9,429,9,passed
7679758,110,0,1216,0,0,20,1,438,1,passed
7788334,0,0,2,0,0,1,1,16,1,passed
7790370,0,0,2,0,0,1,1,17,1,passed
7851267,12,0,0,0,0,1,1,79,1,passed
7859371,12,0,0,0,0,1,1,80,1,passed
7905904,2,0,0,0,0,1,1,81,1,passed
7911195,2,0,0,0,0,1,1,82,1,passed
8128344,11,0,0,0,0,1,1,83,1,passed
8516802,18,0,0,0,0,1,1,86,1,passed
8534007,18,0,0,0,0,1,1,87,1,passed
8728993,2,0,0,0,0,1,1,88,1,passed
8744410,2,0,0,0,0,1,1,89,1,passed
10154649,11,0,0,0,0,1,1,90,1,passed
10166557,25,0,0,0,0,1,1,91,1,passed
10769945,29,0,0,0,0,1,1,90,1,passed
10778074,29,0,0,0,0,1,1,91,1,passed
12841021,0,0,2,0,0,2,1,32,1,passed
12842823,2,0,4,0,0,2,2,218,2,passed
12845063,10,0,0,0,0,1,1,95,1,passed
12845780,3,0,0,0,0,1,1,97,1,passed
12846602,37,0,0,0,0,1,1,2,1,passed
12875830,47,0,0,0,0,1,1,100,1,passed
12880328,28,0,0,0,0,1,1,103,1,passed
12880800,0,0,6,0,0,2,1,8,1,passed
12923078,2,0,0,0,0,1,1,25,1,passed
12932408,2,0,0,0,0,1,1,26,1,passed
12958077,5,0,20,0,0,2,1,54,1,passed
12991351,6,0,14,0,0,3,1,77,1,passed
12992773,0,0,67,0,0,3,4,26,4,passed
12994515,0,0,19,0,0,1,1,4,1,passed
12996601,32,0,28,0,0,7,2,272,2,passed
12999083,6,2,0,1,0,1,1,61,1,passed
12999243,14,0,24,0,0,7,1,274,1,passed
13000258,14,0,0,0,0,1,1,75,1,passed
13001419,12,0,0,0,0,1,1,4,1,passed
13003505,42,1,0,0,0,2,1,221,1,passed
13008883,4,0,0,0,0,1,1,218,1,passed
13046221,14,0,0,0,0,1,1,106,1,passed
13047204,42,0,0,0,0,1,1,108,1,passed
13062198,4,0,0,0,0,1,1,109,1,passed
13065456,33,0,0,0,0,1,1,219,1,passed
13065497,4,0,0,0,0,1,1,110,1,passed
13066683,33,0,0,0,0,1,1,220,1,passed
13066779,6,0,0,0,0,1,1,221,1,passed
13070922,29,1,0,0,0,1,1,222,1,passed
13072180,3,0,0,0,0,1,1,223,1,passed
13082943,2,1,0,0,0,1,1,111,1,passed
13083235,2,0,0,0,0,1,1,112,1,passed
13092468,10,0,0,0,0,1,1,113,1,passed
13093927,10,0,0,0,0,1,1,114,1,passed
13188736,10,3,15,0,0,3,1,254,1,passed
13232411,29,0,0,0,0,3,1,249,1,passed
13331932,42,0,16,0,0,5,1,312,1,passed
13333846,33,0,37,0,0,4,1,263,1,passed
13371129,35,0,10,0,0,4,1,283,1,passed
13377258,6,0,0,0,0,1,1,115,1,passed
13388318,5,0,0,0,0,1,1,48,1,passed
13389931,9,0,0,0,0,1,1,2,1,passed
13425647,9,0,0,0,0,4,1,47,1,passed
13445256,0,0,8,0,0,1,1,14,1,passed
13469279,23,0,30,0,0,3,1,91,1,passed
13470467,35,0,28,0,0,3,1,283,1,passed
13502688,106,0,65,3,0,2,1,6,1,failed
13601639,108,0,67,3,0,2,1,9,1,passed
13805159,5,0,47,1,0,2,1,56,1,passed
13807623,2,0,24,1,0,1,1,82,1,passed
13870406,5,0,17,1,0,2,1,256,1,passed
14670796,0,0,0,0,0,1,1,33,1,failed
14904574,0,0,0,0,0,1,2,34,2,passed
15049869,0,0,0,0,0,1,1,36,1,passed
15050176,0,0,0,0,0,1,1,37,1,passed
15291491,4,1,24,0,0,3,1,250,1,passed
15540677,5,0,47,1,0,2,1,59,1,passed
15542529,0,0,87,0,1,2,3,10,3,passed
15542709,4,0,24,0,0,3,1,251,1,passed
15543427,4,0,0,0,0,1,1,237,1,passed
15544961,1,0,33,1,0,2,2,243,2,passed
15561482,2,0,24,1,0,1,1,83,1,passed
15589345,7,0,0,0,0,1,1,53,1,passed
15597647,28,0,7,0,0,3,1,288,1,passed
15599359,10,0,0,0,0,3,1,314,1,passed
15651074,0,0,9,0,0,1,1,2,1,failed
15651499,0,0,1,0,0,1,1,3,1,passed
15653204,0,0,0,0,0,1,1,38,1,passed
15723352,11,0,21,0,0,4,1,23,1,passed
15822791,0,0,0,0,0,1,1,39,1,passed
15992847,0,0,0,0,0,1,1,40,1,passed
16001493,0,0,1,0,0,1,1,14,1,passed
16001763,1,0,0,0,0,1,1,19,1,passed
16002917,1,0,0,0,0,1,1,20,1,passed
16003081,1,0,0,0,0,3,1,26,1,passed
16003824,0,0,0,0,0,1,1,41,1,passed
16006586,0,0,1,0,0,1,1,15,1,passed
16009294,9,0,0,0,0,1,1,116,1,passed
16343321,4,0,0,0,0,2,2,92,2,passed
16478267,24,2,99,1,1,5,1,313,1,passed
16536733,24,2,99,1,1,5,1,315,1,passed
16538349,2,0,0,0,0,1,1,6,1,passed
16538632,1,0,0,0,0,1,1,29,1,passed
16657015,2,0,0,0,0,1,1,119,1,passed
16670452,49,0,111,0,0,6,3,159,3,passed
16690688,2,1,70,0,0,19,1,118,1,passed
16727114,1,0,0,0,0,3,1,30,1,passed
16815974,0,0,0,0,0,1,1,44,1,passed
17359113,2,0,0,0,0,1,1,249,1,passed
17454299,14,0,0,0,0,1,1,120,1,passed
18028384,29,0,0,0,0,2,2,117,2,passed
18216055,29,0,0,0,0,2,1,123,1,passed
19289591,0,0,0,0,0,1,1,45,1,passed
19821608,10,0,0,0,0,4,1,68,1,passed
19836557,10,0,0,0,0,4,1,69,1,passed
20229350,9,0,0,0,0,1,1,124,1,passed
20479422,0,0,2,0,0,1,1,29,1,passed
20479716,9,0,0,0,2,2,4,70,4,failed
20497113,13,0,0,0,2,2,1,75,1,passed
20527566,9,0,0,0,0,1,1,125,1,passed
20635605,10,2,20,0,0,2,1,251,1,passed
21881378,56,0,56,2,0,6,1,447,1,passed
22971474,15,0,34,0,0,6,1,292,1,passed
29181237,0,0,0,0,0,1,1,53,1,passed
31061873,3,0,15,1,0,1,1,256,1,passed
31514619,6,2,0,0,0,3,1,334,1,passed
32458791,98,0,98,0,0,5,1,432,1,passed
32545821,11,3,0,0,0,2,1,106,1,failed
32581863,11,2,0,0,0,2,1,107,1,failed
32629878,5,0,37,0,0,3,2,296,2,failed
32750109,0,0,1,0,0,1,1,31,1,passed
32813082,0,0,1,0,0,1,1,32,1,passed
32834457,12,0,19,0,0,2,1,267,1,passed
32834599,0,0,6,0,0,1,1,8,1,passed
32841390,4,0,36,2,0,1,1,67,1,passed
33047878,105,0,10,0,0,2,4,1,4,passed
33231942,5,0,37,0,0,4,2,350,2,passed
33245062,0,0,0,0,0,1,1,55,1,passed
33311111,8,0,0,0,0,1,1,135,1,passed
33313675,126,0,61,2,0,4,1,134,1,passed
33313706,4,0,36,2,0,1,1,72,1,passed
33313894,12,0,19,0,0,2,1,271,1,passed
33318037,3,0,15,1,0,1,1,265,1,passed
33321448,437,5,179,22,1,11,21,1,21,passed
33322000,49,0,0,0,0,1,1,4,1,passed
33322089,2,0,0,0,0,1,1,1,1,passed
33383541,39,0,65,1,0,1,1,4,1,passed
33511930,34,0,0,0,0,1,1,6,1,passed
33569166,52,0,39,4,0,2,1,6,1,passed
33571400,0,0,49,0,0,1,1,1,1,passed
33604209,52,0,58,4,0,2,1,8,1,passed
33667444,102,0,129,4,0,12,7,16,7,failed
33669240,42,0,118,1,0,5,2,12,2,failed
33679688,8,0,0,0,0,1,1,7,1,passed
33705208,0,0,2,0,0,3,3,10,3,passed
33734507,0,0,2,0,0,3,1,13,1,passed
33734544,8,0,0,0,0,1,1,8,1,passed
33734645,4,0,0,0,0,1,1,8,1,passed
33829888,100,0,155,2,0,9,6,21,6,failed
33874287,69,0,144,3,1,10,4,21,4,failed
33882920,20,0,2,0,0,5,3,38,3,passed
33882984,0,0,0,0,0,1,1,8,1,passed
33916450,63,2,97,2,0,6,4,19,4,passed
34061969,170,0,375,13,2,10,1,47,1,passed
34124480,10,0,29,1,0,2,1,23,1,passed
34263578,2,0,0,0,0,1,1,12,1,passed
34304350,2,0,0,0,0,1,1,13,1,passed
35280606,0,0,0,0,0,0,1,0,1,passed
35829633,0,0,0,0,0,0,1,1,1,passed
36605625,4,0,0,0,0,1,1,5,1,passed
36615157,4,0,0,0,0,1,1,6,1,passed
37515336,20,0,0,0,0,1,1,5,1,passed
37519460,20,0,0,0,0,1,1,6,1,passed
37646103,24,0,38,1,0,2,1,7,1,passed
37849771,52,0,17,0,0,5,1,32,1,passed
37883984,17,0,9,0,0,2,1,23,1,passed
37909997,52,0,17,0,0,5,1,33,1,passed
37950929,17,0,9,0,0,2,1,26,1,passed
37951243,24,0,38,1,0,2,1,8,1,passed
37951967,10,0,29,1,0,2,1,30,1,passed
37957440,5,0,0,0,0,1,1,5,1,passed
37961957,5,0,0,0,0,1,1,5,1,passed
37967068,5,0,17,0,0,2,1,10,1,passed
38104405,81,0,94,2,0,9,1,31,1,passed
38105444,18,0,16,0,0,5,1,12,1,passed
38681629,2,0,17,0,0,2,1,15,1,passed
38705586,2,0,0,0,0,1,1,11,1,passed
39098558,54,0,62,2,0,5,1,45,1,failed
39205209,20,0,32,1,0,3,1,17,1,passed
39404587,2,0,17,0,0,2,1,16,1,passed
39426274,2,0,0,0,0,1,1,14,1,passed
39496514,22,0,59,0,0,12,1,45,1,passed
39561705,22,0,59,0,0,12,1,46,1,passed
39607144,23,0,28,0,0,4,1,26,1,passed
39619438,23,0,28,0,0,4,1,27,1,passed
39727442,0,0,0,0,0,1,1,10,1,passed
39727514,8,0,10,0,0,2,1,22,1,passed
39887620,125,0,179,2,0,12,1,62,1,passed
39890144,4,0,0,0,0,1,1,15,1,passed
39897208,4,0,0,0,0,1,1,16,1,passed
40010722,125,0,179,2,0,12,1,65,1,passed
40104113,42,0,65,1,0,4,1,42,1,passed
40136580,182,0,363,2,1,18,2,89,2,passed
40301099,24,0,43,0,0,9,1,36,1,passed
40302753,19,0,25,0,0,3,1,25,1,passed
40680558,23,0,41,0,0,6,1,35,1,passed
40727165,23,0,41,0,0,6,1,36,1,passed
40801021,102,0,94,0,0,5,1,30,1,passed
40820795,102,0,94,0,0,5,1,31,1,passed
40826545,2,0,49,0,0,2,1,30,1,passed
40827180,49,0,90,1,0,4,1,49,1,passed
40881482,0,0,0,0,0,1,1,13,1,passed
40882907,2,0,49,0,0,2,1,31,1,passed
40886611,21,0,28,1,0,3,1,58,1,passed
40900850,36,0,113,1,0,7,1,62,1,passed
40918151,21,0,90,0,0,2,1,31,1,passed
40955240,258,0,467,3,0,19,1,109,1,passed
41244236,21,0,90,0,0,2,1,32,1,passed
41611793,4,0,0,0,0,1,1,23,1,passed
42997461,4,0,0,0,0,1,1,34,1,passed
42999232,4,0,0,0,0,1,1,35,1,passed
43499918,0,0,0,0,0,1,2,14,2,passed
43556410,0,0,0,0,0,1,1,16,1,passed
45910359,89,0,96,2,0,5,1,72,1,passed
45911128,89,0,96,2,0,5,1,73,1,passed
46060088,63,0,73,2,0,8,1,84,1,passed
46061569,36,0,96,1,0,5,1,91,1,passed
46656868,2,0,0,0,0,1,1,40,1,passed
46664539,2,0,41,0,0,5,1,55,1,passed
46664642,0,0,2,0,0,1,1,24,1,passed
46897555,4,0,29,0,0,2,1,44,1,passed
46913177,4,0,29,0,0,2,1,45,1,passed
48798672,21,0,99,0,0,16,2,97,2,passed
48875526,0,0,4,0,0,1,1,29,1,passed
48891423,0,0,4,0,0,1,1,30,1,passed
48897226,21,0,99,0,0,16,1,101,1,passed
49013262,0,0,8,0,0,1,1,16,1,passed
49202991,96,1,189,1,0,16,1,121,1,passed
49449677,96,0,189,1,0,16,1,122,1,passed
49830498,16,0,0,0,0,1,1,34,1,passed
49895453,16,0,0,0,0,1,1,35,1,passed
50562447,36,0,67,1,0,2,2,58,2,passed
52067229,2,0,0,0,0,1,1,48,1,failed
52079571,0,0,5,0,0,1,1,4,1,passed
52185828,2,0,2,0,0,2,1,2,1,passed
52624172,0,0,8,0,0,1,1,17,1,failed
52624530,2,0,5,0,0,2,1,50,1,failed
52649109,16,0,81,1,0,6,2,92,2,passed
52940151,2,0,2,0,0,2,1,3,1,failed
53268757,16,0,81,1,0,6,1,94,1,passed
53567178,21,0,0,1,0,2,2,38,2,passed
53882479,33,0,0,0,0,3,3,61,3,passed
53883217,19,0,0,1,0,1,1,40,1,passed
53947133,6,0,243,0,0,6,1,86,1,passed
53983475,6,0,243,0,0,6,1,87,1,failed
53986994,3,0,25,1,0,2,1,72,1,passed
54006329,13,0,22,0,0,5,1,79,1,passed
54316899,25,0,0,0,0,2,1,63,1,passed
54515389,18,0,0,0,0,1,1,3,1,passed
54515926,4,0,0,0,0,1,1,42,1,failed
54517824,12,0,0,0,0,1,1,4,1,passed
54526435,28,0,0,0,0,1,1,5,1,passed
55422647,4,0,27,0,0,7,1,95,1,passed
55422679,2,0,32,0,0,2,1,69,1,passed
55523800,101,0,741,0,0,18,13,147,13,passed
55696272,87,0,553,0,0,17,1,154,1,passed
56097231,2,0,0,0,0,1,1,47,1,failed
56191876,2,0,0,0,0,1,1,48,1,passed
