tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
16810696,139,0,0,1,0,4,2,111,2,passed
16840437,5,0,0,1,0,3,1,112,1,passed
17819161,30,0,0,0,0,2,1,17,1,passed
17819266,0,0,0,0,0,3,1,36,1,passed
17819270,0,0,0,0,0,3,1,37,1,passed
19512127,0,0,0,0,0,1,1,38,1,passed
19576061,1,0,0,0,0,1,1,12,1,passed
19582882,1,0,0,0,0,1,1,13,1,passed
19594244,0,0,0,0,0,1,1,39,1,passed
19684895,7,0,0,0,0,1,1,4,1,passed
21351190,4,0,11,0,0,5,2,121,2,passed
21371107,4,0,11,0,0,2,1,94,1,passed
23061047,102,0,0,0,0,6,1,104,1,passed
23365283,12,0,0,0,0,1,1,8,1,passed
23367734,28,0,0,0,0,1,1,92,1,passed
23388993,12,0,0,0,0,1,1,9,1,passed
23389036,28,0,0,0,0,1,1,93,1,passed
25786251,1,0,0,0,0,1,1,94,1,passed
25803970,1,0,0,0,0,1,1,95,1,passed
27152315,8,0,0,0,0,4,2,47,2,passed
27152319,0,0,0,0,0,3,1,44,1,passed
27176769,8,0,0,0,0,4,2,50,2,passed
27176773,0,0,0,0,0,3,1,47,1,passed
27242610,30,0,0,7,0,2,1,17,1,passed
29464862,9,0,19,0,0,2,2,101,2,passed
31652554,9,0,19,0,0,2,1,103,1,passed
37888034,69,0,0,0,0,6,1,110,1,passed
37992724,55,0,0,0,0,5,1,111,1,passed
38010975,10,0,0,0,0,5,2,66,2,passed
38010991,0,0,0,0,0,3,1,51,1,passed
39179802,43,0,0,0,0,2,1,107,1,passed
39187525,5,0,0,0,0,1,1,33,1,passed
39196931,0,0,0,0,0,3,1,53,1,passed
39196934,17,0,0,0,0,5,2,69,2,passed
40579424,8,0,0,0,0,1,1,104,1,passed
40581848,8,0,0,0,0,1,1,105,1,passed
43658368,6,0,0,0,0,1,1,11,1,passed
44149296,4,0,17,0,0,2,1,115,1,passed
44150069,4,0,17,0,0,2,1,116,1,passed
44150442,3,0,0,0,0,1,1,13,1,passed
44161106,6,0,0,0,0,5,2,76,2,passed
44161110,0,0,0,0,0,3,1,55,1,passed
44654366,27,0,0,2,0,2,1,20,1,passed
44654518,27,0,0,2,0,2,1,21,1,passed
44658275,2,0,0,0,0,1,1,2,1,passed
46858079,15,0,0,0,0,1,1,13,1,passed
47795949,44,0,0,0,0,2,1,126,1,passed
47893061,44,0,0,0,0,2,1,127,1,passed
47893270,0,0,0,0,0,1,1,56,1,passed
47893598,0,0,0,0,0,1,1,57,1,passed
47893718,4,0,0,0,0,1,1,114,1,passed
48089298,0,0,0,3,0,0,1,0,1,passed
48093189,0,0,0,3,0,0,1,1,1,passed
51565309,79,0,0,2,0,3,1,125,1,passed
52167778,0,0,0,1,0,0,1,1,1,passed
52517174,13,0,0,0,0,1,1,118,1,passed
58017455,0,0,0,0,0,3,1,58,1,failed
58017463,0,0,0,0,0,3,1,59,1,failed
58017893,3,0,0,0,0,1,1,17,1,failed
58318999,12,0,0,0,0,1,1,17,1,failed
58319396,5,0,0,0,0,1,1,18,1,failed
58319991,0,0,0,0,0,3,1,60,1,failed
58320022,0,0,0,0,0,3,1,61,1,failed
60414829,7,0,26,0,0,2,2,125,2,failed
60416497,118,0,15,0,0,5,1,135,1,failed
60438179,7,0,26,0,0,2,1,129,1,failed
60457135,52,0,0,0,0,2,1,126,1,failed
60465492,52,0,0,0,0,2,1,127,1,failed
60469803,79,0,0,0,0,1,1,25,1,failed
60470071,0,0,0,0,0,3,1,62,1,failed
60470079,0,0,0,0,0,3,1,63,1,failed
60470292,6,0,0,0,0,1,1,19,1,failed
76156830,26,0,0,0,0,8,1,140,1,failed
76159616,5,0,0,0,0,1,1,20,1,failed
76167183,0,0,2,0,0,2,1,51,1,passed
76176184,0,0,2,0,0,4,1,66,1,passed
76195056,0,0,0,0,0,2,1,68,1,passed
76195061,0,0,0,0,0,2,1,67,1,passed
76710111,254,0,0,12,5,5,1,76,1,failed
77940988,0,0,0,2,0,0,1,1,1,passed
78250492,258,0,0,12,5,10,1,78,1,passed
78253989,5,0,0,0,0,2,1,23,1,passed
78264694,2,0,0,0,1,1,1,4,1,passed
78286157,0,0,0,1,0,1,1,9,1,passed
78287110,4,0,0,0,0,1,1,20,1,passed
78294596,0,0,0,0,0,1,1,6,1,passed
94225187,0,0,0,0,0,2,1,3,1,passed
105997223,156,0,4,6,0,15,1,30,1,passed
107821056,152,0,4,5,0,12,1,5,1,passed
107830686,21,0,0,0,0,4,1,6,1,passed
107831766,32,0,0,0,0,1,1,4,1,passed
107870090,24,0,0,0,0,1,1,7,1,passed
107871253,32,0,0,0,0,1,1,5,1,passed
107871387,21,0,0,0,0,4,1,7,1,passed
107884135,13,0,0,0,0,3,1,42,1,passed
124564219,0,0,0,1,0,0,1,1,1,passed
133150002,0,0,0,1,0,0,1,1,1,passed
