tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
5032721,12371,5,3238,173,43,108,251,6,251,failed
5032782,0,0,0,0,0,1,1,1,1,failed
5032907,20,0,0,1,0,2,1,13,1,failed
5032949,0,0,0,0,0,0,1,0,1,failed
5034501,42,0,20,1,0,4,5,14,5,passed
5034606,0,0,0,0,0,1,1,53,1,passed
5072338,36,0,169,2,1,9,3,46,3,failed
5072690,2,0,1,0,0,2,1,15,1,failed
5211376,0,0,0,0,0,1,1,4,1,passed
5266860,14,0,0,0,0,4,2,78,2,passed
5349765,12,0,0,0,0,4,2,18,2,passed
5445870,0,0,0,0,0,1,1,56,1,passed
5446007,0,0,0,0,0,1,1,57,1,passed
5914742,0,0,0,0,0,1,1,6,1,failed
5915659,4,0,4,0,0,2,2,34,2,passed
5915814,0,0,5,0,0,2,1,12,1,failed
5915891,0,0,0,0,0,1,1,8,1,passed
6004917,32,0,13,1,0,9,8,90,8,failed
6218400,13,1,0,1,1,5,4,93,4,passed
7040066,0,0,0,0,0,1,1,60,1,passed
7040286,0,0,0,0,0,1,1,61,1,passed
7381380,6,0,0,0,0,4,1,21,1,failed
8053479,12,0,0,0,0,3,1,22,1,failed
8054370,4,0,0,2,0,0,1,0,1,passed
8594211,2,0,0,0,0,1,1,9,1,passed
11401841,1,0,0,0,0,2,1,16,1,passed
11401986,4,0,0,0,0,2,1,24,1,passed
12385022,2,0,0,0,0,1,1,11,1,passed
12501633,0,0,0,0,0,1,1,62,1,passed
16120631,2,0,0,0,0,1,1,12,1,failed
16120808,1,0,0,1,0,0,1,0,1,passed
17951721,64,0,83,13,0,26,8,100,8,passed
17951953,4,0,0,0,0,2,1,29,1,passed
18163500,19,0,0,1,0,4,2,77,2,passed
18916539,0,0,0,0,0,1,1,3,1,passed
18917301,46,0,0,6,0,4,3,105,3,failed
18917462,0,0,3,1,0,0,1,0,1,passed
21273097,1703,3,0,11,0,259,9,231,9,passed
24589466,1703,3,0,11,0,259,9,231,9,passed
31130030,7,0,0,0,0,1,1,2,1,failed
35788198,3,0,0,0,0,1,1,3,1,failed
35788587,4,0,0,0,0,2,1,33,1,failed
35788889,3,0,0,0,0,2,1,19,1,passed
37022278,2,0,0,0,0,1,1,19,1,passed
37241224,7,0,0,0,0,1,1,3,1,passed
37241359,12,0,0,0,0,3,2,41,2,passed
40851477,11,0,2,2,0,1,1,1,1,passed
40853749,4,0,0,0,0,2,1,38,1,passed
59253629,1,0,0,0,0,1,1,88,1,passed
70714001,6,0,11,1,0,1,1,1,1,failed
70714145,4,0,0,0,0,2,1,39,1,failed
73737815,9,0,0,0,0,1,1,2,1,passed
73738349,4,0,0,0,0,2,1,40,1,passed
83843562,0,0,0,0,0,1,1,70,1,passed
83902432,0,0,0,0,0,1,1,71,1,passed
88830997,2,0,0,0,0,1,1,2,1,passed
88831236,4,0,0,0,0,2,1,41,1,passed
108060444,0,0,0,0,0,1,1,10,1,passed
154724019,0,0,0,0,0,1,1,73,1,passed
