tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
6914504,497,0,113,32,0,2,2,0,2,passed
6915102,20,0,24,1,0,3,1,1,1,passed
6917241,124,0,96,5,0,6,1,2,1,passed
6917658,66,0,2,1,2,3,1,3,1,passed
6970540,25,0,5,2,0,0,1,0,1,passed
6970888,0,0,16,0,0,6,1,4,1,passed
7031395,15,0,39,1,0,4,1,8,1,passed
7138849,2,0,0,0,0,1,1,5,1,passed
7166490,274,0,261,3,0,11,1,25,1,passed
7911037,16,0,0,0,0,4,1,19,1,passed
7911068,0,0,0,0,0,1,1,1,1,passed
7911127,28,0,0,0,0,16,1,24,1,passed
7911133,5,0,0,0,0,2,1,9,1,passed
7911719,74,0,30,2,0,4,1,19,1,passed
7911744,8,0,0,0,0,1,1,4,1,passed
7911791,2,0,0,0,0,1,1,2,1,passed
7912899,12,0,6,0,0,5,1,23,1,passed
7913226,59,0,35,0,0,8,1,28,1,passed
7915618,334,0,103,5,3,4,1,30,1,passed
7935393,264,0,91,0,0,15,1,50,1,passed
7936144,21,0,2,0,0,4,1,10,1,passed
7961660,57,0,20,0,0,6,1,34,1,passed
7963436,2,0,0,0,0,1,1,16,1,passed
7966755,3,0,0,0,0,1,1,24,1,passed
8036010,30,0,0,0,0,1,1,16,1,passed
8036970,37,0,18,0,0,3,1,19,1,passed
8217951,2,0,0,0,0,1,1,17,1,passed
8250606,24,0,0,0,0,2,1,18,1,failed
8250818,108,0,76,2,0,6,1,42,1,failed
8252722,8,0,0,0,0,2,1,24,1,passed
8259071,71,0,73,2,0,11,1,68,1,passed
8260237,2,0,0,0,0,1,1,24,1,passed
8261405,9,0,0,0,0,2,1,27,1,passed
8295218,21,0,104,2,0,4,1,39,1,passed
8329253,14,0,31,0,0,4,1,33,1,passed
8484507,2,0,0,0,0,2,1,25,1,passed
8487675,66,0,90,0,0,11,1,59,1,passed
8488088,102,0,0,0,0,1,1,3,1,passed
8488199,11,0,0,0,0,4,2,52,2,passed
8584807,45,0,11,0,0,6,1,52,1,passed
8605586,0,0,0,0,0,1,1,3,1,passed
8789434,147,0,76,1,0,10,1,73,1,passed
8789809,2,0,8,0,0,3,1,11,1,passed
8789828,8,0,0,0,0,1,1,3,1,passed
8836662,49,0,0,2,0,0,1,1,1,passed
8836666,52,0,0,0,0,3,1,45,1,passed
8836705,0,0,8,0,0,1,1,8,1,passed
8866422,13,0,0,1,0,1,1,4,1,passed
8866640,75,0,59,0,0,7,1,57,1,passed
8867301,2,0,0,0,0,1,1,26,1,passed
9122654,6,0,0,0,0,3,2,30,2,passed
9153336,2,0,0,0,0,1,1,7,1,passed
9156481,18,0,2,0,0,4,1,65,1,passed
9157435,45,0,35,0,0,5,1,46,1,passed
9160366,2,0,0,0,0,1,1,38,1,passed
9201635,32,0,0,0,0,1,1,5,1,passed
9201970,22,0,0,0,0,4,1,49,1,passed
9202003,2,0,0,0,0,1,1,1,1,passed
9269994,47,0,0,0,0,1,2,6,2,passed
9270059,6,0,0,0,0,1,1,8,1,passed
9272232,2,0,0,0,0,1,1,29,1,passed
9754546,2,0,0,0,0,1,1,31,1,passed
10038616,6,0,0,0,0,1,1,40,1,passed
10059991,1,0,0,0,0,1,1,9,1,passed
10210894,26,0,25,0,0,6,1,64,1,passed
10230464,2,0,0,0,0,1,1,32,1,passed
10251644,7,0,0,0,0,2,1,46,1,passed
10264255,10,0,0,0,0,1,1,8,1,passed
10374040,180,0,73,0,0,7,1,73,1,passed
10377304,42,0,0,0,0,1,1,49,1,passed
10514485,26,0,0,0,0,2,1,59,1,passed
11449771,129,0,0,0,0,1,1,13,1,passed
12537624,4,0,0,0,0,1,1,36,1,passed
12590137,6,0,0,1,0,1,1,2,1,passed
13596608,5,0,0,0,0,1,1,61,1,passed
13601539,5,0,0,0,0,1,1,22,1,failed
14345454,2,0,0,0,0,1,1,36,1,failed
14522625,0,0,0,0,0,1,1,4,1,failed
14675838,2,0,0,0,0,1,1,11,1,failed
14675865,0,0,0,0,0,1,1,9,1,passed
15122773,82,0,72,2,0,2,1,43,1,passed
15135516,82,0,72,2,0,2,1,44,1,passed
15135878,8,0,0,0,0,1,1,2,1,passed
15135915,8,0,0,0,0,1,1,3,1,passed
15135933,4,0,0,0,0,1,1,4,1,passed
15135956,2,0,0,0,0,1,1,39,1,passed
15136467,2,0,0,0,0,1,1,5,1,passed
15155282,77,0,7,0,0,4,2,28,2,passed
16007586,27,0,0,0,0,6,3,58,3,passed
16063257,5,0,0,0,0,1,1,6,1,passed
16077497,5,0,16,0,0,2,1,11,1,passed
16080217,9,0,36,0,0,3,2,52,2,passed
16080732,9,0,36,0,0,3,1,55,1,passed
16080774,5,0,0,0,0,1,1,3,1,passed
16565295,2,0,0,0,0,1,1,41,1,passed
17067850,2,0,0,0,0,1,1,7,1,passed
17092315,2,0,0,0,0,1,1,8,1,passed
17197444,60,0,36,3,0,0,1,0,1,passed
17199616,39,0,0,2,0,3,2,47,2,passed
17201688,15,0,27,0,0,5,1,86,1,passed
18364580,14,0,0,0,0,2,1,6,1,passed
19359064,89,0,36,5,0,2,1,49,1,passed
19359097,15,0,27,0,0,5,1,87,1,passed
19359302,11,0,0,0,0,1,1,17,1,passed
19359605,2,0,0,0,0,1,1,44,1,passed
19604778,0,0,0,0,0,1,1,10,1,passed
19605888,0,0,0,0,0,1,1,11,1,passed
19812478,74,0,19,1,0,11,4,110,4,passed
19821264,56,0,19,1,0,11,1,114,1,passed
19832787,12,0,0,0,0,2,2,25,2,passed
19836017,12,0,0,0,0,2,1,31,1,passed
20626662,3,0,0,0,0,1,1,3,1,passed
20626847,0,0,0,0,0,1,1,1,1,passed
20629188,0,0,0,0,0,1,1,2,1,passed
20629229,3,0,0,0,0,1,1,4,1,passed
20760356,2,0,0,0,0,1,1,14,1,failed
21272813,6,0,0,0,0,2,1,30,1,passed
21285084,6,0,0,0,0,2,1,31,1,passed
22215172,7,0,0,0,0,2,1,5,1,failed
22357431,3,0,0,0,0,1,1,46,1,failed
22410061,14,0,104,0,0,4,2,64,2,failed
22410966,2,0,0,0,0,1,1,48,1,failed
22491159,34,0,0,0,0,1,3,49,3,failed
22726677,134,0,0,1,0,4,2,59,2,failed
22803796,2,0,0,0,0,1,1,5,1,failed
22809606,89,0,0,0,0,2,1,10,1,failed
22811161,83,0,0,1,0,3,1,65,1,failed
22812567,14,0,0,0,0,6,2,3,2,failed
22812662,20,0,0,0,0,1,1,6,1,failed
22813964,655,0,2,19,0,7,1,103,1,failed
22817591,57,0,0,0,0,6,3,40,3,failed
22817609,4,0,0,0,0,2,1,14,1,failed
22984638,0,0,0,0,0,1,1,4,1,failed
22987656,2,0,0,0,0,1,1,34,1,failed
23244576,77,0,0,0,0,4,1,77,1,failed
23245204,2,0,0,0,0,1,1,16,1,failed
23246008,77,0,0,0,0,4,1,78,1,failed
23246465,7,0,0,0,0,2,1,62,1,failed
23246790,0,0,0,0,0,1,1,5,1,failed
23260639,77,0,0,0,0,1,1,3,1,failed
23296547,33,0,0,0,0,4,1,48,1,failed
23316669,0,0,0,0,0,1,1,6,1,failed
23366401,12,0,0,0,0,2,1,65,1,failed
23463515,1,0,0,0,0,1,1,4,1,failed
23464393,1,0,0,0,0,1,1,4,1,failed
24050171,2,0,0,0,0,1,1,7,1,failed
29445698,0,0,131,0,0,1,1,1,1,failed
29451479,0,0,358,0,0,12,10,74,10,passed
29452112,24,0,0,0,0,3,1,36,1,passed
29452476,447,0,573,4,4,23,1,242,1,passed
29453044,12,0,0,0,0,1,1,12,1,passed
29626288,6,0,0,0,0,3,1,36,1,passed
29626653,0,0,0,0,0,1,1,15,1,passed
30654499,8,0,0,0,0,1,1,10,1,passed
30679095,8,0,0,0,0,1,1,11,1,passed
30679176,4,1,0,0,0,1,1,12,1,failed
30688191,10,0,0,0,0,2,1,27,1,failed
31156566,23,0,6,0,0,4,3,85,3,failed
31368697,19,0,6,0,0,4,1,89,1,failed
31368974,23,0,2,0,0,4,1,90,1,failed
31451340,3,0,8,0,0,2,2,6,2,passed
31451749,6,0,0,0,0,2,1,23,1,passed
31451772,2,0,0,0,0,1,1,19,1,passed
31452161,0,0,0,0,0,1,1,16,1,passed
31809424,11,0,0,0,0,1,3,16,3,passed
31942958,5,0,0,0,0,1,1,19,1,passed
35644033,2,0,0,0,0,1,1,19,1,passed
