tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
3848183,22,0,26,1,0,4,2,69,2,failed
3848233,1,0,0,0,0,1,1,7,1,failed
3848279,1,0,0,0,0,2,1,9,1,failed
3848470,3,0,0,0,0,1,1,28,1,passed
3848508,2,0,0,0,0,1,1,19,1,passed
3848535,7,0,0,0,0,2,1,24,1,passed
3943047,4,0,0,0,0,1,1,48,1,passed
4026803,4,0,0,0,0,1,1,49,1,passed
4026862,4,0,0,0,0,1,1,50,1,passed
5655072,3,0,0,0,0,1,1,51,1,passed
5836047,4,1,0,0,0,1,1,51,1,passed
5851768,7,0,0,0,0,1,1,20,1,passed
6439361,7,0,0,0,0,1,1,6,1,passed
6439807,7,0,0,0,0,2,1,27,1,passed
6441527,7,0,0,0,0,3,2,46,2,failed
6442068,0,0,2,0,0,1,1,4,1,passed
6838950,6,0,8,0,0,2,1,36,1,passed
6945512,6,0,8,0,0,2,1,37,1,passed
8696308,36,0,0,0,0,4,4,82,4,passed
8696682,16,0,0,0,0,2,2,59,2,passed
8696806,5,0,0,0,0,1,1,16,1,passed
9389201,4,0,0,0,0,1,1,55,1,passed
9402345,4,0,0,0,0,1,1,56,1,passed
9402825,7,0,0,0,0,2,1,34,1,passed
9410270,3,0,0,0,0,2,1,38,1,passed
9942821,0,0,10,0,0,2,1,14,1,passed
10294495,18,0,0,1,0,0,1,0,1,passed
10294845,10,0,0,0,0,1,1,1,1,passed
10462691,3,0,0,0,0,1,1,8,1,passed
10493101,4,0,0,0,0,1,1,27,1,passed
11284349,0,0,10,0,0,2,1,15,1,passed
11284398,24,0,0,1,0,1,1,30,1,passed
11284460,3,0,0,0,0,1,1,9,1,passed
11284643,14,0,0,0,0,2,1,36,1,passed
14553415,5,0,0,0,0,2,1,45,1,passed
14696939,5,0,0,0,0,2,1,46,1,passed
15441378,1,0,0,0,0,1,1,33,1,passed
15521634,1,0,0,0,0,1,1,34,1,passed
16539124,2,0,0,0,0,1,1,9,1,passed
16543198,2,0,0,0,0,1,1,10,1,passed
16543332,10,0,0,0,0,2,1,39,1,passed
16591619,15,0,9,0,0,4,1,103,1,passed
16592604,15,0,9,0,0,4,1,104,1,passed
19880280,6,0,0,0,0,1,1,21,1,passed
19884093,27,0,36,0,0,4,4,92,4,passed
19884703,2,0,6,0,0,2,1,68,1,passed
19925033,6,0,0,0,0,1,1,22,1,passed
19925175,29,0,34,0,0,4,1,99,1,passed
19927606,0,0,0,0,0,1,1,3,1,passed
19927823,10,0,0,0,0,2,1,40,1,passed
20072737,2,0,0,0,0,1,1,26,1,passed
20088544,2,0,0,0,0,1,1,27,1,passed
