tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
151511802,0,0,0,0,0,1,1,67,1,failed
151511849,0,0,0,0,0,1,1,67,1,failed
151529347,2,0,0,0,0,2,1,16,1,failed
151529380,2,0,0,0,0,2,1,16,1,failed
151537683,0,0,22,0,0,1,1,131,1,failed
151537708,0,0,22,0,0,1,1,131,1,failed
151805753,11,0,0,0,0,1,1,18,1,passed
151805792,11,0,0,0,0,1,1,18,1,passed
152023854,2,0,13,0,0,2,1,132,1,passed
153764236,2,0,0,0,0,1,1,231,1,passed
153764265,2,0,0,0,0,1,1,231,1,passed
