tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
12698052,14393,0,1079,221,168,255,1,1449,1,failed
13460831,7624,0,3851,371,146,421,1,1934,1,passed
13956373,12001,0,3303,18,197,39,1,615,1,passed
14402166,2160,0,2472,30,12,98,1,934,1,passed
14470275,2165,0,2472,30,12,102,1,1129,1,passed
14529148,106,0,20,0,0,18,1,558,1,passed
14530256,3608,0,1253,4,9,270,1,1577,1,passed
14644099,15,0,69,0,1,7,3,152,3,failed
14653099,322,0,1336,8,3,63,1,1067,1,passed
15029076,2,0,0,0,0,1,1,46,1,passed
15030954,2,0,0,0,0,1,1,47,1,passed
16444858,4,0,0,0,0,1,2,56,2,passed
16445357,10043,0,6816,2,168,106,1,1440,1,passed
16919447,41,0,2,0,0,2,1,128,1,passed
16921576,2144,0,472,0,35,43,1,1240,1,passed
19086416,2306,0,141,6,0,44,10,952,10,passed
19086662,2778,0,151,11,0,68,1,1353,1,passed
20189069,839,0,2,2,0,42,1,1090,1,passed
20189225,2691,0,144,14,0,82,1,1245,1,failed
20524059,38,0,0,0,0,9,5,691,5,passed
20579752,0,0,3,0,0,1,1,33,1,passed
20737993,38,0,0,0,0,9,1,700,1,failed
20990771,2784,0,355,18,14,74,16,1256,16,passed
20991062,2654,0,307,19,14,68,1,1279,1,passed
21169929,494,0,0,1,0,0,1,1,1,passed
21169994,103,0,0,1,0,0,1,0,1,passed
21227142,3032,0,307,22,14,68,2,1280,2,passed
21228487,314,0,0,1,0,8,2,11,2,passed
21230603,3523,0,310,29,14,76,6,1294,6,passed
21408648,541,0,0,0,0,2,5,3,5,passed
21569449,603,0,0,4,3,5,1,549,1,passed
21569478,602,0,0,2,0,0,1,8,1,passed
21572507,1295,0,0,12,0,13,1,614,1,passed
21584563,0,0,0,0,0,1,1,27,1,passed
21646246,0,0,0,0,0,1,1,28,1,passed
21646305,1541,0,0,12,0,21,4,716,4,passed
21646449,3,0,0,0,0,1,1,5,1,passed
21655463,935,0,0,2,1,7,1,145,1,passed
21656971,1094,0,123,2,3,65,1,1055,1,passed
21658196,867,0,0,2,1,7,1,151,1,passed
22000176,5324,0,107,6,2,152,17,1252,17,passed
22080765,5142,0,29,6,2,150,1,1274,1,passed
