tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
19191675,780,0,2,17,3,14,1,153,1,passed
19192564,0,0,0,0,0,1,1,8,1,passed
19257224,0,0,0,0,0,1,1,9,1,passed
19264518,0,0,0,0,0,1,1,10,1,passed
19264622,0,0,0,0,0,1,1,13,1,passed
19264860,2,0,0,0,0,1,1,7,1,passed
19993014,7,0,0,1,0,0,1,0,1,passed
19993654,12,0,0,0,0,2,2,11,2,passed
19994120,2,0,0,0,0,1,1,11,1,passed
20764520,18,0,0,0,0,1,1,23,1,failed
20771395,621,0,0,3,6,30,2,165,2,passed
20776194,88,0,0,0,0,3,6,44,6,passed
21096024,24,0,0,0,0,1,1,20,1,passed
21660800,58,0,0,0,0,3,1,51,1,passed
21693035,13,0,0,0,0,1,1,9,1,passed
21694623,13,0,0,0,0,1,1,10,1,passed
21695565,39,0,0,0,0,1,4,34,4,passed
22334851,27,0,0,0,0,1,1,38,1,failed
22336905,20,0,0,0,0,5,2,78,2,passed
22565385,7,0,0,0,0,1,1,11,1,passed
22591782,27,0,0,0,0,3,1,89,1,passed
22593660,7,0,0,0,0,1,1,12,1,passed
22611381,7,0,0,0,0,1,1,13,1,passed
24259489,7,0,0,0,0,2,1,28,1,failed
24260818,44,0,0,0,0,1,1,8,1,failed
24261170,20,0,0,0,0,6,1,125,1,passed
24540509,87,0,0,4,0,9,1,107,1,failed
24609484,7,0,0,0,0,2,2,15,2,passed
24611804,7,0,0,0,0,2,1,17,1,passed
24668758,32,0,0,0,0,5,6,30,6,failed
24720117,2,0,0,0,0,1,1,17,1,passed
24752164,4,0,0,0,0,1,1,18,1,passed
24752651,16,0,0,0,0,2,1,1,1,passed
25066431,34,0,0,0,0,5,1,38,1,passed
25320027,84,0,0,0,0,3,2,92,2,passed
25350271,22,0,0,0,0,4,2,19,2,failed
