tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
7073050,547,0,81,31,0,1,2,0,2,failed
7073078,2,0,0,0,0,2,2,1,2,passed
7073198,12,0,0,0,0,1,1,1,1,passed
7084203,177,4,110,9,0,7,6,3,6,passed
7085570,138,0,116,4,0,7,3,4,3,passed
7085656,2,0,0,0,0,1,1,3,1,passed
7086148,72,0,0,0,0,1,1,1,1,passed
7086214,2,0,0,0,0,1,1,4,1,passed
7086382,53,0,0,1,0,1,1,5,1,passed
7086415,2,0,0,0,0,1,1,6,1,passed
7189879,29,0,0,2,0,0,1,0,1,passed
8144059,59,0,0,0,0,7,1,12,1,passed
8714878,0,0,0,0,0,1,1,1,1,passed
8716748,0,0,0,0,0,1,1,2,1,passed
8716830,9,0,0,0,0,4,1,9,1,passed
9213658,2,0,0,0,0,2,1,11,1,passed
9213932,25,0,0,1,0,4,3,13,3,passed
9407934,0,0,0,0,0,1,1,5,1,passed
9918757,0,0,0,0,0,1,1,6,1,passed
9919241,0,0,0,0,0,1,1,7,1,passed
9919344,6,0,0,0,0,2,1,6,1,passed
9956536,0,0,0,0,0,1,1,8,1,passed
9963584,0,0,0,0,0,1,1,9,1,passed
9963618,6,0,0,0,0,2,1,7,1,passed
10596358,6,1,0,0,0,2,1,3,1,passed
10609663,6,0,0,0,0,2,1,4,1,passed
10610212,8,0,0,0,0,3,1,9,1,passed
10973592,8,1,7,0,0,3,1,2,1,passed
11024727,3,0,0,0,0,2,2,5,2,passed
11031102,3,0,0,0,0,2,1,7,1,passed
11031284,6,0,0,0,0,2,1,9,1,passed
11245452,2,0,0,0,0,1,1,12,1,passed
11246515,2,0,0,0,0,1,1,13,1,passed
11355705,44,0,0,0,0,2,3,7,3,failed
11432719,13,0,0,0,0,6,2,27,2,failed
11815899,7,0,0,0,0,4,3,4,3,failed
11816031,18,0,16,1,0,3,5,3,5,failed
11848126,8,0,0,0,0,1,1,1,1,failed
11848487,8,0,0,0,0,1,1,2,1,failed
11848661,12,0,16,1,0,3,1,8,1,failed
11848720,7,0,0,0,0,4,1,7,1,failed
11848762,14,0,0,0,0,2,1,10,1,failed
11848789,8,0,7,0,0,3,1,6,1,failed
11849145,22,0,0,0,0,4,1,22,1,failed
11849796,2,0,0,0,0,1,1,2,1,passed
11849803,6,0,0,0,0,2,1,12,1,passed
12175550,58,0,0,0,0,3,5,21,5,passed
12175553,48,0,0,0,0,3,1,26,1,passed
12175618,10,0,0,0,0,4,1,27,1,passed
12177703,0,0,0,0,0,1,1,1,1,passed
12181580,4,0,0,0,0,1,1,1,1,passed
12255130,17,0,0,0,0,3,1,16,1,passed
13632690,7,0,0,0,0,3,1,20,1,passed
13640711,11,0,0,0,0,2,1,21,1,passed
13641374,36,0,0,0,0,4,2,20,2,failed
13641674,7,0,0,0,0,2,1,17,1,failed
13642469,2,0,0,0,0,1,1,16,1,passed
13786500,0,0,0,1,0,0,1,0,1,passed
13786520,132,0,14,0,0,15,1,59,1,passed
13787345,18,0,7,0,0,13,1,43,1,passed
13787411,214,0,0,0,0,13,1,63,1,passed
13787445,2,0,0,0,0,2,1,22,1,passed
13787511,0,0,76,0,0,4,1,7,1,passed
13787659,30,0,0,0,0,2,1,3,1,failed
13788099,4,0,2,0,0,3,1,4,1,failed
13788129,15,0,0,0,0,3,1,30,1,failed
13788229,0,0,1,0,0,1,1,2,1,passed
13788339,16,0,0,0,0,2,1,17,1,passed
13788703,4,0,0,0,0,1,1,13,1,passed
13790232,78,0,0,0,0,4,1,34,1,passed
13790485,13,0,0,0,0,5,1,50,1,passed
13790680,2,0,0,0,0,1,1,21,1,passed
13790745,33,0,0,0,0,2,2,24,2,passed
13792152,243,0,0,0,0,6,6,51,6,failed
13794097,128,0,0,1,0,2,1,33,1,failed
13794687,65,0,0,0,0,2,1,34,1,passed
13835783,2,0,0,0,0,2,1,14,1,passed
13985742,4,0,0,0,0,1,1,7,1,passed
14120093,2,0,0,0,0,2,1,15,1,passed
14121016,3,3,0,0,0,1,1,22,1,failed
14121129,11,0,0,0,0,1,1,24,1,failed
14121826,4,0,0,0,0,1,1,8,1,failed
14122909,2,0,0,0,0,1,1,23,1,passed
14122985,8,0,0,0,0,2,1,24,1,passed
14454102,14,0,0,0,0,1,1,6,1,passed
14455796,0,0,0,0,0,1,1,4,1,passed
14458006,0,0,0,0,0,1,1,5,1,passed
14458102,86,0,0,3,0,6,1,55,1,passed
