tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
3836411,318,1,2,8,2,6,9,17,9,failed
3836494,7,0,0,0,0,2,2,9,2,passed
3836519,2,0,0,0,0,1,1,5,1,passed
3969134,4,0,0,0,0,1,1,1,1,passed
3988443,4,0,0,0,0,1,1,2,1,passed
3988493,4,0,0,0,0,2,2,14,2,passed
4687240,2,0,0,0,0,1,1,7,1,passed
4687733,2,0,0,0,0,1,1,8,1,passed
4687958,2,0,0,0,0,1,1,9,1,passed
5301062,0,0,0,2,0,0,1,10,1,passed
5301540,0,0,0,2,0,0,1,11,1,passed
5302005,12,0,0,0,0,3,1,23,1,passed
5304315,12,0,0,0,0,3,1,24,1,passed
5304327,4,0,0,0,0,2,2,21,2,passed
5509292,13,0,0,0,0,3,2,15,2,passed
5509398,13,0,0,0,0,3,1,17,1,passed
5509950,13,0,0,0,0,5,3,24,3,failed
5510122,2,0,0,0,0,1,1,2,1,passed
5510272,2,0,0,0,0,1,1,14,1,passed
5510501,4,0,0,1,0,1,1,15,1,passed
5861343,14,0,0,0,0,4,1,32,1,passed
5889051,14,0,0,0,0,4,1,33,1,passed
5907490,8,0,0,0,0,3,3,37,3,passed
6184615,6,0,0,0,0,3,1,33,1,passed
6192241,6,0,0,0,0,3,1,34,1,passed
6192355,4,0,0,0,0,2,2,34,2,passed
6192433,4,0,0,0,0,2,2,34,2,passed
6801645,2,0,0,0,0,1,1,18,1,passed
6801964,4,0,0,0,0,2,2,36,2,passed
6802103,0,0,0,1,0,1,1,1,1,passed
8073669,10,0,0,0,0,2,1,24,1,passed
8107533,1,0,0,0,0,1,1,15,1,passed
8107648,45,0,0,0,0,2,2,18,2,passed
8107786,3,0,0,0,0,2,1,22,1,passed
8257657,10,0,0,0,0,2,1,25,1,passed
8257674,1,0,0,0,0,1,1,18,1,passed
8257696,45,0,0,0,0,2,1,24,1,passed
8257709,3,0,0,0,0,2,1,25,1,passed
8257978,16,0,0,0,0,2,3,38,3,passed
11250670,48,0,0,0,0,5,4,65,4,passed
13845624,4,0,0,0,0,1,1,27,1,passed
13845800,4,0,0,0,0,1,1,28,1,passed
15825982,15,0,0,0,0,3,1,4,1,passed
15826478,2,0,0,0,0,2,1,33,1,passed
15826596,3,0,0,0,0,1,1,29,1,passed
15826703,4,0,0,0,0,1,1,6,1,passed
15826992,28,1,0,0,0,3,3,57,3,passed
15827081,23,0,0,0,0,3,1,60,1,passed
15827264,1,0,0,0,0,2,1,49,1,passed
15827799,23,0,0,0,0,3,4,66,4,passed
15828272,2,0,0,0,0,1,1,38,1,passed
16661598,8,0,0,0,0,3,1,62,1,passed
16703526,8,0,0,0,0,3,1,63,1,passed
16703662,4,0,0,0,0,2,2,59,2,passed
17141047,15,0,0,0,0,4,1,78,1,passed
17142387,63,0,2,2,1,7,1,46,1,passed
17142490,3,0,0,0,0,2,2,63,2,passed
18627824,18,0,0,0,0,3,2,77,2,passed
18841194,5,0,0,0,0,1,1,32,1,passed
18917413,18,0,0,0,0,3,1,79,1,passed
18917835,2,0,0,0,0,1,1,47,1,passed
18917856,5,0,0,0,0,1,1,35,1,passed
18917891,2,0,0,0,0,1,1,48,1,passed
20316236,3,0,0,0,0,1,1,36,1,passed
21892262,3,0,0,0,0,1,1,37,1,passed
21892336,2,0,0,0,0,1,1,49,1,passed
22242933,139,0,0,4,2,6,1,104,1,passed
22784461,14,0,0,0,0,3,1,81,1,passed
23410562,206,0,94,12,0,10,1,138,1,passed
24975954,2,0,0,0,0,2,2,47,2,passed
25615624,4,0,0,0,0,1,1,7,1,passed
25957640,0,0,0,0,0,1,1,26,1,passed
25957716,4,0,0,0,0,2,2,82,2,passed
28440352,113,0,116,6,1,8,8,65,8,passed
28714605,113,0,116,6,1,8,1,73,1,passed
28715798,131,0,36,6,0,5,1,140,1,passed
28716170,5,0,0,0,0,3,1,100,1,passed
28716948,3,0,0,1,0,2,2,92,2,passed
60645771,189,0,283,3,6,21,1,168,1,passed
60650368,16,0,16,0,0,6,1,75,1,passed
60651479,11,0,0,0,0,2,1,86,1,failed
60653231,4,0,0,0,0,1,1,18,1,passed
60887438,17,0,72,1,0,1,3,8,3,failed
60910812,11,0,101,1,0,2,1,85,1,passed
