tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
2071205,155,0,0,4,0,18,1,25,1,passed
2071217,2,0,0,0,0,1,1,16,1,passed
2071259,2,0,0,0,0,1,1,19,1,passed
2087927,66,0,0,1,0,2,1,22,1,passed
2219242,195,0,184,28,1,14,1,13,1,passed
2224392,2,0,0,0,0,1,1,6,1,passed
2753274,8,0,0,0,0,1,1,5,1,failed
2753585,8,0,0,0,0,1,1,6,1,failed
3003562,104,0,0,0,1,0,1,2,1,passed
3004514,204,0,0,0,1,11,1,37,1,passed
4429826,2,0,0,0,0,1,1,11,1,failed
4430209,0,0,0,0,0,0,1,0,1,failed
4776662,80,0,0,1,0,0,1,6,1,passed
4899622,80,0,0,1,0,0,1,7,1,passed
5260484,16,0,0,0,0,2,1,29,1,passed
5310391,8,0,0,0,0,2,1,14,1,passed
5311473,8,0,0,0,0,2,1,15,1,passed
5631936,64,0,0,1,0,1,2,26,2,passed
5919705,15,0,0,0,0,2,3,16,3,passed
6076106,64,0,0,1,0,1,1,28,1,passed
6076124,15,0,0,0,0,2,1,19,1,passed
7058418,4,0,0,0,0,1,1,2,1,passed
7638821,4,0,0,0,0,1,1,3,1,passed
7712024,43,0,0,1,0,0,1,0,1,passed
7773753,43,0,0,1,0,0,1,1,1,passed
8656064,2,0,0,0,0,1,1,25,1,passed
8659743,6,0,0,0,0,1,1,2,1,passed
8953156,4,0,0,0,0,1,1,8,1,passed
8958962,4,0,0,0,0,1,1,9,1,passed
10794023,2,0,0,0,0,1,1,26,1,passed
16750020,7,0,0,0,0,1,1,8,1,passed
16860385,7,0,0,0,0,1,1,9,1,passed
23748975,3,0,0,0,0,1,1,31,1,passed
50222130,191,0,32,0,8,4,1,66,1,passed
50223881,2,0,0,0,0,1,1,35,1,passed
70498862,0,0,0,0,0,1,1,4,1,passed
82509060,53,0,0,0,0,11,1,31,1,failed
87292655,53,0,0,0,0,11,1,31,1,failed
87408852,44,0,0,0,0,1,1,12,1,failed
