tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
2235812,230,0,0,1,1,8,2,74,2,failed
2235900,0,0,0,0,0,1,1,1,1,failed
2235922,0,0,0,0,0,1,1,2,1,failed
2235939,0,0,0,0,0,1,1,3,1,failed
2411753,8,0,0,0,0,1,1,7,1,failed
2412027,8,0,0,0,0,1,1,8,1,failed
2414499,196,0,0,1,0,3,1,30,1,failed
2414872,12,0,0,0,0,7,1,13,1,failed
2420194,12,0,0,0,0,7,1,14,1,failed
2423550,4,0,0,0,0,1,2,9,2,failed
2426753,2,0,0,0,0,1,1,11,1,failed
2426774,47,0,0,0,0,4,1,53,1,failed
2427854,2,0,0,0,0,1,1,8,1,failed
2432626,2,0,0,0,0,1,1,9,1,failed
2435903,587,0,40,1,0,8,11,62,11,failed
2449036,57,0,38,0,0,3,1,9,1,failed
2590690,575,0,0,0,0,8,3,83,3,failed
2598172,537,0,0,0,0,8,1,86,1,failed
2742232,9,0,0,0,0,2,1,65,1,failed
2752889,1,0,0,0,0,1,1,9,1,failed
2757271,1,0,0,0,0,1,1,10,1,failed
2770674,8,0,0,0,0,3,1,27,1,failed
2770676,8,0,0,0,0,3,1,28,1,failed
2828592,125,0,0,0,0,7,5,40,5,failed
2829671,125,0,0,0,0,7,1,45,1,failed
2932807,951,0,0,0,0,16,4,97,4,failed
2933088,919,0,0,0,0,16,1,111,1,failed
2948787,28,0,0,0,0,1,1,57,1,failed
2950097,107,0,0,0,0,4,3,76,3,failed
2950414,65,0,0,0,0,4,1,79,1,failed
2957665,3,0,0,0,0,6,1,78,1,failed
2958364,0,0,0,0,0,1,1,7,1,failed
3009091,17,0,0,0,0,1,1,1,1,failed
3070952,96,0,0,0,0,4,2,39,2,failed
3090355,85,0,0,0,0,4,1,41,1,failed
3090402,10,0,0,0,0,2,1,12,1,failed
3183232,60,0,0,0,0,4,1,46,1,failed
3183602,60,0,0,0,0,4,1,47,1,failed
3183883,3,0,0,0,0,1,1,63,1,failed
3183949,3,0,0,0,0,1,1,64,1,failed
3184107,39,0,0,0,0,2,2,9,2,failed
3184142,39,0,0,0,0,2,1,11,1,failed
3373878,86,0,0,0,0,5,1,51,1,failed
3391569,1275,0,0,0,10,0,1,7,1,failed
3392016,12,0,0,0,0,3,1,12,1,failed
3392729,23,0,0,0,0,2,1,35,1,failed
3392851,35,0,0,0,1,0,1,1,1,failed
3409708,257,0,0,0,0,8,1,46,1,failed
3420543,433,0,0,1,0,6,1,88,1,failed
3421735,64,0,0,0,0,11,1,79,1,failed
3422977,347,0,0,1,0,21,2,100,2,failed
3423070,135,0,0,0,0,23,1,20,1,failed
3424719,5,0,0,0,0,1,1,68,1,failed
3443859,10,0,0,0,0,1,1,69,1,failed
3504581,16,0,0,0,0,2,1,12,1,failed
3596816,135,12,0,0,0,1,4,3,4,failed
3596835,107,0,0,0,0,1,1,7,1,failed
3634280,107,0,0,0,0,1,1,8,1,failed
3637861,134,0,0,1,0,11,1,53,1,failed
3639534,64,0,0,0,0,1,1,11,1,failed
4172626,1,0,0,0,0,2,1,12,1,failed
4176297,9,0,0,0,0,8,1,5,1,failed
4239087,1235,0,0,18,1,34,23,166,23,failed
4239828,1171,0,0,0,12,30,1,187,1,failed
4239852,723,0,0,10,0,24,1,180,1,failed
4240985,0,0,0,0,0,1,1,10,1,failed
4314274,6,0,0,0,0,1,1,2,1,failed
4317484,186,15,0,2,0,6,10,17,10,failed
4317599,120,0,0,2,0,4,1,27,1,failed
4317721,1968,0,0,0,0,129,1,45,1,failed
4368255,3,0,0,0,0,1,1,3,1,failed
4377108,3,0,0,0,0,1,1,4,1,failed
4824167,3,0,0,0,0,1,1,85,1,passed
5488994,10,0,0,0,0,1,1,12,1,passed
5846125,10,0,0,0,0,1,1,2,1,passed
6096726,93,0,0,0,0,5,2,113,2,passed
6169421,35,0,0,0,0,3,3,102,3,passed
6930446,15484,0,36,216,116,409,1,380,1,failed
6938459,12,0,0,0,0,1,1,7,1,failed
6997543,182,0,0,2,1,2,1,6,1,failed
7034649,35,0,0,0,0,4,1,51,1,failed
7036273,2,0,0,0,0,1,1,4,1,failed
7037768,2,0,0,0,0,1,1,1,1,failed
7043207,2,0,0,0,0,1,1,5,1,failed
7043846,13,1,0,0,0,2,2,19,2,failed
7044117,0,0,0,0,0,1,1,5,1,failed
7045471,64,0,0,0,0,2,1,1,1,passed
7062791,40,0,0,0,0,4,1,54,1,failed
7064529,32,0,0,0,0,5,2,15,2,failed
7065588,74,0,0,3,0,0,1,1,1,failed
7072441,88,0,0,2,0,0,1,1,1,failed
7123268,0,0,0,0,0,1,2,6,2,failed
7131358,148,0,49,0,0,2,1,10,1,failed
7133653,64,0,0,0,0,3,1,9,1,failed
7137386,212,0,49,0,0,5,1,20,1,failed
7163166,419,0,0,6,0,1,3,0,3,failed
7201065,158,0,0,3,0,1,1,2,1,failed
7204193,294,0,0,29,0,0,1,0,1,failed
7234302,353,0,0,17,0,3,2,3,2,failed
7238173,77,0,0,1,0,1,1,7,1,failed
7238193,28,0,0,0,0,1,1,1,1,failed
7238231,6,0,0,0,0,2,1,3,1,failed
7238715,82,0,0,3,0,0,1,0,1,failed
7252927,410,0,0,2,0,0,1,4,1,failed
7264407,1451,0,0,1,0,45,2,270,2,failed
7265046,25,0,0,0,0,3,1,20,1,failed
7313259,85,0,0,0,0,5,3,60,3,failed
7335571,2,0,0,0,0,1,1,7,1,failed
7338641,30,0,0,0,0,3,2,108,2,failed
7339413,53,0,0,0,0,4,1,115,1,failed
7340241,7,0,0,0,0,1,1,42,1,failed
7340592,28,0,0,0,0,2,1,106,1,failed
7342166,4,0,0,0,0,1,1,18,1,failed
7402460,90,0,0,0,0,7,2,89,2,failed
7404140,159,0,0,2,1,3,4,4,4,failed
7404257,485,0,0,7,0,6,1,11,1,failed
7405795,172,0,38,6,0,0,1,0,1,failed
7406809,64,0,16,0,0,6,1,1,1,failed
7411468,485,0,0,7,0,6,1,12,1,failed
7413425,48,0,0,0,0,1,1,7,1,failed
7429924,236,0,54,6,0,0,1,2,1,failed
7437320,33,0,0,0,0,1,1,17,1,failed
7441470,349,0,0,2,1,6,1,70,1,failed
7444530,20,0,0,0,0,2,1,58,1,failed
7444697,4,0,0,0,0,1,1,59,1,failed
7571938,34,0,0,1,0,3,1,9,1,failed
7644693,19,0,0,2,0,3,1,53,1,failed
7646336,504,0,0,3,0,5,1,49,1,failed
7651781,275,0,0,1,0,10,1,112,1,failed
7652125,39,1,38,0,0,2,1,5,1,failed
7653273,0,0,80,0,0,1,3,5,3,failed
7653742,6,0,0,0,0,2,1,9,1,failed
7653813,39,0,76,0,0,2,1,9,1,failed
7653824,6,0,0,0,0,2,1,12,1,failed
7662870,0,0,2,0,0,1,1,9,1,failed
7674934,45,0,76,0,0,3,1,18,1,failed
7680820,2,0,0,0,0,1,1,46,1,failed
7711559,0,0,0,0,0,1,1,7,1,failed
7742713,109,0,0,0,0,6,2,49,2,failed
7746195,10,0,0,0,0,1,1,3,1,failed
7756038,6,0,0,0,0,1,1,4,1,failed
7780462,495,0,0,1,0,19,4,111,4,failed
7789003,14,0,0,0,0,1,1,5,1,failed
7820469,2,0,0,0,0,1,1,11,1,failed
7989955,34,0,0,0,0,1,1,2,1,failed
7990847,34,0,0,0,0,1,1,3,1,failed
7990886,671,0,0,2,0,42,1,256,1,failed
7992598,3,0,0,0,0,1,1,3,1,failed
7994525,3,0,0,0,0,1,1,5,1,failed
7998408,23,0,0,0,0,2,2,4,2,failed
7998634,19,0,0,0,0,1,1,3,1,failed
8046830,2,0,0,0,0,1,1,6,1,failed
8054677,2,0,0,0,0,1,1,7,1,failed
8061833,157,0,0,0,0,10,6,186,6,failed
8061872,0,0,0,0,0,0,1,0,1,failed
8205228,2,0,0,0,0,1,1,1,1,failed
8206183,2,0,0,0,0,1,1,2,1,failed
8668234,2,0,0,0,0,1,1,3,1,failed
8676576,9,0,0,0,0,1,1,8,1,failed
8716215,1,0,0,0,0,1,1,9,1,failed
8750638,458,0,0,0,0,13,1,179,1,failed
8772299,16,0,0,0,0,7,1,49,1,failed
8772687,17,0,0,0,0,4,2,69,2,failed
8772714,17,0,0,0,0,4,2,69,2,failed
8774143,44,0,0,0,0,6,1,82,1,failed
8774405,2,0,0,0,0,1,1,15,1,failed
8775720,34,0,0,0,0,1,1,19,1,failed
8777717,18,0,0,0,0,1,1,27,1,failed
8786014,28,0,0,0,0,2,3,126,3,failed
8854545,24,0,0,0,0,4,1,44,1,failed
8865607,2,0,0,0,0,1,1,23,1,failed
8866415,9,0,0,0,0,1,1,108,1,failed
8866541,2,0,0,0,0,1,1,10,1,failed
8893383,2,0,0,0,0,1,1,11,1,failed
8907420,30,0,0,0,0,1,1,5,1,failed
8908932,24,0,0,0,0,4,1,45,1,failed
8945967,53,0,0,0,0,1,3,5,3,failed
8988029,4,0,0,0,0,2,1,7,1,failed
9018848,2,0,0,0,0,1,1,3,1,failed
9031761,2,0,0,0,0,1,1,4,1,failed
9032486,2,0,0,0,0,1,1,5,1,failed
9110816,3,0,0,0,0,1,1,4,1,failed
9278415,22,0,0,0,0,2,1,17,1,failed
9279887,8,0,0,0,0,1,1,8,1,failed
9374693,33,0,0,0,0,1,1,69,1,failed
9379005,4,0,0,0,0,1,1,1,1,failed
9379614,6,1,0,0,0,1,1,3,1,failed
9391562,4,0,0,0,0,1,1,2,1,failed
9391623,6,0,0,0,0,1,1,4,1,failed
9483447,2,0,0,0,0,2,1,5,1,failed
9525801,2,0,0,0,0,2,1,6,1,failed
9625627,12,0,0,0,0,3,1,10,1,failed
9625669,3,0,0,0,0,1,1,10,1,failed
9625967,13,0,0,0,0,1,1,21,1,failed
9745099,0,0,0,0,0,1,1,3,1,failed
9745373,0,0,0,0,0,1,1,4,1,failed
9758789,115,0,47,0,0,2,2,14,2,failed
9758809,0,0,0,0,0,1,1,10,1,failed
9795182,99,0,47,0,0,2,1,19,1,failed
9831275,10,0,0,0,0,2,1,19,1,failed
9831296,10,0,0,0,0,2,1,20,1,failed
9836311,38,0,0,0,0,5,1,32,1,failed
9838132,0,0,0,0,0,1,1,12,1,failed
9913496,118,0,34,0,0,2,1,20,1,failed
10005358,2,0,0,0,0,1,1,2,1,failed
10010818,2,0,0,0,0,1,1,3,1,failed
10011288,38,0,0,0,0,5,1,33,1,failed
10012928,0,0,0,0,0,1,1,13,1,failed
10519620,69,0,0,0,0,1,1,15,1,failed
11618580,68,0,12,0,0,2,1,4,1,failed
11886310,2,0,0,0,0,1,1,5,1,passed
12840070,2,0,0,0,0,1,1,4,1,passed
12882354,2,0,0,0,0,1,1,5,1,failed
13321097,81,0,12,0,0,5,1,22,1,passed
15678617,1356,0,0,4,5,83,4,422,4,failed
15681898,93,0,0,0,0,3,1,85,1,failed
15682188,2,0,0,0,0,1,1,17,1,failed
15683021,45,0,0,0,0,2,1,81,1,failed
15734956,98,0,0,0,0,4,1,89,1,failed
15744271,60,0,0,0,0,6,1,128,1,failed
15744316,1,0,0,0,0,1,1,9,1,failed
15744480,1,0,0,0,0,1,1,3,1,failed
15796032,10,0,0,0,0,1,1,84,1,failed
16168625,156,0,0,0,0,9,1,101,1,failed
16198645,4,0,0,0,0,2,1,28,1,failed
16205219,90,0,0,0,0,5,1,5,1,failed
16205307,7,0,0,0,0,2,1,38,1,failed
16207449,4,0,0,0,0,2,2,31,2,failed
16276545,115,0,0,0,0,4,1,22,1,failed
16276602,115,0,0,0,0,4,1,22,1,failed
16284187,60,0,0,0,0,2,1,15,1,failed
16289217,2,0,0,0,0,1,1,9,1,failed
16289805,33,0,0,0,0,4,2,21,2,failed
16291617,10,0,0,0,0,1,1,11,1,failed
16298484,18,0,0,0,0,1,1,12,1,failed
16326404,18,0,0,0,0,1,1,13,1,failed
16342658,8,0,0,0,0,2,1,22,1,failed
16350324,60,0,0,0,0,1,1,10,1,failed
16353407,225,0,0,0,0,5,1,178,1,failed
16495172,4,0,0,0,0,1,1,35,1,failed
16507986,11,0,0,0,0,1,1,10,1,failed
16558167,372,0,0,0,0,12,1,216,1,failed
16559247,148,0,0,0,0,12,1,201,1,failed
16560162,61,0,0,0,0,3,1,54,1,failed
16565820,96,0,0,0,0,15,1,233,1,failed
16565852,2,0,0,0,0,1,1,20,1,failed
16607527,11,0,0,0,0,1,1,11,1,failed
16609504,9,0,0,0,0,2,1,52,1,failed
16611658,22,0,0,0,0,3,2,53,2,failed
17031716,0,0,0,1,1,1,1,16,1,failed
17032160,16807,0,90,58,15,185,140,166,140,failed
17032163,16807,0,90,58,15,185,140,166,140,failed
17099604,11,0,0,0,0,3,3,7,3,failed
17144182,0,0,0,0,0,1,1,17,1,failed
17152653,0,4,0,0,0,1,1,18,1,failed
17247118,13140,0,90,56,13,169,1,310,1,failed
17349431,2401,0,0,5,4,29,5,113,5,failed
17357678,2379,0,0,5,4,25,1,118,1,failed
17366282,2,0,0,0,0,1,1,19,1,failed
17377736,0,0,0,1,0,0,1,0,1,failed
17427858,0,0,0,1,0,0,1,1,1,failed
17427918,29,0,0,1,0,4,1,75,1,failed
17428137,2,0,0,0,0,1,1,10,1,failed
17429845,2,0,0,0,0,2,2,16,2,failed
17435169,90,0,0,0,0,17,2,77,2,failed
17443204,93,0,0,0,0,4,5,31,5,failed
17452045,42,0,0,0,0,3,2,46,2,failed
17458798,189,0,0,0,1,3,3,18,3,failed
17513383,8,0,0,0,0,1,1,25,1,failed
17563868,73,0,0,0,0,6,2,41,2,failed
17585455,347,0,0,0,0,13,1,117,1,failed
17716165,8,0,0,0,0,3,2,43,2,failed
17720378,24,0,0,0,0,1,1,17,1,failed
17802086,107,0,0,0,0,7,2,70,2,failed
18017475,0,0,0,0,0,1,1,19,1,failed
18225722,0,0,0,0,0,1,1,15,1,failed
18246752,0,0,0,0,0,1,1,21,1,failed
18481528,0,0,0,0,0,2,2,28,2,failed
18481870,0,0,0,0,0,1,1,22,1,failed
18481910,0,0,0,0,0,1,1,23,1,failed
18482177,0,0,0,0,0,1,1,14,1,failed
18482677,0,0,0,0,0,1,1,15,1,failed
18619072,20,0,0,0,0,2,2,13,2,failed
18772576,12,1,0,0,0,2,1,15,1,failed
18781273,0,0,0,0,0,1,1,17,1,failed
18787620,16,0,0,0,0,3,3,13,3,failed
18806092,2,0,0,0,0,2,1,70,1,passed
18807118,30,0,0,0,0,4,1,19,1,passed
19514874,32,0,0,0,0,7,1,104,1,failed
19521497,50,0,0,0,0,4,1,26,1,passed
19526670,0,0,0,0,0,1,1,26,1,failed
19672094,0,0,0,0,0,2,2,27,2,passed
19675659,480,0,0,5,0,20,14,99,14,failed
19693398,14,0,0,0,0,3,2,50,2,failed
19743634,0,0,0,0,0,1,1,1,1,failed
19773710,480,0,0,5,0,19,1,87,1,failed
19773741,0,0,0,0,0,1,1,4,1,passed
19774588,1020,0,54,8,1,26,1,184,1,passed
19813269,0,0,0,0,0,1,1,4,1,passed
19839842,0,0,0,0,0,1,1,5,1,failed
19843613,10,0,0,0,0,1,1,5,1,failed
19844882,1663,0,86,19,1,54,1,319,1,failed
19991951,11,0,0,0,0,1,1,5,1,failed
19999462,252,0,0,2,0,2,1,109,1,failed
20000780,0,0,0,0,0,2,1,3,1,failed
20003737,19,0,0,0,0,2,1,22,1,failed
20003792,0,0,0,2,0,1,1,15,1,failed
20010273,2,0,0,0,0,1,1,104,1,failed
20020218,4027,0,0,20,1,143,1,481,1,failed
20024811,36,0,0,0,0,2,1,14,1,passed
20072351,35,0,0,0,7,0,1,10,1,failed
20072492,71,0,0,1,0,1,1,29,1,failed
20076914,0,0,0,0,0,1,1,4,1,passed
20077217,87,0,0,0,0,2,1,30,1,passed
20078324,16,0,0,0,0,1,1,6,1,passed
20090943,539,0,0,0,1,14,1,79,1,failed
20092338,0,0,0,0,0,1,1,5,1,passed
20094414,0,0,2,0,0,2,1,8,1,passed
20099244,0,0,0,0,0,1,1,6,1,passed
20147512,0,0,0,0,0,1,1,2,1,failed
20148177,0,0,0,0,0,1,1,3,1,passed
20153359,41,0,0,1,0,3,1,38,1,passed
20156859,861,0,0,0,1,12,1,59,1,passed
20159330,0,0,0,0,0,1,1,5,1,passed
20161808,10,0,0,0,0,1,1,21,1,failed
20174765,2,0,0,0,0,1,1,26,1,failed
20175819,0,0,0,0,0,1,1,1,1,failed
20190503,8,0,0,0,0,2,1,27,1,failed
20228416,8,0,0,0,0,2,1,27,1,passed
20229044,135,0,0,1,0,13,1,198,1,failed
20231122,135,0,0,1,0,13,1,198,1,passed
20257890,0,0,0,1,1,1,1,5,1,passed
20298618,211,0,54,0,4,0,1,11,1,failed
20302983,209,0,0,1,0,14,1,67,1,passed
20314562,0,0,0,0,1,1,1,8,1,passed
20327266,5,2,0,0,0,1,1,5,1,passed
20468663,0,0,0,0,0,3,1,8,1,passed
20483039,120,0,0,1,0,3,1,32,1,passed
20483996,0,0,0,0,0,1,1,2,1,passed
20493604,4,0,14,0,0,5,1,22,1,passed
20500598,4,0,14,0,0,5,1,23,1,passed
20545666,0,0,0,0,0,1,1,1,1,passed
20552433,0,0,0,0,0,1,1,3,1,passed
20561039,0,0,0,1,0,1,1,1,1,passed
20570019,44,0,0,0,0,22,1,54,1,failed
20635698,25,0,0,1,0,6,1,55,1,failed
20652181,0,0,0,0,0,1,1,1,1,failed
20664341,30,0,0,0,0,17,1,79,1,failed
20705887,15,0,0,0,0,1,1,2,1,failed
