tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
106446,0,0,0,4,2,1,2,1,2,passed
106537,0,0,0,6,0,2,1,1,1,passed
106718,0,0,0,0,0,6,1,2,1,passed
110689,0,0,0,2,0,3,1,2,1,passed
110693,0,0,0,0,0,8,1,3,1,passed
111036,0,0,0,0,0,6,1,4,1,passed
113794,0,0,0,0,0,2,1,4,1,passed
113888,0,0,0,6,0,1,1,5,1,passed
113909,159,0,9,4,0,12,1,67,1,passed
113919,0,0,0,0,0,4,1,6,1,passed
115475,0,0,0,0,0,5,1,7,1,passed
117183,0,0,0,0,0,6,1,21,1,passed
117255,0,0,0,0,0,1,1,34,1,passed
117305,0,0,0,0,0,2,1,28,1,passed
117323,0,0,0,0,0,1,1,2,1,passed
117377,0,0,0,0,0,3,1,5,1,passed
117398,0,0,0,0,0,2,1,17,1,passed
117440,1,0,0,0,0,1,1,6,1,passed
126229,0,0,0,0,0,4,1,15,1,passed
126240,0,0,0,0,0,3,1,13,1,passed
126388,0,0,0,1,0,3,1,11,1,passed
126567,0,0,0,0,0,5,1,20,1,passed
126607,0,0,0,0,16,4,1,14,1,passed
126731,0,0,0,0,0,2,1,26,1,passed
128674,7,0,0,0,0,3,1,29,1,passed
148315,8,0,16,1,0,3,1,30,1,passed
148573,0,0,27,1,0,1,1,14,1,passed
183033,20,0,0,0,0,1,1,29,1,passed
183083,2,0,8,0,0,3,1,14,1,passed
265287,35,0,6,3,0,6,3,72,3,passed
315559,19,0,52,0,0,3,3,44,3,passed
372517,0,0,0,5,3,0,1,3,1,passed
372673,0,0,0,0,0,5,1,6,1,passed
372773,0,0,0,4,0,9,1,24,1,passed
372825,0,0,0,1,0,10,1,8,1,passed
373323,0,0,0,1,0,12,1,46,1,passed
373369,0,0,0,0,0,3,1,12,1,passed
373437,0,0,0,0,0,7,1,65,1,passed
373486,0,0,0,0,0,2,1,22,1,passed
373716,0,0,0,0,0,6,1,37,1,passed
373840,0,0,0,0,0,4,1,33,1,passed
373863,0,0,0,0,0,2,1,16,1,passed
374385,103,0,0,0,0,2,1,38,1,passed
374517,0,0,0,0,0,15,1,74,1,passed
374537,0,0,0,0,0,3,1,38,1,passed
378163,0,0,0,0,0,1,1,1,1,passed
381541,0,0,0,5,2,3,2,47,2,passed
418552,26,0,0,1,0,12,3,100,3,passed
418562,5,0,0,1,0,10,1,88,1,passed
418566,6,0,0,0,0,3,1,33,1,passed
418651,26,0,0,0,0,4,1,8,1,passed
421529,0,0,0,0,0,4,1,10,1,passed
421562,0,0,0,0,0,2,1,10,1,passed
464204,34,0,0,8,0,9,1,66,1,passed
464256,29,0,0,4,4,4,1,48,1,passed
464389,0,0,0,0,0,6,1,47,1,passed
464401,0,0,0,0,0,2,1,5,1,passed
464514,0,0,0,1,0,4,1,4,1,passed
464559,81,0,0,1,0,3,1,15,1,passed
464586,2,0,0,0,0,1,1,9,1,passed
466683,0,0,0,0,0,1,1,1,1,passed
480410,54,0,41,13,0,2,2,36,2,passed
480457,4,0,2,0,0,3,1,37,1,passed
525380,54,0,41,13,0,3,1,40,1,passed
525478,0,0,0,0,0,2,1,10,1,passed
525505,0,0,0,0,0,2,1,11,1,passed
525532,0,0,0,0,0,3,1,18,1,passed
533535,88,0,0,1,0,2,3,12,3,passed
534850,72,0,0,1,0,1,1,15,1,passed
539317,28,0,0,0,0,2,1,12,1,passed
539540,1,0,0,0,0,1,1,2,1,passed
555505,20,0,0,0,0,1,1,3,1,passed
556469,161,0,0,0,0,4,1,24,1,passed
561049,5,0,0,0,2,2,1,43,1,passed
561186,188,0,0,1,0,9,1,57,1,failed
561414,6,0,0,0,0,2,1,41,1,passed
566317,352,0,0,1,2,12,1,76,1,passed
591934,113,0,0,0,0,5,1,43,1,passed
592119,298,0,0,1,2,1,1,14,1,passed
595575,0,0,0,1,0,2,1,6,1,passed
595707,0,0,0,0,0,5,1,13,1,passed
595751,0,0,0,0,0,1,1,3,1,passed
595823,23,0,0,1,0,1,1,31,1,passed
595968,0,0,0,0,1,1,1,12,1,passed
596205,98,0,0,1,0,6,1,22,1,passed
596235,0,0,0,0,0,1,1,7,1,passed
597202,4,0,0,0,0,3,2,19,2,passed
597247,34,0,0,1,1,5,1,25,1,passed
607880,0,0,0,0,0,3,1,22,1,passed
624292,0,0,0,0,0,1,1,11,1,passed
632169,45,1,15,6,0,3,3,20,3,passed
669300,0,0,0,2,1,9,1,36,1,passed
669462,0,0,0,0,0,2,1,25,1,passed
669492,0,0,0,0,0,1,1,21,1,passed
669496,0,0,0,0,0,1,1,8,1,passed
669528,0,0,0,0,0,2,1,27,1,passed
669675,0,0,0,1,1,6,1,60,1,passed
670025,116,0,0,3,1,1,1,1,1,passed
670219,142,0,0,0,0,3,3,1,3,passed
674969,119,0,0,1,0,2,1,4,1,passed
690656,64,0,0,0,0,5,1,6,1,passed
700305,0,0,0,0,0,3,1,38,1,passed
700359,0,0,0,1,0,1,1,3,1,passed
