tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
6338214,2,0,0,1,0,2,4,19,4,passed
6338420,2,0,0,0,0,1,1,3,1,passed
6820839,2,0,0,0,0,1,1,4,1,passed
7101735,5,0,0,0,0,1,1,5,1,passed
7107553,5,0,0,0,0,1,1,5,1,passed
7112392,6,0,2,0,0,2,1,281,1,passed
7120704,44,0,75,0,0,7,3,700,3,passed
7121861,9,0,2,0,0,2,2,13,2,passed
7138123,8,0,9,0,0,3,2,397,2,passed
7139199,2,0,41,0,0,2,1,286,1,passed
7169593,17,0,0,0,0,3,2,502,2,passed
7172914,80,0,146,0,0,15,1,628,1,passed
7173506,48,0,0,0,0,2,2,256,2,passed
7173716,5,0,4,0,0,2,1,383,1,passed
7175955,65,0,0,0,0,4,1,707,1,passed
7184137,53,0,52,0,0,7,5,518,5,passed
7184764,4,0,0,0,0,1,1,63,1,passed
7185241,2,0,17,0,0,2,1,73,1,passed
7185663,35,0,0,0,0,1,1,286,1,passed
7203400,28,0,21,0,0,2,2,290,2,passed
7204130,4,0,0,0,0,2,1,73,1,passed
7224075,2,0,0,0,0,1,1,18,1,passed
7237784,237,0,331,0,0,12,4,692,4,passed
7237924,0,0,343,0,1,9,1,160,1,passed
7238316,60,0,27,0,0,6,1,567,1,passed
7251393,376,0,289,1,0,15,9,739,9,passed
7268444,318,0,69,0,0,20,9,989,9,passed
7280641,134,0,100,0,0,4,3,434,3,passed
7281102,112,0,17,0,0,10,1,782,1,passed
7282476,12,0,7,0,0,2,1,267,1,passed
7292219,157,0,0,0,0,5,3,572,3,passed
7294980,8,0,27,0,0,2,1,295,1,passed
7309453,42,0,0,0,0,1,1,270,1,passed
7311059,26,0,0,0,0,2,1,76,1,passed
7339830,80,0,23,0,1,2,2,294,2,passed
7390983,1237,0,211,0,0,23,1,826,1,passed
7391206,6,0,0,0,0,1,1,273,1,passed
7392147,196,0,0,0,0,1,1,274,1,passed
7412362,132,0,52,1,0,18,2,726,2,passed
7412419,4,0,0,0,0,1,1,275,1,passed
7412485,44,0,0,0,0,2,1,66,1,passed
7422770,4,0,2,0,0,2,1,295,1,passed
7423632,4,0,10,0,0,2,1,294,1,passed
7423965,36,0,0,0,0,4,1,48,1,passed
7427684,21,0,4,0,0,3,1,63,1,passed
7428141,2,0,0,0,0,1,1,6,1,passed
7428945,189,0,8,0,1,2,3,332,3,passed
7551114,103,0,113,0,0,8,2,582,2,passed
7648384,8,0,0,0,0,1,1,394,1,passed
7675758,14,0,5,1,0,2,2,85,2,passed
7675846,14,0,5,1,0,2,1,88,1,passed
7801796,36,0,36,0,0,7,5,626,5,passed
7804217,17,0,0,0,0,4,1,92,1,passed
7857512,82,0,14,1,0,3,1,569,1,passed
7859078,11,0,62,0,0,3,1,420,1,passed
7876542,8,0,0,0,0,1,1,281,1,passed
7877021,12,0,15,1,0,2,1,294,1,passed
7883463,30,0,0,0,0,1,1,22,1,passed
7892198,13,0,33,0,0,4,2,429,2,passed
7903784,7,0,48,0,0,3,1,312,1,passed
7905614,91,0,24,0,0,9,4,638,4,passed
7905974,34,0,0,2,0,2,1,427,1,passed
7906825,16,0,10,0,0,5,1,477,1,passed
7907196,36,0,0,0,0,3,1,57,1,passed
7910853,21,0,18,0,0,3,1,423,1,passed
7911158,9,0,0,0,0,1,1,308,1,passed
7911618,2,0,2,0,0,2,1,176,1,passed
7917353,20,0,4,0,0,3,2,186,2,passed
7925824,15,0,0,0,0,1,1,309,1,passed
7926180,8,0,4,0,0,2,1,287,1,passed
7932113,24,0,0,0,0,1,1,310,1,passed
7936613,8,0,4,0,0,2,2,80,2,passed
7944718,16,0,4,0,0,2,2,82,2,passed
7966389,79,0,48,0,0,6,4,401,4,passed
7969341,447,0,818,2,0,54,1,840,1,passed
7969978,40,0,20,0,0,3,1,590,1,passed
7980610,25,0,10,0,0,3,1,328,1,passed
7982575,192,0,80,0,0,12,2,847,2,passed
7991912,28,0,0,1,0,1,1,12,1,passed
7993088,28,0,0,1,0,1,1,13,1,passed
8001787,143,0,166,2,0,23,3,1019,3,passed
8002234,136,0,20,4,0,12,1,745,1,failed
8002978,26,0,0,0,0,2,1,125,1,failed
8012900,25,0,34,0,0,6,1,410,1,passed
8013876,60,0,14,0,0,2,1,86,1,passed
8014930,13,0,4,0,0,3,1,367,1,passed
8015176,16,0,0,0,0,3,1,268,1,passed
8073030,369,0,62,2,0,17,5,1026,5,passed
8074178,151,0,37,2,0,8,1,779,1,failed
8086042,59,0,45,0,0,5,1,552,1,passed
8087890,2,0,4,0,0,2,1,430,1,passed
8177503,165,0,68,0,0,10,7,869,7,passed
8177523,0,0,7,1,0,0,1,0,1,passed
8256961,310,0,85,2,0,11,2,750,2,passed
8262614,2,0,12,0,0,3,1,363,1,passed
8290036,23,0,26,0,0,3,3,488,3,passed
8291286,8,0,0,0,0,1,1,15,1,passed
8319337,23,0,0,1,0,1,1,2,1,passed
8325632,202,0,12,0,0,10,5,736,5,passed
8330015,11,0,13,0,0,3,2,350,2,passed
8351525,13,0,0,0,0,3,3,388,3,passed
8368629,35,0,4,0,0,7,3,199,3,passed
8370711,15,0,8,1,0,3,2,106,2,passed
8371669,63,0,25,2,0,7,5,410,5,passed
8428145,10,0,13,0,0,3,1,672,1,passed
8433389,9,0,42,0,0,2,2,326,2,passed
