tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
29694855,7,0,0,0,0,2,2,54,2,failed
30363281,5,0,0,0,0,1,1,34,1,failed
33807095,2,0,0,0,0,1,1,13,1,failed
33812569,2,0,0,0,0,1,1,14,1,failed
34458740,13,0,0,0,0,3,1,59,1,failed
34461080,2,0,0,0,0,2,1,36,1,failed
42498785,1,0,0,0,0,1,1,48,1,failed
42566300,293,0,120,4,0,29,1,223,1,passed
42802788,416,0,353,7,2,30,29,183,29,passed
42931411,34,0,64,1,0,7,9,99,9,passed
44146171,1,0,0,0,0,1,1,47,1,passed
44354731,6,0,0,0,0,2,1,33,1,passed
44557168,411,0,307,9,3,28,1,226,1,passed
46541211,873,0,150,4,5,17,1,222,1,passed
52059333,1155,0,163,6,0,30,1,291,1,passed
53492868,1155,0,163,6,0,30,1,292,1,passed
53498476,95,0,9,0,2,6,1,88,1,passed
55364691,1178,0,213,3,0,36,33,318,33,passed
58970507,828,0,171,3,0,35,1,351,1,passed
59117439,125,0,102,0,0,25,1,365,1,passed
59665483,1095,0,4,5,0,26,10,393,10,passed
61076551,1063,0,42,8,0,39,1,465,1,passed
63964061,185,0,0,7,1,12,1,240,1,passed
69934650,2,0,0,0,0,1,1,22,1,passed
72728154,102,0,0,0,0,4,1,191,1,passed
109209309,2,0,0,0,0,2,1,100,1,passed
109215027,2,0,0,0,0,2,1,101,1,passed
