tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
1009843,2,0,0,1,0,1,2,24,2,passed
1010212,0,0,0,0,0,1,1,53,1,passed
1011199,4,0,94,0,1,14,2,137,2,passed
1014874,8,0,27,0,0,3,1,95,1,passed
1014888,6,0,6,0,0,2,1,5,1,passed
1054934,0,0,1,0,0,1,1,47,1,passed
1055043,0,0,0,0,0,1,1,2,1,passed
1055752,23,0,0,0,0,1,1,72,1,passed
1072693,0,0,6,0,0,1,1,48,1,passed
1073621,0,0,0,0,0,1,1,3,1,failed
1080087,11,0,2,0,0,4,8,108,8,failed
1115035,46,0,18,0,0,8,6,176,6,passed
1115107,2,0,0,0,0,2,2,25,2,passed
1118180,2,0,0,0,0,1,1,15,1,passed
1153727,31,0,18,0,0,4,1,38,1,passed
1209777,5,0,0,0,0,1,1,5,1,passed
1443156,2,0,0,0,0,2,2,79,2,failed
1443381,0,0,18,0,0,2,1,18,1,passed
1443493,0,0,0,0,0,1,1,12,1,passed
1503080,2,0,0,0,0,1,1,75,1,passed
1555028,5,0,0,0,0,1,1,77,1,passed
1699301,94,0,0,0,0,7,1,168,1,passed
1699337,0,0,0,0,0,1,1,58,1,passed
1699430,3,0,21,0,0,3,1,149,1,failed
1699760,0,0,21,0,0,1,1,53,1,failed
1699805,2,0,0,0,0,1,1,83,1,failed
1700129,6,0,0,0,0,1,1,84,1,failed
1700182,5,0,15,0,0,3,1,156,1,passed
1701819,7,0,0,0,0,2,1,72,1,passed
1701840,1,0,0,0,0,1,1,66,1,failed
1702445,0,0,1,0,0,1,1,7,1,failed
1709892,0,0,0,0,0,1,1,65,1,failed
1710239,0,0,0,0,0,1,1,13,1,passed
1910946,34,0,68,4,0,7,1,45,1,failed
1916024,21,0,0,0,0,2,2,108,2,failed
1916063,0,0,0,0,0,1,1,14,1,failed
1916086,0,0,0,0,0,1,1,15,1,passed
2045492,4,0,0,0,0,1,1,27,1,passed
2155597,6,0,39,1,0,4,2,121,2,passed
2171697,6,0,39,1,0,4,1,123,1,passed
2175344,6,0,0,0,0,2,1,150,1,passed
2175642,6,0,0,0,0,2,1,151,1,passed
2175721,2,0,0,0,0,1,1,26,1,passed
2285974,4,0,0,0,0,1,1,9,1,passed
2291927,4,0,0,0,0,1,1,10,1,passed
2292926,4,0,0,0,0,1,1,92,1,passed
2293671,4,0,0,0,0,1,1,93,1,passed
2340625,9,0,23,0,0,2,1,117,1,failed
2341716,9,0,23,0,0,2,1,118,1,passed
2376679,0,0,0,1,0,0,1,0,1,passed
2392337,0,0,0,1,0,0,1,1,1,passed
2452621,6,0,0,0,0,1,1,97,1,failed
2728656,25,0,41,1,0,3,3,38,3,failed
2734074,23,0,39,1,0,2,1,41,1,failed
2815839,0,0,0,0,0,1,1,66,1,failed
2821677,0,0,0,0,0,1,1,67,1,failed
2821716,2,0,0,0,0,2,2,43,2,passed
2852713,0,0,0,0,1,1,2,70,2,passed
2927565,2,0,11,0,0,2,1,13,1,passed
2928569,2,0,11,0,0,2,1,14,1,passed
3160318,2,0,0,0,0,1,1,28,1,passed
3263552,87,0,6,1,0,7,4,116,4,passed
3404974,3,0,6,0,0,2,1,121,1,passed
3414038,5,0,13,0,0,2,1,122,1,passed
3507942,2,0,11,0,0,2,1,123,1,passed
3510741,2,0,11,0,0,2,1,124,1,passed
3510761,2,0,0,0,0,1,1,30,1,passed
3612268,2,0,0,0,0,1,1,69,1,passed
3630414,2,0,0,0,0,1,1,70,1,passed
3774569,9,0,0,0,0,2,1,82,1,passed
4060428,0,0,0,0,0,1,1,70,1,failed
4064015,0,0,0,0,0,1,1,71,1,failed
4064619,11,0,0,0,0,1,1,19,1,failed
4337869,2,0,4,0,0,3,1,132,1,failed
4339661,2,0,4,0,0,3,1,133,1,failed
4349209,5,0,0,0,0,2,2,116,2,failed
4349228,2,0,0,0,0,1,1,31,1,failed
4350218,4,0,0,0,0,2,2,133,2,passed
4363631,2,0,0,0,0,2,2,164,2,passed
4865901,3,0,0,0,0,1,1,30,1,passed
4873092,3,0,0,0,0,1,1,31,1,passed
4924559,0,0,0,0,0,1,1,75,1,passed
4925679,0,0,0,0,0,1,1,76,1,passed
4926364,2,0,0,0,0,1,1,108,1,passed
4953086,4,0,0,0,0,2,2,97,2,passed
4978488,0,0,0,0,0,1,1,77,1,passed
4978818,2,0,1,0,0,3,1,194,1,passed
4979896,18,1,9,0,0,4,2,130,2,passed
5009718,1,0,1,0,0,2,1,123,1,passed
5025428,0,0,0,0,0,1,1,79,1,passed
5037439,0,0,0,0,0,1,1,80,1,passed
5122654,2,0,0,0,0,1,1,18,1,passed
5127823,2,0,0,0,0,1,1,19,1,passed
5323543,46,0,29,1,0,3,4,47,4,passed
5337943,0,0,2,0,0,2,2,12,2,passed
5339704,26,0,29,1,0,3,1,53,1,passed
5348945,2,0,0,0,0,1,1,15,1,passed
5357778,2,0,0,0,0,1,1,16,1,passed
5957016,4,0,0,0,0,1,2,112,2,failed
5957100,2,0,0,0,0,1,1,33,1,failed
5957582,4,0,0,0,0,1,1,114,1,failed
5958245,1,0,0,0,0,1,1,20,1,failed
5958945,2,0,1,0,0,2,1,52,1,failed
6080719,0,0,0,0,0,1,1,81,1,failed
6086017,0,0,0,0,0,1,1,82,1,failed
6285577,2,0,0,0,0,1,1,115,1,failed
6295444,2,0,2,0,0,2,1,53,1,passed
6633325,8,0,0,0,0,1,1,116,1,passed
6633969,8,0,0,0,0,1,1,117,1,passed
6750704,8,2,0,0,0,1,1,37,1,passed
6819787,2,0,0,0,0,1,1,34,1,passed
7965291,2,0,0,0,0,1,1,25,1,passed
8422370,0,0,0,0,0,1,1,83,1,passed
8480103,13,0,0,0,0,1,1,118,1,passed
8497095,13,0,0,0,0,1,1,119,1,passed
8876324,3,0,0,0,0,1,1,72,1,passed
8889922,10,0,0,0,0,1,1,74,1,passed
8892070,10,0,0,0,0,1,1,75,1,passed
8904414,0,0,0,0,0,1,1,84,1,passed
8956868,0,0,0,0,1,1,2,29,2,failed
8957834,0,0,4,2,1,5,2,42,2,failed
8958250,0,0,2,0,0,1,1,13,1,failed
8958587,2,0,2,0,0,2,2,15,2,failed
8959382,0,0,17,0,0,1,1,3,1,passed
8959729,4,0,0,0,0,3,1,59,1,passed
9981673,0,0,0,0,0,1,1,28,1,passed
10194921,28,1,29,0,0,10,4,357,4,passed
10525765,1,0,0,0,0,1,1,77,1,passed
10777102,2,0,0,0,0,1,1,19,1,passed
10785647,2,0,0,0,0,1,1,20,1,passed
10785743,12,0,0,0,0,1,1,126,1,passed
10911859,7,0,0,0,0,1,1,41,1,passed
11048651,7,0,0,0,0,1,1,42,1,passed
11128178,2,0,0,0,0,1,1,78,1,passed
11147601,10,0,3,0,0,3,3,174,3,passed
11183125,10,0,3,0,0,3,1,177,1,passed
11268960,66,0,76,1,0,15,1,358,1,passed
11468576,6,0,0,0,0,2,2,136,2,passed
11530892,7,0,28,0,0,3,1,162,1,passed
11539514,0,0,18,0,0,2,2,151,2,passed
11754463,0,0,0,0,0,1,2,92,2,passed
11754491,0,0,0,0,0,1,1,94,1,passed
11857670,5,0,0,0,0,1,1,137,1,passed
11978850,0,0,0,0,0,1,1,95,1,passed
11987849,0,0,0,0,0,1,1,96,1,passed
11987880,0,0,0,0,0,1,1,97,1,passed
12109889,16,0,2,0,0,2,1,164,1,passed
12110390,6,0,0,0,0,4,1,76,1,passed
12692852,8,0,22,0,0,5,1,259,1,passed
12734122,0,0,0,0,0,1,1,101,1,passed
12735200,19,0,0,0,0,1,1,2,1,passed
12735347,0,0,0,0,0,1,1,102,1,passed
12875229,8,0,23,0,0,3,1,175,1,passed
13512411,2,0,0,0,0,1,1,40,1,passed
13559473,8,0,0,0,0,1,1,3,1,passed
13569339,8,0,0,0,0,1,1,4,1,passed
15875803,33,0,0,0,1,4,2,119,2,failed
15876785,219,0,0,0,0,4,1,64,1,passed
16195597,9,0,9,0,0,2,1,155,1,passed
16249566,12,0,9,0,0,3,1,159,1,passed
16284694,0,0,0,0,0,1,2,103,2,passed
16304379,0,0,0,0,0,1,1,105,1,passed
16363117,88,0,54,0,1,15,1,404,1,passed
17416204,6,1,0,0,0,1,1,47,1,passed
17461437,6,0,0,0,0,1,1,48,1,passed
17868969,6,0,13,0,0,4,1,188,1,failed
