tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
125207,257,0,0,0,0,3,1,20,1,failed
125218,0,0,0,1,0,1,1,18,1,failed
125349,76,0,9,0,0,18,8,998,8,failed
125433,2,0,0,0,0,1,1,4,1,failed
125446,257,0,0,0,0,3,1,19,1,failed
125478,0,0,0,0,0,1,1,17,1,failed
125541,0,0,0,0,0,1,1,1,1,failed
125553,0,0,0,0,0,1,1,21,1,failed
125593,2,0,0,0,0,2,1,42,1,failed
125634,2,0,0,0,0,2,1,41,1,failed
126162,26,0,0,0,0,1,1,16,1,failed
126166,0,0,0,0,0,1,1,22,1,failed
126175,23,0,0,1,0,1,1,24,1,failed
126180,4,0,0,0,0,3,1,38,1,failed
126183,4,0,0,0,0,1,1,3,1,failed
126206,6,0,0,0,0,1,1,28,1,failed
126209,1,0,0,0,0,1,1,29,1,failed
126223,2,0,0,0,0,1,1,30,1,failed
126226,4,0,0,0,0,1,1,2,1,failed
126261,8,0,0,0,0,2,2,71,2,failed
126283,2,0,0,0,0,1,1,429,1,failed
126309,18,0,0,0,0,2,1,72,1,failed
126336,93,0,0,0,0,2,1,283,1,failed
126397,0,0,0,0,0,1,1,23,1,failed
126410,2,0,7,0,0,2,1,218,1,failed
126425,10,0,0,0,0,2,2,37,2,failed
126474,0,0,0,1,0,0,1,1,1,failed
126516,4,0,0,0,0,1,1,4,1,failed
126614,5,0,0,0,0,1,1,8,1,failed
126679,13,0,0,0,1,3,1,491,1,failed
126718,2,0,0,0,0,2,2,102,2,passed
126856,8,0,0,0,0,1,1,7,1,failed
126868,6,0,0,0,0,1,1,5,1,failed
126890,2,0,0,0,0,1,1,230,1,failed
126906,9,0,0,2,0,2,1,30,1,failed
127612,56,0,0,0,1,4,1,499,1,failed
127815,2,0,0,0,0,1,1,12,1,failed
127838,2,0,0,0,0,1,1,11,1,failed
127956,2,0,0,0,0,1,1,13,1,failed
128065,2,0,0,0,0,1,1,14,1,failed
128108,2,0,0,0,0,1,1,15,1,failed
128616,4,0,0,0,0,1,1,370,1,failed
128637,0,0,0,0,0,2,1,104,1,failed
128710,0,0,0,0,0,2,1,103,1,failed
128896,4,0,0,0,0,1,1,51,1,failed
128918,8,0,0,0,0,2,2,98,2,failed
129041,4,0,0,0,0,1,1,51,1,failed
129082,4,0,0,0,0,1,1,51,1,passed
129087,0,0,0,0,0,1,1,26,1,passed
129292,14,0,0,0,0,1,1,201,1,failed
129338,2,0,0,0,0,39,1,544,1,failed
129809,0,0,32,0,0,1,1,225,1,failed
129884,4,0,0,0,0,2,1,97,1,failed
129920,0,0,0,0,0,5,1,991,1,failed
129927,0,0,0,0,0,1,1,976,1,failed
129972,177,0,6,0,0,10,2,1156,2,failed
130027,0,0,0,0,0,5,1,990,1,failed
130070,177,0,6,0,0,10,2,1156,2,passed
130119,177,0,6,0,0,10,2,1156,2,passed
130884,0,0,0,0,0,1,1,106,1,failed
130911,0,0,0,0,0,1,1,105,1,failed
131282,2,0,0,0,0,1,1,202,1,failed
131454,2,0,0,0,0,1,1,203,1,failed
131651,304,0,0,2,2,2,1,161,1,failed
131661,0,0,0,0,0,1,1,135,1,failed
131839,12,0,0,0,0,2,1,135,1,failed
132101,71,0,0,0,0,3,1,528,1,failed
132108,14,0,0,1,0,1,1,53,1,failed
132116,106,0,0,1,1,0,1,17,1,failed
132205,8,0,0,0,0,2,1,146,1,failed
132406,163,0,0,1,0,0,1,0,1,failed
132606,55,0,0,0,0,1,1,2,1,failed
132615,0,0,112,0,0,5,1,340,1,failed
132696,2,0,0,0,0,1,1,1,1,failed
132726,4,0,0,0,0,1,1,1,1,failed
132873,0,0,50,0,0,2,1,76,1,failed
132969,0,0,4,0,0,1,1,31,1,failed
133121,76,0,0,0,0,6,1,176,1,passed
133609,76,0,0,0,0,6,1,176,1,failed
133742,41,0,0,0,0,2,1,3,1,failed
133830,76,0,0,0,0,6,1,176,1,failed
133898,5,0,0,0,1,2,1,43,1,failed
133912,0,0,0,0,0,1,1,30,1,failed
133933,41,0,0,0,0,2,1,3,1,failed
134000,0,0,0,0,0,1,1,29,1,failed
134043,0,0,0,0,0,1,1,30,1,failed
134337,0,0,0,0,0,5,1,166,1,failed
134581,256,0,40,0,18,4,1,558,1,failed
137847,24,0,0,1,0,5,1,1217,1,passed
138119,12,0,0,0,0,1,1,10,1,passed
138677,6,0,0,0,0,1,1,17,1,passed
142122,0,0,99,0,0,1,1,59,1,passed
143870,24,0,0,0,0,2,1,74,1,failed
145651,11,0,44,0,0,2,1,338,1,passed
147719,0,0,0,0,0,4,1,74,1,passed
148499,6,0,9,0,0,2,1,4,1,passed
149113,2,0,0,0,0,1,1,25,1,passed
149137,10,0,0,0,0,5,1,279,1,passed
149784,0,0,0,0,0,1,1,34,1,passed
150000,37,0,17,1,0,50,2,1166,2,passed
150170,7,0,0,0,0,1,1,2,1,passed
150177,62,0,0,0,0,13,1,1455,1,passed
150449,2,0,0,0,0,1,1,4,1,passed
150523,8,0,0,0,0,1,1,22,1,passed
151471,4,0,0,0,0,1,1,27,1,passed
151627,2,0,0,0,0,1,1,1,1,passed
152037,0,0,0,1,1,0,1,3,1,passed
153031,2,0,0,0,0,1,1,3,1,passed
153398,1150,0,130,12,1,24,1,1816,1,failed
153469,2,0,0,0,0,1,1,235,1,passed
153667,316,0,110,18,1,30,1,1292,1,failed
154103,0,0,0,0,0,1,1,980,1,passed
154408,57,0,0,0,0,9,1,150,1,failed
154495,4,0,0,0,0,2,1,13,1,passed
154808,0,0,0,0,0,1,1,137,1,passed
155683,170,0,0,0,0,1,1,378,1,passed
155717,0,0,0,0,0,1,1,9,1,passed
156492,4,0,0,0,0,1,1,28,1,passed
156503,36,0,347,0,0,9,1,551,1,failed
157272,51,0,4,0,0,2,1,37,1,failed
157501,7,0,0,0,0,1,1,7,1,passed
157560,0,0,0,0,0,1,1,35,1,failed
157594,0,0,0,0,0,1,1,36,1,failed
157621,5,0,0,0,0,4,2,1429,2,failed
157671,191,0,309,0,0,5,1,535,1,failed
158021,344,0,0,20,24,0,1,47,1,failed
158043,10,0,0,0,0,5,3,588,3,passed
158574,6,0,0,0,0,2,1,500,1,passed
159635,234,0,0,0,0,532,1,5736,1,passed
159737,6,0,0,0,0,2,1,53,1,passed
159917,24,0,0,0,1,0,1,10,1,passed
160505,1321,0,68,3,0,30,1,1484,1,failed
160824,183,0,14,1,0,7,1,27,1,passed
160936,2,0,0,0,0,1,1,5,1,failed
161110,14,0,7,0,0,4,1,9,1,passed
161172,7,0,0,0,0,1,1,7,1,passed
161188,8,0,0,0,0,1,1,8,1,passed
162172,0,0,0,0,0,1,1,15,1,passed
162326,202,0,18,0,2,7,2,173,2,failed
162862,20,0,0,0,0,3,1,31,1,failed
162979,8,0,12,0,0,3,1,226,1,passed
163413,0,0,0,0,0,1,1,164,1,passed
163460,16,0,0,0,0,4,1,164,1,passed
164787,280,0,0,2,0,15,1,513,1,failed
164900,280,0,0,2,0,15,1,513,1,failed
164927,8,0,0,0,0,2,1,504,1,failed
164972,22,0,0,1,0,3,2,517,2,failed
164990,2,0,0,0,0,1,1,10,1,failed
165009,2,0,0,0,0,1,1,1,1,failed
165029,1,0,0,0,0,1,1,2,1,failed
165040,2,0,0,0,0,1,1,11,1,failed
165101,4,0,0,0,0,1,1,15,1,passed
165207,23,0,0,0,0,4,1,177,1,passed
165437,31,0,0,0,0,4,1,463,1,passed
165528,2,0,0,0,0,1,1,35,1,passed
165547,39,0,0,1,0,1,1,36,1,passed
165562,15,0,0,0,0,1,1,3,1,passed
165632,2,0,0,0,0,2,1,5,1,passed
165921,8,0,24,1,0,3,4,57,4,failed
166026,2,0,38,0,0,2,2,12,2,failed
166034,2,0,0,0,0,1,1,12,1,passed
166309,77,0,15,1,0,5,1,559,1,failed
166363,0,0,4,0,0,1,1,6,1,passed
166951,0,0,0,0,0,1,1,16,1,passed
167403,1,0,0,2,0,1,1,28,1,passed
167977,48,0,0,0,0,2,1,42,1,passed
170280,1,0,0,4,0,4,1,213,1,passed
170812,24,0,0,1,0,4,1,117,1,failed
171176,0,0,0,0,0,1,1,23,1,failed
171358,0,0,0,1,0,2,1,586,1,failed
171413,20,0,0,0,0,3,1,34,1,passed
172064,0,0,0,0,0,1,1,580,1,passed
173271,0,0,0,0,0,3,1,698,1,passed
173304,0,0,0,0,0,2,1,591,1,passed
174180,2,0,20,0,0,2,1,140,1,passed
174214,12,0,0,0,0,1,1,20,1,passed
174384,0,0,0,0,0,1,1,585,1,failed
174392,0,0,0,0,0,1,1,585,1,passed
175631,13,0,0,1,0,3,1,420,1,passed
175652,10,0,0,0,0,1,1,27,1,passed
175738,4,0,0,0,0,4,2,641,2,failed
176485,0,0,65,1,0,6,1,35,1,failed
178549,86,0,0,0,0,2,1,10,1,failed
180348,86,0,0,0,0,2,1,11,1,failed
181132,0,0,0,0,0,2,1,598,1,failed
181303,43,0,0,0,0,8,1,1766,1,failed
181311,0,0,0,1,0,0,1,0,1,failed
181496,13,0,6,0,0,4,1,144,1,passed
182949,2,0,0,0,0,54,2,431,2,passed
183312,14,0,12,0,0,3,1,607,1,passed
183347,3,0,0,0,0,1,1,404,1,passed
184200,19,0,0,2,0,6,1,1887,1,failed
184358,10,0,2,0,0,3,1,450,1,passed
186177,20,0,0,1,0,2,1,19,1,failed
186499,10,0,0,0,0,4,2,606,2,passed
187446,0,0,0,0,0,3,1,1429,1,passed
187608,2,0,0,0,0,5,1,1455,1,failed
187820,16,0,0,0,0,3,1,225,1,failed
187932,5,0,0,0,0,5,1,258,1,failed
189596,3,0,0,0,0,1,1,1,1,failed
191112,493,0,22,28,2,22,1,1727,1,failed
191158,0,0,0,0,0,1,1,9,1,failed
191636,0,0,0,0,0,1,1,6,1,failed
191891,0,0,2,0,0,1,1,40,1,failed
192147,5,0,0,0,0,3,1,553,1,failed
192169,2,0,0,0,0,1,1,79,1,failed
192185,5,0,0,0,0,3,1,555,1,failed
192248,22,0,4,0,0,4,3,18,3,failed
192270,11,0,16,0,0,9,1,775,1,failed
192306,0,0,0,0,0,1,1,22,1,failed
192395,0,0,0,0,0,1,1,75,1,failed
192663,0,0,0,0,0,2,2,135,2,failed
193321,0,0,0,0,0,3,1,174,1,failed
193521,0,0,0,0,0,1,1,988,1,failed
193569,0,0,0,0,0,2,1,605,1,failed
193662,17,0,0,0,0,2,1,17,1,failed
193737,2,0,0,0,0,1,1,253,1,failed
