tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
120414,2,0,0,0,0,1,1,34,1,failed
139041,27,0,0,0,0,2,1,67,1,failed
139091,42,0,0,0,0,1,1,43,1,failed
143076,4,0,0,0,0,2,1,36,1,failed
144055,1,0,0,0,0,1,1,44,1,failed
144943,2,0,0,0,0,1,1,37,1,failed
153338,22,0,0,0,0,2,2,40,2,failed
153352,0,0,0,0,0,1,1,3,1,failed
155292,3,0,0,0,0,1,1,3,1,failed
155338,2,0,0,0,0,1,1,45,1,failed
155496,10,0,0,1,0,3,3,47,3,failed
155555,0,0,259,0,2,1,1,22,1,failed
155582,2,0,0,0,0,1,1,7,1,failed
155742,3,0,0,0,0,1,1,39,1,failed
170633,9,0,0,0,0,1,1,46,1,failed
170647,2,0,0,0,0,1,1,8,1,failed
171008,3,0,0,0,0,1,1,47,1,failed
173312,19,0,0,0,0,1,1,48,1,failed
173327,3,0,0,0,0,1,1,49,1,failed
173397,5,0,0,0,0,1,1,51,1,failed
173855,2,0,0,0,0,1,1,9,1,failed
182414,5,0,0,0,0,1,1,53,1,failed
182428,2,0,0,0,0,1,1,10,1,failed
376386,42,0,0,0,0,1,1,56,1,failed
376395,2,0,0,0,0,1,1,11,1,failed
376407,8,0,0,0,0,2,2,69,2,failed
377473,13,0,0,0,1,1,1,60,1,failed
386594,2,0,0,0,0,1,1,13,1,failed
423659,3,0,0,0,0,1,1,61,1,failed
423672,2,0,0,0,0,1,1,14,1,failed
545350,28,0,0,1,0,2,2,55,2,failed
1185125,32,0,0,0,0,2,2,66,2,failed
1185174,2,0,0,0,0,1,1,16,1,failed
1266222,12,0,0,0,0,1,1,64,1,failed
1266238,2,0,0,0,0,1,1,17,1,failed
1358424,84,0,0,0,0,8,1,134,1,passed
1381611,260,0,0,2,0,7,1,97,1,failed
1381633,4,0,0,0,0,1,2,1,2,passed
1381654,51,0,0,1,0,1,1,69,1,passed
1381675,10,0,0,0,0,4,1,30,1,passed
1381697,2,0,0,0,0,1,1,18,1,passed
1381715,6,0,0,0,0,1,1,19,1,passed
1381755,2,0,4,0,0,2,2,15,2,passed
1381842,0,0,7,0,0,1,1,12,1,passed
1382686,39,0,0,0,0,9,4,123,4,passed
1382739,2,0,0,0,0,1,1,18,1,passed
7092473,39,0,0,0,1,4,4,121,4,passed
10432536,0,0,0,0,0,1,1,12,1,passed
10432600,2,0,0,0,0,2,1,9,1,passed
10432660,2,0,0,0,0,1,1,19,1,passed
10539091,2,0,0,0,0,1,1,73,1,passed
10672088,2,0,0,0,0,1,1,74,1,passed
10672172,2,0,0,0,0,1,1,20,1,passed
11880003,6,0,0,0,0,1,2,75,2,passed
11880258,2,0,0,0,0,1,1,21,1,passed
25554941,0,0,0,0,0,1,1,13,1,passed
25554957,0,0,0,0,0,1,1,14,1,passed
25555463,42,0,8,0,0,5,1,141,1,passed
25555486,42,2,8,0,0,5,1,140,1,passed
25555501,0,0,0,0,0,0,1,0,1,passed
26161484,17,0,0,0,0,1,1,82,1,passed
26161631,2,0,0,0,0,1,1,22,1,passed
26885993,35,0,0,0,0,1,1,83,1,passed
26886879,35,0,0,0,0,1,1,84,1,passed
26895653,110,0,0,0,0,3,2,89,2,passed
26896140,75,0,0,0,0,3,1,91,1,passed
26968759,19,0,0,0,0,2,2,112,2,failed
27335099,2,1,0,0,0,1,1,90,1,failed
28531917,2,0,0,0,0,1,1,91,1,passed
28532168,2,0,0,0,0,1,1,24,1,passed
37979996,0,0,3,1,0,1,1,18,1,passed
37988547,32,0,0,0,0,1,1,93,1,passed
37989578,2,0,0,0,0,1,1,25,1,passed
38509589,1,0,0,0,0,2,1,28,1,passed
43213398,0,0,8,0,0,1,1,19,1,passed
43228214,1,0,0,0,0,2,1,29,1,passed
43682916,0,0,34,0,0,1,1,20,1,failed
43683097,0,0,35,0,0,1,1,22,1,passed
43748787,0,0,9,0,0,1,1,23,1,passed
43751744,14,0,20,0,0,3,1,118,1,passed
43757295,14,0,20,0,0,3,1,119,1,passed
43758643,0,0,15,0,0,1,1,30,1,passed
43760774,0,0,2,0,0,1,1,32,1,passed
43775835,0,0,142,0,0,1,1,33,1,passed
44904393,0,0,20,1,0,0,1,0,1,passed
44904540,7,0,9,0,0,3,3,54,3,passed
44904668,3,0,0,0,0,1,1,4,1,passed
44904793,7,0,9,0,0,3,1,57,1,passed
44904895,9,0,0,0,0,1,1,19,1,passed
44904946,3,0,0,0,0,1,1,5,1,passed
44904980,2,0,0,0,0,1,1,49,1,passed
44905095,80,0,0,0,1,1,1,60,1,passed
44905464,109,0,0,0,1,2,1,73,1,passed
44905599,108,0,0,0,1,1,1,59,1,passed
44905953,1,0,0,0,0,1,1,1,1,passed
44906172,0,0,0,0,0,1,1,17,1,failed
44906301,31,0,0,0,0,1,1,22,1,failed
44907178,15,0,0,0,0,1,1,96,1,failed
44907705,52,0,0,0,0,4,1,130,1,passed
47723926,7,1,0,0,0,1,1,20,1,passed
49376172,2,0,1,0,0,2,1,43,1,passed
49377505,0,0,9,0,0,1,2,38,2,passed
49378167,2,0,0,0,0,1,1,26,1,passed
52185079,86,0,58,0,0,7,1,149,1,failed
52466572,0,0,0,0,0,1,1,20,1,failed
53140479,2,0,0,0,0,1,1,22,1,failed
53234782,4,0,0,0,0,1,1,99,1,failed
53234835,2,0,30,2,0,3,1,83,1,failed
53238671,0,0,2,0,0,1,1,41,1,passed
53238738,0,1,2,0,0,1,1,44,1,passed
53239561,117,0,58,0,0,8,1,162,1,passed
53239829,0,1,0,0,0,1,1,22,1,passed
53239894,2,0,0,0,0,1,1,27,1,passed
53730763,0,0,0,0,0,1,1,1,1,passed
54032995,2,0,0,0,0,1,1,24,1,passed
54043633,0,0,0,0,0,1,1,4,1,passed
54043640,2,1,0,0,0,1,1,25,1,passed
