tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
845045,439,0,309,4,0,14,9,19,9,failed
845717,26,0,0,0,0,1,1,7,1,failed
847442,1,0,2,0,0,2,1,5,1,failed
853780,3,0,0,0,0,2,1,10,1,failed
853785,2,0,0,0,0,1,1,1,1,failed
864027,4,0,0,0,0,1,1,8,1,failed
872425,4,0,0,0,0,1,1,9,1,failed
880520,0,0,2,0,0,1,1,4,1,failed
880648,6,0,2,0,0,3,1,15,1,failed
881327,36,0,57,0,0,6,2,19,2,failed
881563,0,0,2,0,0,1,1,5,1,failed
904650,3,0,4,0,0,2,1,2,1,failed
904676,2,0,0,0,0,1,1,2,1,failed
904788,27,0,18,0,0,5,2,18,2,failed
964142,17,0,31,0,0,3,2,17,2,failed
964160,2,0,0,0,0,1,1,4,1,failed
1037695,4,0,0,0,0,1,1,10,1,failed
1038774,4,0,0,0,0,1,1,10,1,failed
1294089,83,0,115,0,0,6,1,25,1,failed
1294095,2,0,0,0,0,1,1,5,1,failed
1324965,2,0,0,0,0,1,1,3,1,failed
1372877,13,0,0,0,0,1,1,11,1,passed
1372906,3,0,0,0,0,1,1,12,1,failed
1515562,34,0,58,0,0,3,1,24,1,passed
1534874,2,0,0,0,0,1,1,6,1,passed
1607326,5,0,0,0,0,3,2,22,2,passed
1815635,1,0,11,0,0,2,1,19,1,passed
1815642,4,0,0,0,0,2,2,21,2,passed
2127325,4,0,6,0,0,3,1,12,1,failed
2127372,2,0,0,0,0,1,1,15,1,passed
2285747,2,0,0,0,0,1,1,9,1,failed
2285961,0,0,11,0,0,1,1,3,1,passed
2696707,69,0,35,0,0,9,1,29,1,passed
2971863,2,0,0,0,0,1,1,16,1,passed
3149479,2,0,0,0,0,1,1,16,1,passed
3149511,2,0,0,0,0,1,1,10,1,passed
4639869,23,0,15,0,0,5,1,36,1,passed
5039201,0,0,0,0,0,1,1,7,1,passed
5094501,0,0,0,0,0,1,1,7,1,passed
5424198,2,0,0,0,0,1,1,12,1,passed
5491794,2,0,0,0,0,1,1,12,1,passed
5740153,2,0,0,0,0,1,1,11,1,passed
5846225,6,0,0,0,0,1,1,13,1,passed
5865862,0,0,0,0,0,1,1,8,1,passed
5865929,2,0,0,0,0,1,1,12,1,passed
6509740,0,0,136,0,0,2,1,32,1,passed
6528831,2,0,0,0,0,1,1,13,1,passed
6528936,17,0,0,0,0,1,1,18,1,passed
6529000,4,0,0,0,0,1,1,19,1,passed
6574531,4,0,0,0,0,1,1,16,1,passed
6798867,67,0,0,0,0,2,2,25,2,passed
6810247,2,0,0,0,0,1,1,3,1,passed
6826524,67,0,10,0,0,3,2,35,2,passed
6826723,0,0,0,0,0,1,1,9,1,passed
6827113,4,0,0,0,0,2,1,33,1,passed
6971776,13,0,0,0,0,1,1,21,1,passed
6980336,13,0,0,0,0,1,1,21,1,passed
7279487,86,0,29,1,0,7,5,44,5,passed
7294444,38,0,0,0,0,3,1,37,1,passed
7498542,168,0,60,2,0,8,2,36,2,failed
7498630,0,0,0,0,0,1,1,1,1,failed
7498999,2,0,0,0,0,1,1,2,1,passed
7570788,26,0,0,0,0,3,1,38,1,passed
7744894,55,0,1,1,0,5,1,28,1,passed
7771265,7,0,0,0,0,2,1,35,1,passed
7860850,0,0,0,0,0,1,1,11,1,passed
7872866,0,0,0,0,0,1,1,12,1,passed
7872918,4,0,0,0,0,2,1,36,1,passed
8461606,8,0,10,0,0,5,2,36,2,passed
8611490,16,0,0,0,0,1,1,24,1,passed
8611504,2,0,0,0,0,1,1,25,1,passed
8971557,3,0,0,0,0,1,1,11,1,passed
8972714,0,0,6,0,0,1,1,3,1,passed
9198546,2,0,0,0,0,1,1,2,1,passed
10656007,8,0,0,0,0,1,1,27,1,passed
10656252,8,0,0,0,0,1,1,27,1,passed
11236949,21,0,3,0,0,3,1,20,1,passed
11547088,2,0,6,0,0,2,1,43,1,passed
11561932,22,0,48,0,0,4,3,47,3,passed
11622259,6,0,0,0,0,2,1,41,1,passed
11785746,6,0,0,0,0,1,1,3,1,passed
15849942,5,0,0,0,0,2,1,6,1,passed
18128520,2,0,0,0,0,1,1,2,1,passed
18130325,2,0,0,0,0,1,1,3,1,passed
18977462,6,0,7,0,0,3,1,17,1,passed
19011178,3,0,0,0,0,1,2,9,2,passed
19045233,2,0,0,0,0,1,1,11,1,passed
25398501,0,0,0,0,0,1,1,3,1,passed
25450794,18,0,56,0,0,4,2,55,2,passed
25929340,2,0,0,0,0,1,1,4,1,passed
26867138,0,0,9,0,0,2,1,15,1,passed
29420849,1,0,20,0,0,2,1,50,1,passed
29422755,7,0,12,0,0,2,1,51,1,passed
32854394,7,0,12,0,0,2,1,51,1,passed
32856009,18,0,38,0,0,4,2,60,2,passed
32858142,17,0,8,0,0,4,2,60,2,passed
