tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
117598,33,0,87,6,0,2,1,66,1,failed
117645,2,0,0,0,0,1,1,13,1,passed
117678,2,0,0,0,0,1,1,12,1,failed
117889,12,0,63,0,0,2,1,12,1,passed
117892,0,0,0,0,0,1,1,116,1,passed
118113,0,0,0,1,0,0,1,0,1,failed
118353,0,0,0,0,0,1,1,1,1,failed
120374,246,0,64,8,0,5,3,139,3,failed
123178,0,0,0,0,0,1,1,2,1,passed
123225,46,0,41,3,0,6,1,87,1,failed
123356,0,0,0,0,0,1,1,117,1,failed
135879,50,0,107,8,0,3,1,76,1,passed
135907,3,0,0,0,0,2,1,151,1,passed
137207,30,0,12,4,0,3,1,138,1,passed
137444,11,0,20,4,0,1,1,35,1,passed
137473,0,0,0,0,0,1,1,119,1,passed
146386,11,0,0,0,0,4,1,233,1,passed
146471,16,0,0,0,0,4,1,301,1,passed
147278,6,0,5,0,0,3,1,112,1,passed
147321,9,0,0,0,0,3,1,259,1,passed
149644,105,0,91,8,0,4,2,125,2,passed
151697,0,0,0,0,0,1,1,123,1,passed
158014,90,0,64,1,1,8,3,169,3,passed
160632,9,0,31,0,0,4,1,5,1,passed
161632,9,0,31,0,0,4,1,6,1,passed
172025,20,0,29,3,0,2,1,59,1,passed
172034,0,0,1,0,0,1,1,2,1,passed
174081,30,0,39,2,0,4,1,127,1,passed
174105,11,0,72,0,0,2,1,2,1,passed
174118,2,0,6,0,0,2,1,3,1,passed
176359,2,0,0,0,0,1,1,30,1,passed
176379,100,0,102,14,0,3,1,102,1,passed
176388,100,0,102,14,0,3,1,103,1,passed
176401,11,0,0,0,0,2,2,165,2,passed
184821,25,0,0,0,0,1,1,17,1,passed
187584,55,0,98,0,0,3,1,72,1,passed
188042,83,0,85,10,0,2,1,96,1,passed
188057,23,0,28,3,0,1,1,49,1,passed
188663,147,0,184,11,0,9,6,135,6,passed
188691,0,0,0,0,0,1,1,126,1,passed
188735,0,0,0,0,0,0,1,0,1,passed
190625,17,0,26,1,0,4,1,116,1,passed
190631,0,0,0,0,0,1,1,128,1,passed
206137,21,0,0,0,0,3,2,178,2,passed
210412,10,0,14,0,0,3,1,83,1,passed
211288,1,0,0,0,0,1,1,24,1,passed
228959,2,0,0,0,0,1,1,20,1,passed
248658,20,0,92,2,0,6,2,15,2,passed
248664,0,0,0,0,0,1,1,130,1,passed
250814,47,0,168,2,0,7,2,138,2,passed
250825,0,0,0,0,0,1,1,131,1,passed
255719,5,0,0,0,0,3,2,199,2,passed
262953,14,0,6,0,0,5,1,82,1,passed
268433,52,0,0,0,0,1,1,58,1,passed
268782,37,0,4,0,0,5,1,205,1,passed
277795,0,0,0,0,0,1,1,135,1,passed
278966,2,0,12,0,0,2,1,63,1,failed
279143,62,0,13,3,0,4,1,161,1,passed
283935,19,0,101,5,0,6,1,131,1,passed
284024,34,0,46,1,0,7,3,150,3,passed
286153,58,0,7,0,0,20,4,341,4,passed
286223,91,0,16,4,0,9,1,186,1,passed
289486,77,0,136,10,0,1,1,96,1,passed
289497,6,0,6,0,0,4,1,2,1,passed
289830,0,0,0,0,0,1,1,138,1,passed
289980,3,0,0,0,0,2,2,20,2,passed
295198,16,0,0,1,0,3,2,206,2,passed
315325,5,0,12,0,0,5,2,204,2,passed
315351,2,0,13,2,0,1,1,69,1,passed
318909,0,0,3,0,0,1,1,12,1,passed
331012,3,0,22,0,0,2,1,22,1,passed
349310,145,0,325,0,0,30,1,151,1,passed
349405,96,0,16,0,1,3,1,121,1,passed
349417,88,0,1,1,0,2,1,218,1,passed
408237,1,0,0,0,0,1,1,16,1,passed
408334,41,0,0,2,0,2,1,139,1,passed
408376,5,0,40,2,0,2,1,74,1,passed
408382,0,0,0,0,0,1,1,142,1,passed
445121,6,0,0,0,0,1,1,23,1,passed
457329,6,0,0,0,0,1,1,24,1,passed
481626,22,0,18,4,0,2,1,105,1,passed
481646,0,0,0,0,0,1,1,143,1,passed
491965,3,0,4,0,0,2,1,76,1,passed
560476,4,0,0,0,0,1,1,62,1,failed
560500,62,0,139,0,0,3,1,80,1,passed
560529,116,0,139,0,0,4,3,211,3,failed
571683,505,0,36,1,0,73,4,234,4,failed
571821,30,0,0,2,0,2,1,147,1,failed
571919,24,0,75,3,0,1,1,1,1,failed
571942,0,0,0,0,0,1,1,145,1,failed
572468,10,0,22,2,0,4,1,100,1,failed
577784,30,0,24,6,0,1,1,65,1,failed
609998,81,0,35,3,2,6,3,307,3,failed
631947,0,0,0,0,0,1,1,4,1,passed
632130,19,0,15,0,0,3,1,149,1,passed
632140,0,0,0,0,0,1,1,147,1,passed
632225,8,0,0,0,0,3,1,318,1,passed
633349,2,0,5,0,0,2,1,10,1,passed
633378,9,0,0,0,0,1,1,8,1,passed
700335,8,0,0,0,0,2,1,4,1,passed
713173,8,0,0,0,0,2,1,5,1,passed
718083,66,0,137,6,0,7,1,18,1,passed
718184,16,0,0,0,0,4,1,18,1,passed
718225,0,0,0,0,0,1,1,149,1,failed
718338,28,0,0,0,0,1,1,82,1,failed
726651,10,0,25,1,0,2,1,15,1,failed
726656,4,0,12,0,0,2,1,13,1,failed
726744,15,0,0,0,0,2,1,209,1,failed
728521,5,0,0,0,0,2,2,161,2,failed
728590,3,0,0,0,0,1,1,9,1,failed
728621,2,0,0,0,0,1,1,10,1,failed
728653,0,0,5,0,0,2,1,8,1,passed
739894,4,0,6,1,1,3,1,4,1,passed
739947,2,0,0,0,0,1,1,4,1,passed
740527,0,0,0,0,0,1,1,151,1,passed
789999,16,0,0,0,0,1,1,84,1,passed
790113,6,0,0,0,0,2,1,53,1,passed
790131,6,0,0,0,0,3,1,325,1,passed
823818,2,0,2,0,0,2,1,6,1,passed
823911,0,0,0,0,0,1,1,153,1,passed
824467,0,0,0,0,0,1,1,154,1,passed
851653,22,0,0,0,0,4,1,393,1,passed
986377,8,0,0,0,0,1,1,17,1,passed
986923,50,0,9,1,0,3,2,233,2,passed
991626,2,0,0,0,0,2,2,172,2,passed
1060190,8,0,13,0,0,2,1,15,1,passed
1060260,0,0,0,0,0,1,1,158,1,passed
1088188,0,0,0,0,0,1,1,49,1,passed
1152683,92,0,87,1,0,9,3,335,3,passed
1163213,15,0,5,0,0,4,1,155,1,failed
1163310,2,0,0,0,0,1,1,2,1,passed
1173063,3,0,0,0,0,1,1,15,1,passed
1173119,4,0,12,0,0,2,1,37,1,passed
1208051,52,0,136,0,0,2,1,32,1,passed
1250845,5,0,26,0,0,2,1,13,1,passed
1250856,0,0,0,0,0,1,1,163,1,passed
1274127,73,0,179,0,0,10,3,287,3,passed
1274166,26,0,0,0,0,1,1,93,1,failed
1274231,18,0,0,0,0,2,1,220,1,passed
1274294,7,0,0,0,0,1,1,29,1,failed
1274370,40,0,34,0,5,3,1,138,1,passed
1283972,114,0,74,5,5,8,1,481,1,passed
1284002,0,0,0,0,0,1,1,168,1,passed
1292547,59,0,3,0,0,8,1,85,1,passed
1292608,2,0,75,2,0,2,1,106,1,passed
1292712,3,0,188,3,0,6,1,19,1,passed
1292720,0,0,0,0,0,1,1,169,1,passed
1293093,55,0,141,5,0,5,1,216,1,passed
1293187,32,0,63,4,0,1,1,34,1,passed
1342626,2,0,0,0,0,1,1,17,1,passed
1365799,6,0,0,0,0,1,1,99,1,passed
1379892,2,0,0,0,0,1,1,6,1,passed
1379990,160,0,468,14,0,22,2,412,2,passed
1380040,0,0,0,0,0,1,1,171,1,passed
1609289,40,0,12,0,0,6,3,249,3,passed
1609492,0,0,0,0,0,2,2,219,2,passed
1767367,2,0,16,0,0,4,2,135,2,failed
1767882,12,0,14,0,0,3,2,134,2,passed
1772789,20,0,22,0,0,5,1,164,1,passed
1896301,10,0,22,0,0,4,1,71,1,passed
1896341,0,0,0,0,0,1,1,173,1,passed
1900627,6,0,0,0,0,5,1,112,1,passed
1900643,0,0,0,0,0,1,1,174,1,passed
2043973,0,0,0,0,0,1,1,52,1,passed
2312257,51,0,37,3,0,6,2,336,2,failed
2428895,65,0,114,6,0,3,1,245,1,passed
2428933,12,0,0,0,0,2,1,237,1,passed
2428963,0,0,0,0,0,1,1,176,1,passed
2593538,4,0,4,0,0,2,1,12,1,passed
2593551,0,0,0,0,0,1,1,177,1,passed
2645375,4,0,25,0,0,3,1,17,1,passed
2645389,0,0,2,0,0,1,1,5,1,passed
2645423,0,0,0,0,0,1,1,178,1,passed
