tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
144692,0,0,0,0,0,1,1,1,1,passed
145052,2,0,0,0,0,1,1,19,1,passed
145155,3574,0,477,51,9,20,29,62,29,failed
147445,2,0,0,0,0,1,1,20,1,passed
164543,14,0,0,0,0,2,2,39,2,failed
197544,55,0,15,0,2,8,5,60,5,passed
197547,98,0,15,0,2,6,2,66,2,passed
199667,12,0,0,0,0,1,1,25,1,passed
199883,0,0,4,0,0,1,1,3,1,passed
205971,7,0,0,0,0,1,1,3,1,passed
224513,5,0,0,0,0,1,1,27,1,passed
300667,69,0,0,1,0,6,1,37,1,passed
300670,2,0,0,0,0,1,1,3,1,passed
321890,5,0,0,0,0,1,2,6,2,passed
391597,2,0,0,0,0,1,1,28,1,passed
996933,4,0,0,0,0,1,1,30,1,passed
1000801,12,0,0,1,0,1,1,1,1,passed
1017581,30,0,0,1,0,2,1,9,1,passed
1025304,0,0,0,0,0,1,1,1,1,passed
3633135,10,0,0,0,0,9,6,20,6,passed
3633522,157,0,26,0,0,6,3,46,3,passed
3954094,4,0,0,0,0,3,2,38,2,failed
3954724,0,0,0,0,0,1,1,4,1,passed
4745954,6,0,0,0,0,4,2,19,2,failed
4746027,0,0,0,0,0,1,1,7,1,passed
4746310,206,0,99,0,22,5,3,107,3,passed
4746383,206,0,99,0,22,5,1,110,1,passed
4750690,59,0,0,2,0,3,3,48,3,passed
5235032,30,0,0,3,0,3,2,25,2,passed
5326371,36,0,34,2,0,3,1,46,1,passed
5326498,36,0,34,2,0,3,1,46,1,passed
5327576,7,0,0,1,0,0,1,0,1,passed
5327821,5,0,0,0,0,1,1,1,1,passed
5335535,12,0,0,1,0,0,1,2,1,passed
9748521,117,0,279,5,0,20,1,60,1,passed
21293174,3338,0,433,0,40,2,1,53,1,failed
44965534,2,0,0,0,0,1,1,35,1,failed
44966529,3388,0,409,5,36,8,2,67,2,passed
44969232,50,0,0,0,0,3,5,82,5,passed
44969812,31,0,34,0,2,5,1,91,1,passed
44971235,31,0,34,0,2,5,1,91,1,passed
45371104,0,0,0,0,0,1,1,12,1,passed
48295176,61,0,0,1,0,2,1,39,1,passed
48399244,61,0,0,1,0,2,1,39,1,passed
48399544,2,0,0,0,0,2,1,19,1,passed
48399612,0,0,0,0,0,1,1,14,1,passed
51541402,41,0,0,0,4,1,1,19,1,passed
52282107,14,0,0,0,0,1,1,20,1,passed
