tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
28579344,121,0,0,4,294,4,2,97,2,failed
28579825,24,1,4,2,0,2,2,6,2,failed
28580364,3,0,0,0,0,2,1,4,1,failed
28581086,10,0,0,0,0,4,2,24,2,passed
28581555,29,0,83,0,0,3,1,37,1,passed
28630851,29,0,83,0,0,3,1,38,1,passed
28635224,110,1,47,0,0,3,2,70,2,passed
28636926,0,0,0,1,0,0,1,0,1,passed
28639689,0,0,0,1,0,0,1,1,1,passed
28980652,0,1,15,0,0,8,2,12,2,passed
29020784,2,0,0,0,0,1,1,35,1,passed
29112974,59,0,4,0,0,5,1,73,1,passed
29113580,2,0,0,0,0,1,1,36,1,passed
29113873,2,0,13,0,0,2,1,40,1,passed
29115639,149,0,82,0,0,7,4,97,4,passed
30227283,2,0,0,0,0,1,1,3,1,passed
30283590,18,0,34,0,0,3,1,77,1,passed
30361564,18,0,34,0,0,3,1,78,1,passed
31445486,15,0,5,1,0,4,1,48,1,passed
31446681,0,0,0,0,0,2,1,6,1,failed
31448145,0,0,4,0,0,1,1,17,1,passed
31476494,15,0,9,1,0,4,1,51,1,passed
31778779,2,0,29,0,0,4,4,36,4,failed
31778850,0,0,1,0,0,1,1,14,1,passed
31778909,2,0,30,0,0,4,1,41,1,passed
31782026,0,0,0,5,0,1,4,3,4,passed
31783187,0,0,0,1,0,0,1,0,1,passed
31784150,0,0,0,6,0,1,1,8,1,passed
31784473,17,0,13,0,0,6,2,62,2,passed
31868014,17,0,13,0,0,6,1,64,1,passed
31869198,80,0,5,1,1,3,3,48,3,passed
38144232,58,0,48,1,0,331,6,70,6,passed
38157902,12,0,0,0,0,300,1,58,1,passed
38508375,0,0,0,0,0,1,1,5,1,passed
38826787,0,0,0,0,0,1,1,6,1,passed
40212308,0,0,0,2,0,0,1,0,1,failed
40226018,0,0,0,2,0,1,1,14,1,passed
43803797,0,0,0,1,0,1,1,14,1,passed
43885427,20,0,12,0,0,3,1,61,1,passed
48415424,2,0,2,0,0,2,1,46,1,passed
52503891,0,0,0,1,0,1,1,15,1,passed
60372253,0,0,0,0,0,0,1,0,1,passed
70104859,3,0,0,0,0,1,1,1,1,passed
71802576,3,0,0,0,0,1,1,2,1,passed
72002028,6,0,0,0,0,1,1,4,1,passed
73935162,2,0,0,0,0,1,1,15,1,passed
73963360,2,0,0,0,0,1,1,16,1,passed
83681846,0,0,0,0,0,1,1,18,1,passed
91059067,0,0,0,0,0,1,1,20,1,passed
111940561,0,0,0,0,0,1,1,9,1,passed
111940859,0,0,0,0,0,1,1,22,1,passed
