tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
1659222,10,0,0,3,1,7,3,148,3,passed
1659327,0,0,0,0,0,1,1,1,1,passed
1675443,0,0,0,0,0,1,1,145,1,passed
1676154,0,0,0,0,0,1,1,2,1,passed
1712178,0,0,0,0,0,3,1,136,1,passed
1722600,13,0,0,0,0,2,1,11,1,passed
1795680,0,0,0,0,0,1,1,25,1,passed
1878364,76,0,32,0,0,5,1,162,1,passed
2013346,16,0,0,3,1,3,1,26,1,failed
2015352,16,0,0,3,1,3,1,26,1,passed
2036888,2,0,0,42,0,6,1,256,1,failed
2038578,2,0,0,42,0,6,1,256,1,failed
2038594,2,0,0,42,0,6,1,256,1,passed
2121889,2,0,0,0,0,5,1,150,1,passed
2122336,0,0,0,0,0,1,1,28,1,passed
2132533,0,0,0,0,0,1,1,29,1,passed
2411660,0,0,0,0,0,2,1,170,1,passed
2428530,6,0,0,0,0,1,1,2,1,passed
2486836,25,1,0,0,0,1,1,19,1,passed
2641738,0,0,0,0,0,6,1,41,1,passed
2662337,32,0,0,0,0,1,1,5,1,passed
2977194,59,0,143,1,0,10,2,176,2,passed
2978214,69,0,61,0,0,10,1,171,1,passed
2978646,9,0,6,0,0,3,1,12,1,passed
3013675,42,0,0,0,0,13,1,171,1,passed
3056623,1,0,61,1,0,1,1,18,1,passed
3056877,0,0,37,0,0,1,1,2,1,passed
3057068,0,0,43,0,0,1,1,3,1,passed
3057182,9,0,45,0,0,3,1,160,1,passed
3058166,14,0,140,0,1,4,1,164,1,passed
3059445,282,0,16,0,0,3,1,162,1,passed
3060035,25,0,13,0,0,2,1,9,1,passed
3060224,9,0,2,1,1,2,1,8,1,passed
3393199,8,0,0,0,0,1,1,9,1,passed
3394109,13,0,0,0,0,2,1,22,1,passed
3394131,10,0,0,0,0,2,1,23,1,passed
