tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
619804,43,0,0,3,0,6,1,27,1,passed
713815,2,0,0,0,0,1,1,7,1,passed
713820,6,0,26,0,0,2,1,19,1,passed
713825,4,0,0,0,0,2,1,2,1,passed
713875,126,0,0,0,0,5,1,43,1,failed
714001,6,0,63,0,0,4,1,35,1,passed
715571,2,0,0,0,0,2,1,22,1,failed
715767,0,0,0,0,0,1,1,4,1,passed
726852,8,0,0,0,0,1,1,11,1,passed
726857,4,0,0,0,0,1,1,4,1,passed
726891,2,0,0,1,0,2,1,16,1,passed
733842,2,0,0,0,0,2,1,18,1,passed
733870,2,0,0,0,0,2,1,19,1,passed
733988,145,0,0,2,2,6,2,22,2,passed
735342,48,0,78,0,0,5,2,35,2,failed
735720,38,0,69,0,0,2,1,24,1,failed
735870,0,0,11,1,0,2,1,10,1,passed
862415,4,0,0,0,0,1,1,5,1,passed
4942014,4,0,5,0,0,3,1,40,1,failed
4942237,78,0,0,0,0,1,1,15,1,failed
4942315,0,0,0,0,0,1,1,5,1,failed
4942378,8,0,0,0,0,1,1,7,1,failed
4942418,1,0,0,0,0,1,1,8,1,failed
4943902,23,0,31,0,0,7,1,58,1,failed
4951943,0,0,0,0,0,1,1,6,1,passed
4951959,10,0,34,0,0,3,2,42,2,failed
4958238,243,0,224,0,0,17,2,123,2,passed
4958552,5,0,75,0,0,2,1,30,1,passed
4959681,16,0,2,0,0,3,2,34,2,passed
4976624,0,0,4,0,0,1,1,24,1,passed
5568579,10,0,34,0,0,3,1,50,1,passed
5568711,2,0,2,0,0,2,1,35,1,passed
5568747,10,0,0,0,0,1,1,6,1,passed
5575706,19,0,26,0,0,3,1,53,1,passed
5575768,19,0,26,0,0,3,1,54,1,passed
5575791,5,0,0,0,0,1,1,7,1,passed
6615168,2,0,2,0,0,2,2,38,2,passed
7308561,2,0,2,0,0,2,1,40,1,passed
7308843,136,0,0,0,0,5,1,56,1,passed
7309700,54,0,4,4,1,6,1,41,1,failed
7326929,20,0,0,0,0,2,1,27,1,failed
7332677,145,0,50,2,0,13,1,92,1,failed
7333008,1,0,0,4,4,2,1,21,1,failed
7337899,2,0,0,0,0,6,1,35,1,failed
7338510,0,0,0,0,0,4,1,3,1,failed
7338698,2,0,0,0,0,6,1,33,1,failed
7338929,2,0,0,0,0,1,1,28,1,failed
7339296,38,0,16,0,0,2,1,19,1,passed
7339501,2,0,51,0,0,3,1,30,1,passed
7339654,3,0,0,0,0,2,1,22,1,passed
7340330,44,0,0,0,0,3,1,33,1,passed
7534106,11,0,4,0,0,4,1,64,1,passed
7578911,3,0,0,0,0,1,1,26,1,passed
7581114,8,0,0,0,0,3,1,64,1,failed
7581727,0,0,2,0,0,1,1,38,1,passed
7821659,157,0,85,0,2,11,4,131,4,failed
7822172,50,0,32,0,0,2,2,63,2,failed
