tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
26979602,19732,0,8288,271,0,1,2,0,2,passed
26982271,0,0,0,0,0,1,1,1,1,failed
26987344,0,0,0,0,0,1,1,2,1,failed
26993508,0,0,785,0,0,29,1,1,1,passed
26993934,0,0,791,0,0,31,1,5,1,passed
27023708,31,0,0,1,0,1,1,2,1,failed
27025938,0,0,2,0,0,1,1,3,1,passed
27045869,2,0,4,0,0,2,1,4,1,passed
27266118,316,0,64,2,0,5,3,1,3,passed
27318833,316,0,64,2,0,5,1,4,1,passed
27335206,0,0,0,0,0,2,1,6,1,passed
27343026,0,0,0,0,0,2,1,7,1,passed
27436246,55,0,0,0,0,1,2,1,2,passed
27459196,121,0,162,1,0,7,4,1,4,failed
27483771,55,0,0,0,0,1,1,3,1,passed
27502419,0,0,54,0,0,3,1,5,1,failed
27531187,0,0,65,0,0,1,1,2,1,passed
27536583,0,0,0,0,0,1,1,6,1,passed
27537542,2,0,0,0,0,1,1,4,1,passed
27537639,3,0,0,0,0,1,1,2,1,passed
27644910,0,0,0,0,0,1,1,7,1,passed
27647774,3,0,0,0,0,1,1,3,1,passed
27700669,27,0,120,0,0,3,1,6,1,failed
27708063,16,0,9,0,0,3,2,3,2,passed
27710375,160,0,344,1,0,10,1,13,1,passed
27783344,0,0,0,0,0,1,1,5,1,passed
27792818,194,0,20,0,0,15,1,3,1,passed
27793381,66,0,4,0,0,12,1,4,1,passed
27887338,134,0,202,1,0,5,2,7,2,failed
27887378,141,0,202,3,0,9,2,16,2,passed
27912014,32,0,0,0,0,2,1,3,1,failed
27979733,1483,0,860,2,4,15,1,13,1,passed
27988137,329,0,9,1,0,10,1,13,1,failed
27994559,0,0,0,0,0,9,1,15,1,passed
28234259,21,0,1,0,0,8,1,11,1,passed
28249559,2,0,0,0,0,1,1,1,1,passed
28268806,550,0,2,0,3,3,1,13,1,passed
28271007,19,0,0,0,0,1,1,1,1,passed
28271013,2,0,0,0,0,1,1,3,1,passed
28271105,0,0,0,0,0,1,1,10,1,passed
28323026,0,0,0,0,0,1,1,11,1,passed
28323131,550,0,2,0,3,3,1,14,1,passed
28323229,19,0,0,0,0,1,1,2,1,passed
28323305,2,0,0,0,0,1,1,4,1,passed
28323475,0,0,0,0,0,1,1,14,1,passed
28333359,0,0,0,0,0,1,1,3,1,passed
28340146,0,0,0,0,0,1,1,4,1,passed
28374157,12,0,0,0,0,2,1,4,1,passed
28430008,0,0,0,0,0,9,1,23,1,passed
28433791,2,0,0,0,0,1,1,5,1,passed
28434302,0,0,0,0,0,2,1,1,1,passed
28440193,22,0,0,0,0,1,1,2,1,passed
28450975,2,0,0,0,0,1,1,6,1,failed
28451078,0,0,1,0,0,1,1,4,1,passed
28451096,59,0,0,0,0,1,1,4,1,passed
28452299,0,0,0,0,0,9,1,25,1,passed
28453406,0,0,0,0,0,2,1,2,1,passed
28457751,10,0,60,1,0,1,1,1,1,passed
28499442,10,0,60,1,0,1,1,2,1,failed
28499544,59,0,0,0,0,1,1,5,1,failed
28546640,298,0,187,0,0,11,14,39,14,failed
28550728,36,0,4,0,0,9,7,22,7,passed
28551443,8,0,0,0,0,2,1,1,1,passed
28614189,340,0,191,0,0,20,1,66,1,passed
28617738,18,0,0,0,0,4,1,10,1,passed
28617918,55,0,0,0,0,4,1,11,1,passed
28618374,0,0,0,0,0,3,1,21,1,failed
28620219,18,0,0,0,0,4,1,11,1,passed
28641644,0,0,0,0,0,3,1,22,1,failed
28642197,0,0,0,0,0,1,1,22,1,passed
28819922,18,0,0,0,0,1,1,8,1,passed
28895798,7,0,0,0,0,1,1,4,1,passed
28901426,7,0,0,0,0,1,1,5,1,passed
28901618,195,0,286,3,0,9,3,16,3,passed
28907592,195,0,284,3,0,9,1,19,1,failed
28917121,24,0,0,0,0,1,2,6,2,passed
28919066,11,0,0,0,0,1,1,3,1,passed
28967986,173,0,64,2,0,11,1,20,1,passed
28971438,22,0,0,0,0,1,1,9,1,failed
28971554,0,0,22,0,0,1,1,12,1,passed
28996286,8,0,0,0,0,1,1,3,1,passed
