tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
1046500,565,0,184,17,0,14,26,0,26,passed
1046619,16,0,86,0,0,4,1,17,1,passed
1046622,38,0,0,0,0,1,1,2,1,passed
1048962,51,0,54,0,0,5,7,19,7,passed
1049094,24,0,71,0,0,3,4,25,4,passed
1049109,2,0,0,0,0,1,1,1,1,passed
1049831,183,0,109,0,0,6,4,33,4,passed
1049923,25,0,0,0,0,2,1,6,1,passed
1050060,18,0,0,1,0,1,1,5,1,passed
1050138,2,0,0,0,0,1,1,6,1,passed
1050278,29,0,0,0,0,1,1,7,1,passed
1050291,8,0,0,0,0,1,2,8,2,passed
1050341,42,0,0,0,0,1,1,10,1,passed
1050475,49,0,0,0,0,1,1,11,1,passed
1050484,4,0,0,0,0,1,1,12,1,passed
1051183,17,0,0,0,0,1,2,12,2,passed
1051901,2,0,0,0,0,1,1,13,1,passed
1051956,6,0,0,0,0,1,1,14,1,passed
1062821,113,0,51,0,0,6,10,44,10,passed
1097805,177,0,1081,5,1,8,10,56,10,passed
1097826,3,0,0,0,0,1,1,19,1,passed
1098444,114,0,70,2,0,6,2,46,2,passed
1098461,1,0,0,0,0,1,1,21,1,passed
1098484,5,0,0,0,0,1,1,22,1,passed
1098505,2,0,0,0,0,1,1,23,1,passed
1098668,27,0,187,2,0,3,2,38,2,passed
1098706,6,0,8,0,0,3,2,44,2,passed
1108083,72,0,25,0,0,3,1,43,1,passed
1159212,514,0,150,1,0,16,8,81,8,failed
1159257,0,0,6,0,0,1,1,2,1,passed
1159260,2,0,0,0,0,1,1,7,1,passed
1161548,2,0,0,0,0,1,1,33,1,passed
1190624,0,0,100,0,0,6,1,16,1,passed
1190767,68,0,94,2,0,11,1,71,1,passed
1191245,11,0,0,1,0,1,1,11,1,passed
1198862,33,0,95,0,0,4,2,55,2,passed
1202742,28,0,0,0,0,1,1,12,1,passed
1210226,3,0,0,0,0,1,1,36,1,passed
1210763,43,0,54,0,0,3,2,58,2,passed
1210813,106,0,0,8,0,0,1,3,1,passed
1210944,12,0,0,0,0,1,1,38,1,passed
1211335,4,0,0,0,0,1,1,39,1,passed
1212656,82,0,60,0,0,5,1,68,1,passed
1213076,49,0,0,0,0,3,2,43,2,passed
1213100,3,0,0,0,0,1,1,42,1,passed
1213358,46,0,3,0,0,5,2,70,2,passed
1216057,46,0,0,0,0,1,1,45,1,passed
1222883,8,0,76,0,0,5,3,75,3,passed
1222968,10,0,18,0,0,7,1,62,1,passed
1223103,3,0,0,0,0,1,1,47,1,passed
1226352,4,0,45,0,0,4,2,44,2,passed
1226470,32,0,0,1,0,1,1,48,1,passed
1227335,1,0,0,0,0,1,1,49,1,passed
1232089,68,0,136,0,0,10,2,95,2,passed
1234684,22,0,0,0,0,1,1,1,1,passed
1235912,19,0,0,0,0,1,1,52,1,passed
1252462,75,0,0,0,0,4,2,83,2,passed
1252618,35,0,44,0,0,3,3,31,3,passed
1253630,13,0,39,0,0,2,3,21,3,passed
1272246,4,0,0,0,0,1,1,54,1,passed
1272278,26,0,0,0,0,1,1,13,1,passed
1286841,1,0,218,0,0,9,1,53,1,passed
1287759,20,0,0,1,0,4,2,63,2,passed
