tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
2076685,489,0,1027,22,0,42,64,348,64,failed
2086461,0,0,0,0,0,1,1,1,1,failed
2086567,0,0,0,0,0,1,1,2,1,failed
2086579,0,0,0,0,0,1,1,3,1,failed
2086603,0,0,0,0,0,1,1,4,1,failed
2086810,0,0,18,0,0,1,2,2,2,failed
2086938,0,0,6,0,0,1,1,8,1,failed
2091875,0,0,8,0,0,2,2,13,2,failed
2091905,0,0,0,0,0,1,1,5,1,failed
2091980,16,0,2,0,0,2,2,12,2,failed
2092023,0,0,34,0,0,3,2,21,2,failed
2092040,0,0,0,0,0,1,1,6,1,failed
2092430,0,0,1,0,0,1,1,6,1,passed
2100089,0,0,2,0,0,2,2,10,2,failed
2100398,0,0,41,0,0,2,3,15,3,failed
2100481,0,0,57,0,0,8,2,25,2,failed
2100543,0,0,6,0,0,1,1,5,1,failed
2392955,10,0,0,0,0,1,3,1,3,passed
2394209,10,0,0,0,0,1,1,4,1,passed
2394251,0,0,10,0,0,1,1,10,1,passed
2404990,2,0,0,0,0,1,1,21,1,failed
2407382,2,0,0,0,0,1,1,22,1,failed
2407411,8,0,0,0,0,2,2,28,2,failed
2536271,4,0,0,0,0,1,1,4,1,failed
2536274,2,0,0,0,0,1,1,28,1,failed
2604189,86,0,114,0,0,2,8,32,8,failed
2604334,0,0,11,0,0,1,1,8,1,failed
2606070,0,0,42,1,0,0,1,0,1,failed
2606177,73,0,12,0,0,2,3,41,3,passed
2607065,56,0,0,0,0,1,1,6,1,passed
2618871,7,0,0,0,0,1,1,7,1,failed
2622519,7,0,0,0,0,1,1,8,1,failed
2623044,60,0,0,0,0,1,5,9,5,passed
2763774,33,0,0,0,0,1,1,14,1,failed
4405996,5,0,0,0,0,4,2,72,2,failed
4407172,32,0,0,0,0,3,2,10,2,passed
5583296,51,0,0,1,0,3,1,7,1,failed
5584159,0,0,1,0,0,2,2,13,2,passed
5707902,123,0,0,0,0,3,2,5,2,passed
5708445,3,0,0,0,0,1,1,2,1,passed
5709468,12,0,0,0,0,1,1,3,1,failed
5709756,3,0,0,0,0,1,1,4,1,passed
5710778,48,0,0,0,0,1,1,1,1,failed
5710815,6,0,0,2,0,1,2,0,2,failed
5713986,15,0,0,0,0,2,1,2,1,passed
5714236,305,0,0,2,0,2,1,8,1,failed
5714455,0,0,0,0,0,1,1,10,1,passed
5753144,3892,0,33,0,18,7,4,157,4,passed
5753299,17,0,0,0,0,1,1,4,1,passed
5753332,1,0,0,0,0,1,1,5,1,passed
5769778,3,0,0,0,0,1,1,3,1,passed
5803070,2,0,0,0,0,1,1,79,1,passed
5886764,8,0,0,0,0,1,1,8,1,passed
5899678,8,0,0,0,0,4,2,176,2,passed
6038189,58,0,0,0,0,4,1,20,1,passed
6050932,72,0,0,0,0,3,4,25,4,passed
6121266,2,0,0,0,0,1,1,11,1,passed
6377424,25,0,0,0,0,3,4,29,4,passed
6400430,1,0,0,0,0,1,1,9,1,passed
6655109,7,0,0,0,0,2,1,38,1,passed
6655901,1,0,0,0,0,1,1,11,1,passed
6661589,6,0,0,0,0,2,1,40,1,passed
