tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
18615097,10,0,0,0,0,2,2,8,2,passed
18619104,23,0,18,0,0,4,1,14,1,passed
19772094,44,0,18,1,0,4,1,46,1,passed
19839363,2,0,0,0,0,1,1,15,1,passed
20250855,6,0,0,0,0,1,1,10,1,passed
20666089,6,0,0,0,0,1,1,11,1,passed
21957469,61,0,60,1,0,5,1,93,1,passed
23146813,706,0,432,7,0,7,18,97,18,passed
23644486,21,0,78,1,0,8,4,137,4,passed
23696285,2,0,0,0,0,1,1,12,1,passed
23700229,401,0,320,8,0,7,1,142,1,passed
23716338,2,0,0,0,0,1,1,36,1,passed
23716832,2,0,0,0,0,1,1,37,1,failed
23951418,22,0,0,0,0,1,1,3,1,passed
24034254,32,0,0,0,0,2,1,42,1,passed
24037143,23,0,0,0,0,4,2,32,2,failed
24037498,2,0,0,0,0,1,1,5,1,passed
24066817,23,0,0,0,0,1,1,43,1,passed
24069878,100,0,0,0,0,2,5,48,5,passed
24070492,34,0,10,0,0,5,4,35,4,passed
24209754,0,0,0,0,0,1,1,5,1,passed
24210092,0,0,0,0,0,1,1,6,1,passed
24210139,4,0,0,0,0,1,1,7,1,passed
24211202,48,0,0,0,0,5,1,46,1,passed
24288723,3,0,0,0,0,1,1,9,1,passed
24289879,4,0,0,0,0,1,1,9,1,passed
24290461,3,0,0,0,0,1,1,10,1,passed
24291313,4,0,0,0,0,1,1,12,1,passed
24291820,3,0,0,0,0,1,1,92,1,passed
24306079,3,0,0,0,0,1,1,93,1,passed
25096564,24,0,0,0,0,3,1,60,1,passed
25099906,2,0,0,0,0,1,1,17,1,passed
25105070,38,0,0,1,0,1,1,52,1,passed
25462212,0,0,0,0,0,1,1,10,1,passed
25531015,0,0,0,0,0,1,1,11,1,passed
25623041,13,0,0,0,0,1,1,53,1,passed
25630837,13,0,0,0,0,1,1,54,1,passed
25641800,3,0,0,0,0,1,1,53,1,passed
25719720,3,0,0,0,0,1,1,56,1,passed
25731099,20,0,0,0,0,1,2,57,2,passed
25762627,4,0,0,0,0,1,1,59,1,passed
26179961,3,0,0,0,0,1,1,60,1,passed
26180768,3,0,0,0,0,1,1,61,1,passed
28268406,3,0,0,0,0,1,1,62,1,passed
28268439,3,0,0,0,0,1,1,63,1,passed
28528112,55,0,78,2,0,5,1,121,1,passed
28545928,55,0,78,2,0,5,1,122,1,passed
29370478,9,0,0,0,0,1,1,66,1,passed
29701510,2,0,16,0,0,3,2,32,2,failed
29866540,2,0,34,0,0,3,2,53,2,passed
37004068,39,0,0,0,0,2,1,16,1,failed
37251265,39,0,11,0,0,7,1,48,1,passed
37251312,7,0,0,0,0,1,1,67,1,passed
37304265,59,0,115,0,0,7,5,141,5,passed
37541969,43,0,107,0,0,7,1,146,1,passed
37633158,205,0,283,2,0,3,1,96,1,passed
38644668,2,0,0,0,0,1,1,18,1,passed
38645844,2,0,0,0,0,1,1,19,1,passed
40852712,0,0,0,0,0,1,1,9,1,passed
40855274,2,0,0,0,0,1,1,74,1,passed
41301275,30,0,41,0,0,3,1,66,1,passed
41936108,2,0,0,0,0,1,1,24,1,passed
42736641,3,0,0,0,0,1,1,75,1,passed
42789415,3,0,0,0,0,1,1,76,1,passed
43030084,88,0,139,3,0,5,1,139,1,passed
43598860,2,0,0,0,0,1,1,20,1,passed
43884117,14,0,32,0,0,2,1,4,1,passed
44179756,2,0,0,0,0,1,1,21,1,passed
44186696,14,0,32,0,0,2,1,5,1,passed
44186860,16,0,30,0,0,3,1,25,1,passed
44186935,9,0,0,0,0,1,1,27,1,passed
44187131,1,0,0,0,0,1,1,79,1,passed
44189061,7,0,0,0,0,1,1,61,1,passed
44239837,7,0,0,0,0,1,1,62,1,passed
44242262,8,0,0,0,0,1,1,63,1,passed
44243596,8,0,0,0,0,1,1,64,1,passed
44857231,16,0,30,0,0,3,1,26,1,passed
44997155,687,2,4,11,0,7,4,228,4,passed
45585795,708,0,528,10,5,25,9,236,9,passed
46462166,124,0,0,0,0,2,2,94,2,passed
47154457,609,0,528,16,0,9,1,244,1,passed
47162092,39,0,0,0,0,2,1,21,1,passed
47172452,2,0,18,0,0,4,1,12,1,passed
47301603,21,0,34,1,0,1,1,11,1,passed
47564536,21,0,34,1,0,1,1,12,1,passed
47615253,39,0,0,0,0,2,1,22,1,passed
49558772,4,0,0,0,0,2,2,93,2,passed
50516255,2,0,0,0,0,1,1,84,1,passed
50554307,2,0,0,0,0,1,1,85,1,passed
51784901,23,0,3,2,0,3,1,57,1,passed
52817152,15,1,0,0,0,3,1,159,1,passed
52979749,7,0,0,0,0,1,2,73,2,passed
52990813,14,0,1,2,0,4,1,129,1,passed
56272455,35,0,4,4,0,4,1,137,1,passed
56273584,15,0,0,0,0,3,1,163,1,passed
56274092,3,0,0,0,0,1,1,77,1,passed
56276204,2,0,0,0,0,1,1,10,1,passed
56276890,2,0,0,0,0,1,1,34,1,passed
56278975,2,0,0,0,0,1,1,36,1,passed
56280020,20,0,0,0,0,3,1,172,1,passed
56322634,28,0,0,0,0,2,1,25,1,passed
56608796,1,0,0,0,0,1,1,93,1,passed
58663537,2,0,0,0,0,1,1,39,1,passed
61234850,9,0,0,0,0,1,2,94,2,passed
67653863,1,0,0,0,0,1,1,96,1,passed
72158881,0,0,0,0,0,1,1,12,1,passed
73309766,10,0,0,0,0,1,1,97,1,passed
75355091,0,0,0,0,0,1,1,13,1,passed
75436885,24,0,4,0,0,4,1,113,1,passed
77056088,2,0,0,0,0,1,1,23,1,passed
87120697,2,0,0,0,0,1,1,98,1,passed
87187111,2,0,0,0,0,1,1,99,1,passed
91013264,0,0,0,0,0,1,1,4,1,passed
