tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
5404062,2,0,0,0,0,1,1,21,1,passed
5411408,1,0,0,0,0,1,1,22,1,passed
5447055,0,0,23,0,0,4,2,7,2,passed
5448896,2,0,42,0,0,6,1,10,1,passed
5449064,4,0,0,0,0,1,1,9,1,passed
5449699,3,0,4,0,0,2,1,13,1,passed
5461754,2,0,0,0,0,1,1,14,1,passed
5479030,4,0,34,0,0,2,2,16,2,passed
5479284,6,0,38,0,0,2,1,18,1,passed
5528429,8,0,0,0,0,1,1,23,1,passed
5553681,8,0,0,0,0,1,1,24,1,passed
5573306,2,0,0,0,0,1,1,25,1,passed
5614575,136,0,0,0,0,1,1,18,1,passed
5615143,6,0,0,0,0,1,1,19,1,passed
5662895,69,0,0,0,0,1,1,20,1,passed
5662947,163,0,0,0,0,1,1,21,1,passed
5672588,0,0,50,0,0,2,1,6,1,passed
5700484,2,0,0,0,0,1,1,26,1,passed
5702013,0,0,48,0,0,2,1,7,1,failed
5705688,2,0,0,0,0,1,1,4,1,passed
5705701,3,0,48,0,0,3,1,11,1,passed
5707259,98,0,115,1,0,4,10,28,10,passed
5718760,8,0,12,0,0,2,1,32,1,passed
5734157,23,0,36,0,0,2,1,33,1,passed
5734280,0,0,22,1,0,1,1,7,1,passed
5734312,0,0,8,0,0,1,1,8,1,passed
5734402,13,0,0,0,0,1,1,32,1,passed
5747568,0,0,1,0,0,1,1,9,1,passed
5817309,2,0,0,0,0,1,1,33,1,passed
5819109,50,0,94,2,0,2,1,41,1,passed
5859004,58,0,107,1,0,4,3,36,3,passed
5965808,14,0,0,0,0,3,1,42,1,passed
5967135,0,0,11,0,0,3,1,12,1,passed
5967409,64,0,107,1,0,3,1,44,1,passed
6061830,0,0,11,0,0,3,1,13,1,passed
6090337,2,0,0,0,0,1,1,27,1,passed
6090421,2,0,0,0,0,1,1,28,1,passed
6164823,2,0,0,0,0,2,1,3,1,passed
6220114,3,0,0,0,0,1,1,38,1,passed
6347007,2,0,0,0,0,2,1,3,1,passed
6487590,8,0,0,0,0,1,1,29,1,passed
6615323,29,0,10,0,0,3,1,41,1,passed
6769403,1247,0,0,4,0,1,1,38,1,passed
6771077,1247,0,0,4,0,1,1,39,1,passed
6797194,6,0,88,0,0,3,1,22,1,passed
6862793,6,0,0,0,0,1,1,5,1,passed
7002399,11,0,15,0,0,3,1,45,1,passed
7023145,11,0,15,0,0,3,1,46,1,passed
7024701,13,0,377,1,0,3,2,15,2,passed
7029254,0,0,4,0,0,1,1,13,1,passed
7033141,125,0,322,1,0,9,1,33,1,passed
7060176,2,0,10,0,0,2,2,20,2,passed
7069719,2,0,10,0,0,2,1,22,1,passed
7137966,31,0,15,0,0,2,1,11,1,passed
7205123,4,0,0,0,0,1,1,5,1,passed
7280468,10,0,23,0,0,4,2,59,2,passed
7307198,2,0,0,0,0,1,1,11,1,passed
7308540,2,0,0,0,0,1,1,11,1,passed
7312149,2,0,0,0,0,1,1,12,1,passed
7314647,33,0,22,0,0,2,7,3,7,passed
7323491,10,0,23,0,0,4,1,63,1,passed
7327442,2,0,0,0,0,1,1,16,1,passed
7396082,1,0,0,0,0,1,1,17,1,failed
7412147,2,0,0,0,0,1,1,10,1,failed
7445149,4,0,0,0,0,1,1,6,1,failed
7447122,341,0,104,4,0,6,8,23,8,failed
7522105,90,0,0,1,0,3,1,7,1,failed
7522155,3,0,0,0,0,1,1,1,1,failed
7547850,26,0,12,0,0,2,1,12,1,failed
7547917,26,0,12,0,0,2,1,13,1,failed
7563254,4,0,0,0,0,2,1,7,1,failed
7563340,242,0,86,5,0,3,1,34,1,failed
7578086,2,0,0,0,0,1,1,18,1,failed
7604230,2,0,0,0,0,1,1,19,1,failed
7615870,4,0,0,0,0,1,1,9,1,failed
7635841,35,0,36,0,0,5,1,71,1,failed
7640136,0,0,6,0,0,1,1,1,1,failed
7655205,4,0,0,0,0,1,1,11,1,failed
7736109,25,0,22,0,0,2,1,10,1,failed
7772568,16,0,0,0,0,1,1,45,1,failed
7772884,16,0,0,0,0,1,1,46,1,failed
7777204,6,0,0,0,0,1,1,12,1,failed
7779714,13,0,12,0,0,3,1,33,1,failed
7780029,8,0,0,0,0,1,1,13,1,failed
7780512,48,0,15,0,0,3,1,69,1,failed
7781836,12,0,29,0,0,2,1,16,1,failed
7782464,12,0,29,0,0,2,1,17,1,failed
7783454,2,0,0,0,0,1,1,50,1,failed
7784136,2,0,13,0,0,2,1,17,1,failed
7784149,13,0,19,0,0,3,1,35,1,failed
7823703,1,0,0,0,0,1,1,15,1,passed
7826476,0,0,1,0,0,1,1,8,1,passed
7826507,1,0,1,0,0,2,1,23,1,passed
7951622,27,0,16,0,0,4,1,28,1,passed
7957831,4,0,4,0,0,2,1,18,1,passed
7957954,4,0,4,0,0,2,1,19,1,passed
7958260,4,0,4,0,0,2,1,20,1,passed
7961723,2,0,0,0,0,2,1,4,1,passed
7999603,36,0,0,0,0,2,1,68,1,passed
8049408,37,0,0,0,0,1,3,18,3,passed
