tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
7335816,158,0,0,2,0,14,5,117,5,failed
7520692,4,0,0,0,0,2,2,33,2,failed
7608681,33,0,15,12,0,5,1,103,1,failed
9332404,25,0,0,0,0,1,1,35,1,failed
9596882,0,0,8,0,0,1,1,16,1,failed
9622461,11,0,0,2,0,3,3,42,3,failed
9652361,2,0,0,0,0,1,1,27,1,passed
9652935,2,0,0,0,0,1,1,28,1,passed
9829667,0,0,0,0,0,1,1,22,1,passed
9836048,0,0,0,0,0,1,1,22,1,passed
10400804,6,0,0,0,0,3,5,64,5,passed
14807413,0,0,0,0,0,1,1,5,1,passed
14962984,286,0,306,6,0,4,1,81,1,passed
15081950,255,0,73,4,1,3,1,91,1,passed
15096811,0,0,4,0,0,1,1,6,1,passed
15108441,0,0,0,0,0,1,1,6,1,passed
15108505,2,0,0,0,0,1,1,31,1,passed
15110137,42,0,73,0,0,6,1,71,1,passed
15370646,17,0,0,0,0,1,1,8,1,passed
15486325,59,0,55,1,0,3,1,101,1,passed
15493864,339,0,79,1,0,8,2,137,2,passed
15494523,5,0,0,0,0,1,1,65,1,passed
15960321,2,0,0,0,0,1,1,35,1,passed
16033698,12,0,0,0,0,1,1,21,1,passed
17427095,0,0,0,0,0,1,1,36,1,passed
17443946,2,0,4,0,0,2,1,85,1,passed
17443994,2,0,0,0,0,3,1,69,1,passed
17447839,0,0,0,0,0,1,1,38,1,passed
17604281,4,0,6,0,0,2,1,86,1,passed
17604587,2,0,0,0,0,1,1,37,1,passed
17871657,0,0,0,0,0,1,1,40,1,passed
17951854,23,0,0,1,0,5,2,150,2,passed
18039392,6,0,0,0,0,2,2,3,2,passed
18070316,0,0,0,0,0,1,1,41,1,passed
18165187,8,0,0,0,0,1,2,2,2,passed
18309133,6,0,0,0,0,1,1,4,1,passed
18900316,6,0,0,0,0,1,1,4,1,passed
18971519,10,0,4,0,0,4,1,75,1,passed
18973321,20,0,0,2,0,6,1,176,1,passed
18973560,2,0,0,0,0,1,1,42,1,passed
19066223,0,0,0,0,0,1,1,53,1,passed
19067320,0,0,0,0,0,1,1,35,1,passed
19294706,2,0,0,0,0,1,1,43,1,passed
19860533,9,0,8,0,0,3,2,52,2,passed
19925288,0,0,0,0,0,1,1,13,1,passed
19932754,2,0,0,0,0,1,1,45,1,passed
20113276,0,0,0,0,0,1,1,55,1,passed
20440903,16,0,0,0,0,1,1,14,1,passed
20441740,2,0,0,0,0,1,1,46,1,passed
20566894,0,0,3,0,0,1,1,37,1,passed
20731734,0,0,42,0,0,1,1,40,1,passed
21061035,0,0,12,0,0,1,1,42,1,passed
22383914,36,0,21,1,0,3,1,117,1,passed
22387931,2,0,0,0,0,1,1,47,1,passed
22479154,6,0,0,0,0,2,1,51,1,passed
