tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
13212145,83,0,16,13,0,4,5,0,5,failed
13212647,19,0,0,0,0,2,2,2,2,passed
13219151,52,0,30,1,0,5,1,2,1,passed
13224211,18,0,28,0,0,2,1,2,1,failed
13228727,2,0,0,0,0,1,1,2,1,failed
13284269,37,0,0,0,1,1,1,3,1,failed
13670475,10,0,10,0,0,3,3,6,3,failed
13681403,123,0,4,0,0,3,4,9,4,failed
13684998,2,0,0,0,0,1,1,3,1,failed
13738092,35,0,20,0,0,2,1,10,1,failed
13738230,2,0,0,0,0,1,1,4,1,failed
13842446,6,0,5,0,0,3,1,14,1,failed
13865640,15,0,34,0,0,3,2,16,2,failed
13867697,29,0,29,0,0,3,1,14,1,failed
13868204,2,0,0,0,0,2,1,4,1,failed
13869674,51,0,0,0,0,1,1,5,1,failed
13874121,4,0,2,0,0,3,2,17,2,failed
13890898,50,0,0,1,0,2,3,7,3,failed
13932461,6,0,0,0,0,2,1,17,1,failed
13934540,0,0,0,0,0,1,1,2,1,passed
13939023,18,0,11,0,0,3,1,23,1,failed
13939095,2,0,0,0,0,1,1,7,1,failed
13950746,156,3,32,4,0,3,5,19,5,failed
13979907,16,0,10,0,0,3,1,27,1,failed
14159372,4,0,2,0,0,3,1,28,1,failed
14380326,0,0,0,0,0,1,1,4,1,failed
14381125,2,0,10,0,0,2,1,31,1,passed
14382049,2,0,0,0,0,1,1,10,1,passed
14383639,10,0,0,0,0,1,1,11,1,passed
14430984,17,0,11,0,0,3,1,41,1,passed
14487110,6,0,0,0,0,1,1,31,1,passed
14501720,6,0,0,0,0,1,1,32,1,passed
14998728,6,0,0,0,0,1,1,1,1,passed
14998845,2,0,0,0,0,1,1,34,1,passed
15000630,8,0,19,0,0,3,1,39,1,passed
15046856,2,0,2,0,0,2,1,40,1,passed
15248655,2,0,69,0,0,2,1,41,1,passed
15349875,2,0,0,0,0,1,1,11,1,passed
15372123,3,0,15,0,0,2,1,42,1,passed
15426304,3,0,15,0,0,2,1,42,1,passed
15903072,3,0,15,0,0,2,1,43,1,passed
16924951,2,0,0,0,0,1,1,43,1,passed
17013189,6,0,0,0,0,1,1,46,1,passed
17569899,68,0,66,2,0,4,1,54,1,failed
17661699,68,0,66,2,0,4,1,56,1,failed
17720717,21,0,26,0,0,3,2,33,2,passed
18210158,57,0,60,0,0,3,1,61,1,failed
18210450,2,0,0,0,0,1,1,15,1,failed
18303358,21,0,22,0,0,2,1,3,1,passed
18306803,2,0,0,0,0,1,1,16,1,passed
18690279,2,0,0,0,0,1,1,15,1,passed
18907712,2,0,0,0,0,1,1,16,1,passed
18907740,0,0,29,1,0,0,1,0,1,passed
18907854,0,0,29,1,0,0,1,0,1,passed
19652642,4,0,4,0,0,2,1,54,1,passed
19654894,4,0,4,0,0,2,1,55,1,passed
20187217,14,0,11,0,0,3,1,65,1,passed
20218808,14,0,11,0,0,3,1,66,1,passed
20680536,4,0,0,0,0,1,1,18,1,passed
20689424,4,0,0,0,0,1,1,19,1,passed
20689476,0,0,29,1,0,0,1,1,1,passed
20691338,14,0,12,0,0,3,4,69,4,passed
21279645,128,0,37,0,0,5,5,75,5,passed
21280120,44,0,0,0,1,0,1,4,1,passed
21453278,16,0,0,0,0,1,1,20,1,passed
22031264,27,0,0,0,0,2,1,62,1,failed
22160952,27,0,0,0,0,2,1,63,1,failed
22161092,8,0,0,0,0,2,1,64,1,failed
22161363,2,0,0,0,0,1,1,7,1,failed
22161442,1,0,0,0,0,1,1,8,1,passed
22162695,8,0,0,0,0,1,1,3,1,passed
22493127,19,0,21,0,0,3,1,69,1,passed
22496001,19,0,21,0,0,3,1,70,1,passed
22531147,2,0,26,1,0,1,1,7,1,passed
22532403,2,0,26,1,0,1,1,8,1,passed
22532501,2,0,0,0,0,1,1,20,1,passed
22532931,18,0,31,0,0,4,1,71,1,passed
22561319,18,0,31,0,0,4,1,74,1,passed
22580707,2,0,0,0,0,1,1,21,1,passed
22620245,32,0,36,0,0,4,1,75,1,failed
22632236,32,0,36,0,0,4,1,76,1,failed
22632613,2,0,4,0,0,2,2,64,2,failed
22639107,2,0,4,0,0,2,1,27,1,passed
22698508,4,0,4,0,0,2,1,74,1,passed
22721943,4,0,0,0,0,2,2,88,2,passed
22917886,2,0,0,0,0,1,1,22,1,passed
24112799,44,0,0,0,0,1,1,71,1,failed
24272925,8,0,13,0,0,2,1,76,1,failed
24473332,44,0,11,0,0,3,1,86,1,passed
24473850,8,0,13,0,0,2,1,81,1,passed
24574617,2,0,0,0,0,1,1,25,1,passed
24606099,23,0,48,0,0,2,1,82,1,passed
25070466,14,0,22,0,0,2,1,82,1,passed
25081641,14,0,22,0,0,2,1,83,1,passed
25281417,4,0,10,0,0,2,1,84,1,passed
25337268,4,0,10,0,0,2,1,85,1,passed
26589575,53,0,37,0,0,3,3,100,3,failed
26598773,2,0,0,0,0,1,1,4,1,failed
26979604,51,0,37,0,0,3,1,103,1,failed
26980051,21,0,0,0,0,2,1,100,1,failed
26980938,0,0,8,0,0,2,1,63,1,passed
34772182,8,0,10,0,0,4,3,112,3,failed
35621635,17,0,0,0,0,2,2,105,2,failed
37597280,7,0,16,0,0,3,2,33,2,passed
37646534,12,0,0,0,0,2,2,38,2,passed
38163857,28,0,29,0,0,3,2,111,2,passed
38183090,26,0,29,0,0,2,1,93,1,passed
38915049,43,0,65,2,0,4,1,113,1,passed
39981436,4,0,2,0,0,2,1,94,1,passed
43008636,4,0,14,0,0,2,1,95,1,failed
43009933,0,0,2,0,0,1,1,65,1,passed
44137580,2,0,12,0,0,2,1,95,1,failed
49397065,91,0,141,0,0,2,2,95,2,passed
51555365,43,0,65,2,0,4,1,115,1,passed
51555589,10,0,0,0,0,1,1,14,1,passed
51592296,4,0,14,0,0,2,1,99,1,passed
52078653,2,0,0,0,0,1,1,31,1,passed
