tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
2413248,160,0,140,2,0,13,4,46,4,failed
9615005,285,0,276,8,0,18,3,117,3,passed
9640930,631,0,664,13,3,22,8,78,8,passed
9643720,6,0,13,0,0,2,1,34,1,passed
9667441,161,0,0,0,1,6,1,43,1,passed
9670748,210,0,0,2,0,1,1,27,1,passed
9671213,0,0,0,0,0,1,1,66,1,passed
9671220,0,0,0,0,0,1,1,67,1,passed
9697652,85,0,1,2,0,4,1,33,1,passed
9746977,85,0,1,2,0,4,1,33,1,passed
9748121,84,0,21,0,0,6,1,39,1,passed
9752019,0,0,0,33,0,1,1,2,1,passed
10733209,4,0,0,0,0,1,1,23,1,passed
10733243,2,0,0,0,0,1,1,24,1,passed
11612312,5,0,0,0,0,1,1,25,1,passed
12047411,79,0,25,0,0,10,1,41,1,passed
12387333,79,0,25,0,0,10,1,42,1,passed
12413305,2,0,6,0,0,2,1,16,1,passed
12423538,2,0,6,0,0,2,1,17,1,passed
13010079,113,0,0,2,0,1,1,3,1,passed
13010531,0,0,0,0,0,1,1,68,1,passed
13010560,0,0,0,0,0,1,1,69,1,passed
13059719,8,0,0,0,0,1,1,26,1,passed
15084666,3,0,0,0,0,1,1,27,1,passed
15543861,8,0,0,0,0,1,1,28,1,passed
15544234,2,0,0,0,0,1,1,29,1,passed
15544365,2,0,0,0,0,1,1,30,1,passed
15544476,2,0,0,0,0,1,1,31,1,passed
18373341,0,0,18,0,0,1,1,2,1,passed
18496740,11,0,21,0,0,2,1,34,1,passed
18496899,0,0,0,0,0,1,1,74,1,passed
18841916,0,0,0,0,0,1,1,75,1,passed
18894600,0,0,0,0,0,1,1,77,1,passed
18895155,0,0,0,0,0,1,1,78,1,passed
19888345,1084,0,882,1,2,57,6,35,6,passed
20248204,169,0,0,1,0,1,1,2,1,passed
20372922,123,0,115,0,0,5,1,9,1,passed
20373835,41,0,54,0,0,9,1,25,1,passed
20408243,8,0,0,0,0,1,1,33,1,passed
20408480,7,0,0,0,0,1,1,34,1,passed
20408602,2,0,0,0,0,1,1,35,1,passed
21721509,1795,0,693,6,0,48,2,59,2,passed
21874852,2,0,0,0,0,1,1,36,1,passed
22337633,4,0,0,0,0,1,1,37,1,passed
22361323,6,0,0,0,0,1,1,38,1,passed
22361355,2,0,0,0,0,1,1,1,1,passed
22393819,392,0,12,1,0,14,1,49,1,passed
22648561,3763,0,1035,10,11,76,5,89,5,passed
24392229,3498,0,1198,13,50,103,10,69,10,passed
24406071,531,0,432,3,3,8,2,92,2,passed
24572549,462,0,180,0,1,23,2,50,2,passed
24575560,131,0,149,1,1,0,1,3,1,passed
24665028,191,0,0,0,0,5,1,7,1,passed
24836131,534,0,22,3,0,15,2,15,2,passed
24935976,6,0,0,0,0,1,1,1,1,passed
24936972,0,0,0,0,0,1,1,82,1,passed
24937389,0,0,0,0,0,1,1,83,1,passed
24937579,0,0,0,0,0,1,1,84,1,passed
24937670,0,0,0,0,0,1,1,85,1,passed
24937677,0,0,0,0,0,1,1,86,1,passed
25958226,79,0,0,0,0,4,1,96,1,passed
27722973,6,0,0,0,0,1,1,39,1,passed
27723011,4,0,0,0,0,1,1,40,1,passed
27723379,4,0,0,0,0,1,1,41,1,passed
28968521,8,0,0,0,0,1,1,42,1,passed
28969548,17,0,0,0,0,1,1,1,1,passed
28970869,7,0,0,0,0,1,1,2,1,passed
28970940,4,0,0,0,0,1,1,3,1,passed
28971045,2,0,0,0,0,1,1,4,1,passed
28971205,2,0,0,0,0,1,1,5,1,passed
28971358,6,0,0,0,0,1,1,6,1,passed
28972160,12,0,0,0,0,1,1,7,1,passed
28973358,11,0,0,0,0,1,1,43,1,passed
28973391,4,0,0,0,0,1,1,44,1,passed
33418582,229,0,0,4,0,1,1,15,1,passed
33531823,18,0,0,0,0,1,1,45,1,passed
36493373,18,0,0,0,0,1,1,46,1,passed
36493454,0,0,0,0,0,1,1,90,1,passed
36493460,0,0,0,0,0,1,1,91,1,passed
36496277,2,0,0,0,0,1,1,47,1,passed
36605877,4,0,0,0,0,1,1,48,1,passed
36608533,2,0,0,0,0,1,1,49,1,passed
38307753,8,0,0,0,0,1,1,50,1,passed
39204466,240,0,0,1,0,1,2,9,2,passed
39415163,0,0,0,0,0,0,1,0,1,passed
39439711,16,0,0,0,0,1,1,2,1,passed
39788697,723,0,40,8,0,12,2,34,2,passed
39882360,63,0,2,0,0,13,1,18,1,passed
39887034,76,0,0,1,0,3,1,16,1,passed
40469988,2406,0,16,11,2,15,2,119,2,passed
40473218,0,0,0,0,0,2,1,94,1,passed
40473692,4,0,0,0,0,1,1,51,1,passed
40474805,0,0,0,0,0,1,1,95,1,passed
40477471,4,0,0,0,0,1,1,52,1,passed
40586840,383,0,0,7,0,0,1,0,1,passed
40593875,255,0,0,2,2,1,1,6,1,passed
40594136,442,0,0,0,4,0,2,0,2,passed
40594214,182,0,0,4,0,0,1,0,1,passed
40596285,16,0,0,0,0,2,1,2,1,passed
40597595,78,0,0,0,1,2,1,3,1,passed
40598911,4,0,0,0,0,1,1,1,1,passed
40599172,0,0,0,0,0,1,1,3,1,passed
40599269,1,0,0,0,0,1,1,53,1,passed
40600540,14,0,0,0,0,1,1,54,1,passed
40600741,6,0,0,0,0,1,1,8,1,passed
41054314,5,0,0,0,0,0,1,4,1,passed
41287863,0,0,0,0,0,1,1,96,1,passed
41288086,0,0,0,0,0,1,1,97,1,passed
41288102,0,0,0,0,0,1,1,98,1,passed
41288600,2,0,0,0,0,1,1,2,1,passed
41420575,63,0,0,0,0,1,1,55,1,passed
41421062,6,0,0,0,0,1,1,56,1,passed
41421144,2,0,0,0,0,1,1,57,1,passed
41544305,1,0,0,0,0,1,1,58,1,passed
41544380,2,0,0,0,0,1,1,59,1,passed
43392318,6,0,0,0,0,1,1,60,1,passed
43402709,141,0,81,1,0,1,1,1,1,passed
43403759,18,0,0,0,0,1,1,2,1,passed
43404266,2,0,0,0,0,1,1,3,1,passed
53249415,7,0,110,1,0,2,2,102,2,passed
53569347,752,0,392,3,2,6,1,32,1,passed
53700796,221,0,0,1,0,2,1,8,1,passed
53713445,185,0,131,0,1,2,1,6,1,passed
55098453,92,0,77,1,1,8,1,12,1,passed
55247043,197,0,145,1,1,2,1,8,1,passed
55248606,72,0,99,0,1,1,1,2,1,passed
59074065,1147,0,549,2,3,15,4,41,4,passed
60962230,11,0,0,0,0,1,1,8,1,passed
60962342,0,0,0,0,0,1,1,100,1,passed
60962348,0,0,0,0,0,1,1,101,1,passed
60965687,4,0,0,0,0,1,1,61,1,passed
60965815,2,0,0,0,0,1,1,3,1,passed
65475544,216,0,27,2,0,3,1,20,1,passed
65480006,134,0,31,2,0,4,1,27,1,passed
65625170,0,0,0,0,0,1,1,102,1,passed
65625177,0,0,0,0,0,1,1,103,1,passed
65643620,6,0,0,2,0,2,1,66,1,passed
66750645,31,0,0,0,0,3,1,11,1,passed
68061570,0,0,0,0,0,1,1,5,1,passed
69987108,1047,0,136,7,0,7,1,20,1,passed
70438597,1047,0,136,7,0,7,1,21,1,passed
81266118,1092,0,72,7,1,13,5,38,5,passed
81288240,20,0,0,0,0,5,2,181,2,passed
81288271,0,0,0,0,0,1,1,105,1,passed
90846878,2,0,0,0,0,1,1,64,1,passed
93471541,2,0,0,0,0,1,1,65,1,passed
93544369,2,0,0,0,0,1,1,66,1,passed
104253096,31,0,0,0,0,2,1,22,1,passed
104441073,93,0,0,1,0,2,2,22,2,passed
104441327,0,0,0,0,0,0,1,0,1,passed
104447159,10,0,0,0,0,4,2,187,2,passed
104447348,0,0,0,0,0,1,1,107,1,passed
104447366,0,0,0,0,0,1,1,108,1,passed
104992910,11,0,0,0,0,1,1,21,1,passed
104994809,6,0,0,0,0,1,1,13,1,passed
104996252,6,0,0,0,0,3,2,179,2,passed
104996270,0,0,0,0,0,1,1,110,1,passed
107467578,0,0,0,0,0,1,1,5,1,passed
107495239,2,0,0,0,0,1,1,1,1,passed
107495741,2,0,0,0,0,1,1,2,1,passed
112236820,80,0,0,1,0,0,1,0,1,passed
113372527,6,0,0,0,0,1,1,11,1,passed
114376237,114,0,5,1,0,7,1,52,1,passed
114381839,177,0,0,0,0,6,1,42,1,passed
114532069,186,0,285,1,1,1,1,7,1,passed
114645946,346,0,388,2,3,2,3,11,3,passed
114919531,919,0,1098,9,9,1,2,11,2,passed
115184548,134,0,250,2,2,0,1,8,1,passed
115452939,365,0,1259,1,9,2,1,131,1,passed
115455366,12,0,0,0,0,1,1,112,1,passed
115460165,44,0,0,1,0,1,2,113,2,passed
115536203,648,0,0,6,0,4,1,27,1,passed
139602445,29,0,0,0,0,4,1,13,1,passed
140404169,15,0,0,0,0,3,1,86,1,passed
140404220,0,0,0,0,0,1,1,114,1,passed
140404239,0,0,0,0,0,1,1,115,1,passed
140405726,0,0,0,0,0,1,1,2,1,passed
