tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
56641875,15,1,0,0,0,3,2,7,2,passed
56644982,0,0,0,0,0,1,1,2,1,passed
56647517,15,0,0,0,0,3,1,12,1,passed
56651581,2,0,0,1,0,0,1,0,1,passed
56659512,2,0,0,1,0,0,1,1,1,passed
56665584,0,0,0,0,0,3,2,11,2,passed
56738859,0,0,0,0,0,3,1,13,1,passed
56740981,0,0,0,0,0,8,3,14,3,passed
56741006,0,0,0,0,0,8,1,17,1,passed
56788176,139,0,52,1,0,15,1,2,1,passed
56790035,6,0,4,0,0,2,1,3,1,passed
56791468,0,0,1,0,0,1,1,4,1,passed
56794334,6,0,5,0,0,2,1,5,1,passed
56797530,0,0,0,0,0,8,1,18,1,passed
56797539,0,0,0,0,0,8,1,19,1,passed
56797970,1,0,0,1,0,0,1,0,1,passed
56799228,1,0,0,1,0,0,1,1,1,passed
56820524,1,0,0,0,1,0,1,2,1,passed
56821695,0,0,0,0,0,1,1,12,1,passed
56821790,0,0,0,0,0,8,1,22,1,passed
56821794,0,0,0,0,0,8,1,23,1,passed
56916448,1,0,0,1,0,0,1,3,1,passed
56970477,39,4,0,1,0,1,1,6,1,passed
57100541,5,0,0,0,0,2,1,8,1,passed
57102168,0,0,0,0,0,1,1,1,1,passed
57430426,0,0,0,0,0,1,1,22,1,passed
57523643,0,0,0,0,0,1,1,23,1,passed
57524028,51,0,0,1,0,2,1,10,1,passed
57542841,35,0,73,0,0,3,1,1,1,passed
57545606,35,0,73,0,0,3,1,2,1,passed
57545782,0,0,0,0,0,3,1,27,1,passed
57548632,45,0,4,0,0,3,1,3,1,passed
57556961,45,0,4,0,0,3,1,4,1,passed
57556981,38,0,14,0,0,6,1,3,1,passed
57570196,22,0,34,0,0,2,1,3,1,passed
57572569,22,0,34,0,0,2,1,4,1,passed
57577858,57,0,62,0,0,4,1,6,1,passed
57721691,63,0,54,1,0,4,4,12,4,passed
57723609,63,0,54,1,0,4,1,16,1,passed
57730376,0,0,0,0,0,8,1,28,1,passed
57730400,0,0,0,0,0,8,1,29,1,passed
57845502,0,0,0,0,0,1,1,11,1,passed
57846213,10,0,0,0,0,1,1,5,1,passed
57847113,0,0,0,0,0,1,1,12,1,passed
57847159,10,0,0,0,0,1,1,6,1,passed
57861038,0,0,0,0,0,1,1,14,1,passed
57870866,0,0,0,0,0,1,1,28,1,passed
57888894,0,0,0,0,0,1,1,29,1,passed
58363057,2,0,0,0,0,2,1,15,1,passed
58364206,2,0,0,0,0,2,1,16,1,passed
58472244,52,0,7,0,0,30,1,20,1,passed
58476629,54,0,7,0,0,31,1,21,1,passed
58502167,40,0,0,0,2,0,1,2,1,passed
58502862,4,0,0,0,0,1,1,2,1,passed
58508995,2,0,0,0,0,1,1,3,1,passed
58512151,4,0,0,0,0,1,1,5,1,passed
58522170,0,0,0,0,0,1,1,30,1,passed
58523475,0,0,41,0,0,2,1,10,1,passed
58659896,104,0,103,0,1,1,1,5,1,passed
58685894,206,0,120,2,2,7,2,4,2,passed
58686615,90,0,5,0,1,6,1,14,1,passed
