tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
11562363,63,0,21,1,0,5,2,53,2,failed
11566269,0,0,0,0,0,1,1,3,1,failed
11567763,0,0,0,0,0,1,1,4,1,failed
11569993,0,0,0,0,0,1,1,7,1,passed
11644542,32,0,0,2,0,2,3,436,3,passed
11644771,35,0,0,1,0,2,2,50,2,passed
11692706,0,0,28,0,0,1,1,29,1,passed
11702693,127,0,0,1,0,3,1,6,1,passed
11704799,6,0,0,0,0,1,1,1,1,passed
11705816,17,0,0,1,0,4,1,440,1,failed
11706894,0,0,0,0,0,1,1,428,1,passed
11709371,2,0,0,0,0,1,1,4,1,passed
11714362,4,0,0,0,0,2,2,450,2,passed
11751143,0,0,0,1,0,1,2,430,2,passed
11781582,61,0,0,0,0,12,3,116,3,passed
11781943,0,0,0,0,0,1,1,13,1,passed
11835073,10,0,0,0,0,2,3,58,3,passed
11836586,0,0,0,2,1,22,5,41,5,passed
11906835,3,0,0,0,0,4,3,438,3,passed
11906862,72,0,0,0,0,4,2,158,2,passed
11910575,2,0,0,0,0,3,3,138,3,failed
12030125,74,0,0,0,0,1,1,78,1,passed
12060175,2,0,0,1,0,3,2,22,2,passed
12063696,67,0,0,1,0,5,4,45,4,failed
12066126,6,0,0,0,0,2,1,19,1,failed
12067526,0,0,0,0,0,1,1,19,1,passed
12069643,9,0,0,0,0,3,3,455,3,failed
12069770,0,0,0,0,0,1,1,68,1,failed
12069825,0,0,0,0,0,1,1,27,1,failed
12070181,2,0,0,0,0,2,1,26,1,failed
12100296,0,0,0,0,0,1,1,23,1,failed
12102246,8,0,0,0,0,1,1,10,1,failed
12103432,2,0,0,0,0,1,1,11,1,failed
12105077,4,0,0,0,0,1,1,12,1,failed
12105681,0,0,0,0,0,1,1,24,1,passed
12107227,0,0,0,0,0,1,1,25,1,passed
12113744,4,0,0,0,0,2,2,16,2,passed
12114477,0,0,0,0,0,1,1,26,1,passed
12142456,0,0,4,0,0,2,1,82,1,passed
12144456,48,0,0,0,0,3,2,20,2,passed
12146444,0,0,0,1,0,1,1,11,1,passed
12235431,27,0,18,0,0,2,1,12,1,passed
12235514,27,0,18,0,0,2,1,13,1,passed
12235626,0,0,0,0,0,2,1,5,1,passed
12319092,0,0,0,0,0,1,1,15,1,passed
12377588,7,0,0,0,0,4,3,57,3,passed
12383848,2,0,0,0,0,2,1,29,1,passed
12390265,120,0,89,2,0,1,1,121,1,passed
12429737,19,0,0,0,0,2,2,27,2,passed
12465740,63,0,68,2,0,3,4,495,4,passed
