tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
8443768,3,0,14,0,0,3,1,23,1,passed
8444269,2,0,0,0,0,5,2,10,2,passed
8445244,15,0,0,0,0,1,1,31,1,passed
8621298,0,0,0,0,0,1,1,3,1,passed
8765008,0,0,3,0,0,1,1,21,1,passed
8770535,6,0,2,0,0,2,1,33,1,passed
8770562,4,0,0,0,0,1,1,8,1,passed
8770765,12,0,0,0,0,1,1,17,1,passed
8770916,17,0,0,0,0,1,1,32,1,passed
8772085,0,0,12,0,0,1,1,25,1,passed
8878417,0,0,12,0,0,1,1,25,1,passed
8878476,2,0,0,0,0,1,1,19,1,passed
8893950,2,0,0,0,0,2,1,41,1,failed
8894642,0,0,0,0,0,1,1,12,1,passed
8894762,3,0,0,0,0,1,1,34,1,passed
8905024,3,0,0,0,0,1,1,1,1,passed
8932414,3,0,0,0,0,1,1,2,1,passed
8936567,123,0,96,3,0,4,1,32,1,passed
8965526,74,0,42,0,0,3,1,28,1,passed
9305404,113,0,67,0,0,9,1,47,1,passed
10167356,82,0,87,2,0,4,3,19,3,failed
11460422,74,0,42,0,0,3,1,29,1,passed
11770837,74,0,42,0,0,3,1,30,1,passed
11774272,123,0,96,3,0,4,1,36,1,passed
12044500,27,0,41,0,0,4,1,65,1,passed
12044574,158,0,78,1,1,8,3,40,3,passed
12047476,158,0,182,3,3,5,1,43,1,passed
12279839,4,0,0,0,0,1,1,25,1,passed
12320441,47,0,142,0,0,4,2,37,2,failed
12321400,0,0,1,0,0,1,1,4,1,passed
12322287,47,0,143,0,0,5,1,41,1,passed
12329336,63,0,87,2,0,2,1,28,1,passed
12330580,11,0,0,0,0,1,1,5,1,passed
12330790,11,0,0,0,0,1,1,6,1,passed
12577670,12,0,7,0,0,3,1,58,1,passed
12607143,17,0,40,0,0,2,1,31,1,passed
12655776,17,0,40,0,0,2,1,32,1,passed
16170574,4,0,0,0,0,1,1,30,1,passed
16236855,4,0,21,1,0,3,1,62,1,passed
16629269,6,0,9,0,0,5,4,68,4,passed
16865770,6,0,9,0,0,5,1,72,1,passed
22123137,63,0,87,2,0,2,1,36,1,failed
22123327,12,0,7,0,0,3,1,63,1,failed
22125627,0,0,0,0,0,1,1,13,1,failed
22126680,3,0,0,0,0,1,1,16,1,passed
22391226,27,0,36,1,0,5,2,47,2,passed
22974058,10,0,43,1,0,3,2,48,2,failed
22975660,0,0,12,0,0,7,1,51,1,failed
22976388,10,1,28,0,1,1,1,25,1,passed
22979896,9,0,70,1,0,5,2,45,2,passed
22980010,0,0,1,0,1,0,1,10,1,passed
29893605,6,0,13,0,0,3,2,42,2,passed
29895657,2,0,13,0,0,2,1,42,1,passed
31342761,6,0,0,0,0,2,2,24,2,passed
32646206,27,0,28,0,0,4,1,86,1,passed
34635253,0,0,1,0,0,2,1,38,1,failed
34648230,0,0,4,0,0,3,1,51,1,passed
34648369,4,0,0,0,0,1,1,43,1,passed
37839213,130,1,83,1,0,14,1,88,1,failed
41760749,17,0,0,0,0,1,1,45,1,failed
41842784,17,0,0,0,0,1,1,46,1,failed
42065868,0,0,4,0,0,1,1,8,1,passed
42090425,0,0,4,0,0,1,1,9,1,passed
44855432,9,0,0,0,0,1,1,23,1,passed
44868306,8,0,12,0,0,3,1,44,1,passed
46730318,120,0,546,1,0,36,1,158,1,passed
46732412,41,0,21,0,0,17,1,123,1,passed
46791259,0,0,0,0,0,2,1,13,1,passed
46854504,41,0,21,0,0,17,1,125,1,passed
47000736,44,0,18,0,0,19,1,109,1,passed
47203781,19,0,0,0,0,1,1,26,1,passed
47203916,19,0,0,0,0,1,1,27,1,passed
47204035,2,0,0,0,0,1,1,23,1,passed
47204193,0,0,0,0,0,1,1,17,1,passed
47204299,0,0,0,0,0,1,1,18,1,passed
48486866,30,0,18,0,0,17,1,111,1,passed
52141395,83,0,69,0,3,6,1,85,1,passed
52141659,6,0,0,0,0,2,2,43,2,failed
52145252,2,0,47,3,0,4,1,62,1,passed
52147355,10,1,28,1,0,1,1,34,1,passed
52147552,1,0,0,0,0,1,1,30,1,passed
