tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
788003,117,0,332,1,0,5,5,23,5,passed
788064,4,0,5,0,0,3,2,25,2,passed
788109,2,0,0,0,0,1,1,1,1,passed
788129,8,0,0,0,0,1,1,1,1,passed
788592,71,0,16,0,0,3,1,27,1,passed
788615,1,0,0,0,0,1,1,4,1,passed
793812,8,0,0,0,0,2,1,4,1,passed
4298248,102,0,28,0,0,8,1,36,1,passed
4778731,102,0,28,0,0,8,1,37,1,passed
4779108,10,0,0,0,0,1,1,18,1,passed
4779247,6,0,17,0,0,2,2,28,2,passed
4779689,10,0,28,0,0,5,1,33,1,passed
4779821,3,0,19,0,0,2,2,31,2,passed
4780059,9,0,0,0,0,1,1,5,1,passed
4781758,2,0,0,0,0,1,1,7,1,passed
4912946,41,0,6,0,0,2,3,33,3,passed
5506079,74,0,86,0,0,7,3,47,3,passed
5506291,4,0,0,0,0,2,1,9,1,passed
5506407,0,0,0,0,0,1,1,4,1,passed
5506582,1,0,0,0,0,1,1,9,1,passed
5507726,8,1,15,0,0,2,1,37,1,passed
5509210,4,0,0,0,0,1,1,28,1,passed
5509437,6,0,15,0,0,2,1,39,1,passed
5509481,9,0,0,0,0,3,1,16,1,passed
6969376,50,0,21,0,0,3,2,48,2,failed
6969438,0,0,4,0,0,1,1,30,1,passed
6969467,7,0,0,0,0,2,1,40,1,passed
6971048,32,0,30,0,0,3,2,52,2,passed
6971445,33,0,0,0,0,3,1,20,1,passed
22958121,4,0,0,2,0,3,1,12,1,failed
22958738,10,0,4,0,0,3,1,62,1,failed
22958912,0,0,6,0,0,1,1,37,1,failed
22962361,23,0,0,0,0,5,2,61,2,failed
22969386,2,0,0,0,0,1,1,42,1,passed
22983797,9,0,0,1,0,1,2,21,2,passed
23001180,25,0,0,0,0,1,1,5,1,passed
23002483,66,0,0,0,0,1,1,6,1,failed
23002655,28,0,0,0,0,1,1,7,1,passed
23003016,19,0,11,0,0,4,1,70,1,passed
23007566,2,0,0,0,0,1,1,27,1,passed
23040481,2,0,0,0,0,1,1,3,1,failed
23042223,4,0,1213,12,1,1,2,47,2,failed
23045418,2,0,523,1,0,15,2,20,2,passed
76525143,2,0,0,0,0,1,1,30,1,passed
76527403,4,0,6,0,0,3,1,17,1,passed
76529232,180,0,454,0,0,18,1,93,1,passed
76529808,0,0,14,1,0,0,1,0,1,passed
76531900,14,0,0,0,0,1,1,32,1,passed
76533876,33,0,34,1,0,3,1,77,1,passed
76534881,27,0,25,0,0,2,1,38,1,passed
76537769,41,0,43,1,0,3,1,45,1,failed
76541121,31,0,12,0,0,3,2,49,2,passed
76543968,16,0,0,0,0,2,1,17,1,passed
76547399,4,0,0,0,0,1,1,37,1,passed
83976692,4,0,0,0,0,2,1,18,1,passed
86210075,2,0,0,0,0,1,1,38,1,passed
91918617,1,0,0,0,0,1,1,13,1,passed
92753304,1,0,0,0,0,1,1,14,1,passed
92753839,2,0,0,0,0,1,1,39,1,passed
98554831,0,0,0,0,0,1,2,10,2,passed
98557041,20,0,15,0,0,3,2,54,2,passed
111396321,1,0,11,0,0,2,1,21,1,failed
116061356,2,0,22,0,0,2,1,20,1,failed
129922379,2,0,7,0,0,2,1,21,1,failed
154631546,0,0,0,0,0,1,1,11,1,failed
154633417,2,0,0,0,0,1,1,14,1,passed
154634230,19,0,23,0,0,2,1,50,1,passed
154634387,0,0,0,0,0,1,1,14,1,passed
154634735,8,0,5,0,0,2,1,16,1,passed
154635418,10,0,21,0,0,3,1,66,1,passed
154645760,11,0,21,0,0,2,1,13,1,passed
154647386,16,0,0,0,0,3,1,58,1,passed
154648817,17,0,0,0,0,3,1,66,1,passed
154650017,520,0,0,0,0,1,1,49,1,passed
154650249,2,0,0,0,0,1,1,50,1,passed
154650451,4,0,0,0,0,1,1,51,1,passed
154650945,3,0,0,0,0,2,1,21,1,passed
154654158,0,0,0,0,0,1,1,3,1,passed
154654382,0,0,0,0,1,1,1,9,1,passed
154655271,26,0,34,1,0,3,1,83,1,passed
154659855,0,0,0,0,0,1,1,15,1,passed
154661076,2,0,0,0,0,1,1,54,1,passed
