tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
4454332,123,0,7,1,0,17,1,489,1,passed
5074658,65,0,0,3,0,13,1,231,1,passed
5809483,419,0,80,2,1,17,1,392,1,passed
6777577,0,0,0,0,0,1,1,21,1,passed
6895106,808,0,64,10,2,33,1,696,1,passed
6895188,2,0,0,0,0,6,1,204,1,passed
6895198,4,0,0,0,0,1,1,68,1,passed
7326879,70,0,2,0,0,11,1,316,1,passed
7879692,119,0,7,0,0,11,1,354,1,passed
8428748,323,0,0,1,0,30,1,654,1,passed
9908218,464,0,36,0,0,22,1,663,1,passed
13157664,202,0,67,0,0,21,1,632,1,passed
14665773,356,0,9,2,0,26,1,778,1,passed
14665784,2,0,0,0,0,1,1,81,1,passed
23042950,12,0,0,0,0,8,1,302,1,passed
26060432,2,0,0,0,0,1,1,11,1,passed
26582735,410,0,0,2,1,14,1,418,1,passed
27149227,4,0,0,0,0,1,1,13,1,passed
27693216,17,0,0,0,0,6,1,242,1,passed
28025564,2,0,0,0,0,1,1,91,1,passed
28427270,129,0,0,0,0,14,1,362,1,passed
36160084,2,0,0,0,0,1,1,91,1,failed
36417415,6,0,92,0,0,8,1,251,1,passed
37728010,4,0,0,0,0,1,1,88,1,passed
37728190,2,0,0,0,0,1,1,10,1,passed
37748377,14,0,10,0,0,2,2,28,2,passed
37748483,0,0,58,0,0,1,1,23,1,passed
37748728,2,0,0,0,0,1,1,11,1,passed
37799879,18,0,0,0,0,4,3,210,3,passed
38390457,10,0,0,0,0,1,1,110,1,passed
38553977,10,0,0,0,0,1,1,111,1,passed
38555996,2,0,0,0,0,1,1,13,1,passed
38617526,6,0,0,0,0,4,2,119,2,passed
39153208,12,0,0,0,0,2,1,60,1,passed
39511360,13,0,0,0,0,2,1,64,1,passed
39512545,2,0,0,0,0,1,1,24,1,passed
42523533,2,0,0,0,0,3,1,174,1,passed
45558642,2,0,0,0,0,1,1,91,1,passed
45647438,2,0,0,0,0,1,1,92,1,passed
67733642,18,0,0,0,0,2,1,66,1,passed
67845120,2,0,0,0,0,3,1,107,1,passed
