tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
4016499,619,0,283,22,0,24,13,34,13,failed
4016544,619,0,283,22,0,24,13,34,13,failed
4016713,0,0,0,0,0,1,1,23,1,failed
4018683,0,0,0,0,0,1,1,1,1,failed
4019111,8,0,138,0,0,5,1,24,1,failed
4107515,0,0,214,1,0,5,1,28,1,failed
4115397,2,0,0,0,0,1,1,1,1,passed
4116435,2,0,0,0,0,1,1,20,1,passed
4120586,246,0,0,4,3,6,1,5,1,passed
4205038,0,0,0,0,0,1,1,25,1,passed
4224158,30,0,75,2,0,1,1,5,1,passed
4377800,0,0,0,0,0,1,1,26,1,passed
4392010,0,0,0,0,0,1,1,26,1,passed
4633044,2,0,0,0,0,2,1,45,1,passed
4633067,106,0,63,4,0,4,1,6,1,passed
4634604,12,0,42,0,0,2,1,4,1,passed
4634994,96,0,0,0,0,1,1,22,1,passed
4635507,2,0,92,1,0,3,1,26,1,passed
4656198,216,0,123,7,0,8,1,12,1,passed
4656412,61,0,0,0,0,2,1,26,1,failed
4656858,8,0,0,0,0,1,1,3,1,passed
4662365,4,0,0,0,0,1,1,7,1,passed
4915191,29,0,8,0,0,4,2,30,2,passed
4915440,2,0,0,0,0,1,1,26,1,passed
4922867,136,0,61,3,0,6,2,8,2,passed
4943001,34,0,0,0,0,1,1,27,1,passed
4948714,133,0,59,2,0,3,2,9,2,failed
4949154,3,0,9,0,0,2,1,1,1,passed
4950549,94,0,6,1,0,2,1,6,1,passed
4951522,122,0,86,4,0,7,3,12,3,passed
4951634,2,0,0,0,0,1,1,28,1,passed
4974644,32,0,0,0,0,3,2,35,2,passed
4992926,0,0,0,0,0,1,1,28,1,passed
4994204,118,0,20,2,0,6,2,12,2,passed
5008495,31,0,24,1,0,3,1,38,1,passed
5009152,11,0,15,0,0,4,1,12,1,passed
5009802,31,0,5,0,0,4,1,43,1,passed
5028528,143,0,0,1,1,6,1,33,1,passed
5031175,0,0,0,0,0,1,1,30,1,passed
5034795,47,0,7,0,0,7,1,42,1,passed
5035415,7,0,0,0,0,1,1,2,1,passed
5060475,52,0,6,0,0,14,1,38,1,passed
5084841,57,0,0,0,0,7,1,20,1,passed
5098611,0,0,0,0,0,1,1,33,1,passed
5118327,0,0,0,0,0,1,1,34,1,passed
5146294,17,0,0,0,0,3,1,14,1,passed
5146602,63,0,0,0,0,1,1,31,1,passed
5219160,14,0,487,1,0,5,1,15,1,passed
5239039,16,0,0,0,0,2,1,63,1,passed
5239209,7,0,0,0,0,3,1,11,1,passed
5240042,55,0,0,0,0,5,1,17,1,passed
5297622,81,0,0,2,0,4,1,15,1,passed
5328179,63,0,0,1,0,3,1,24,1,passed
5329327,0,0,40,2,0,2,1,15,1,passed
5333911,29,0,13,1,0,2,1,20,1,passed
5396866,131,0,33,4,0,6,1,18,1,passed
5426235,115,0,36,0,0,8,2,55,2,passed
5494364,13,0,0,0,0,3,1,70,1,passed
5558187,122,0,89,3,0,3,1,22,1,passed
5558376,0,0,0,0,0,1,2,38,2,passed
5566396,4,0,41,2,0,2,1,17,1,passed
5579619,48,0,67,4,0,4,2,64,2,failed
5581646,9,0,0,0,0,3,1,5,1,passed
5620129,17,0,0,0,0,3,1,20,1,passed
5671901,0,0,195,2,1,5,1,21,1,failed
5673269,0,0,0,1,0,0,1,0,1,passed
5682423,8,0,6,1,0,4,1,12,1,passed
5730405,234,0,0,0,0,2,5,51,5,passed
5749307,8,0,0,0,0,1,1,39,1,failed
5767023,96,0,1,0,1,3,3,49,3,passed
5767481,1523,0,0,2,0,1,1,41,1,passed
5767576,7,0,0,0,0,1,1,42,1,passed
5768005,6,0,0,0,0,1,1,43,1,passed
5823826,44,0,2,0,0,5,1,56,1,passed
5863353,169,0,0,1,0,0,2,1,2,passed
5909151,16,0,0,0,0,1,1,2,1,passed
5929547,157,0,0,1,0,1,1,1,1,passed
5934282,291,0,0,1,1,1,1,61,1,passed
5934299,2,0,0,0,0,1,1,45,1,passed
5934317,4,0,0,0,0,1,1,46,1,passed
5972675,144,0,56,3,0,2,1,1,1,passed
5999592,63,0,16,0,1,2,1,9,1,passed
5999717,2,0,0,0,0,1,1,3,1,passed
6031027,109,0,0,2,0,2,3,9,3,passed
6064505,195,0,0,1,0,3,1,12,1,passed
6095009,146,0,0,3,0,1,1,1,1,passed
6114962,0,0,0,0,0,1,1,42,1,passed
6137730,5,0,0,0,0,3,1,2,1,failed
6152587,287,0,0,2,1,2,1,4,1,passed
6176176,28,0,0,0,1,2,1,4,1,passed
6179776,88,0,0,0,0,2,1,3,1,passed
6181243,0,0,0,0,0,1,1,43,1,passed
6219301,31,0,15,1,0,5,3,10,3,passed
6265842,19,0,0,1,0,0,1,0,1,passed
6265924,0,0,0,0,0,1,1,44,1,passed
6297249,15,0,14,1,0,2,1,27,1,passed
6318366,57,0,20,1,0,8,3,42,3,passed
6318562,2,0,0,0,0,1,1,47,1,passed
6338052,52,0,46,1,0,4,3,34,3,passed
6364802,40,0,0,0,0,1,1,22,1,passed
6365532,0,0,0,0,0,1,1,3,1,passed
6365875,12,0,0,0,0,2,1,9,1,passed
6366060,6,0,0,0,0,1,1,5,1,passed
6396100,11,0,15,0,0,4,1,34,1,passed
6410609,44,0,31,1,0,5,1,36,1,passed
6442203,0,0,0,0,0,2,1,45,1,passed
6457263,28,0,21,3,0,4,2,41,2,passed
6484561,58,0,0,1,0,5,2,18,2,passed
6484894,2,0,0,0,0,1,1,1,1,passed
6485438,4,0,0,0,0,2,1,53,1,passed
6521895,12,0,0,1,0,2,2,52,2,passed
6549207,12,0,0,0,0,3,1,11,1,passed
6584346,8,0,2,0,0,4,1,79,1,passed
6586876,155,0,2,2,0,17,1,99,1,passed
6615008,61,0,23,2,0,8,2,102,2,passed
