tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
2935909,2471,0,1133,32,1,20,42,0,42,failed
2935998,0,0,0,1,0,0,1,0,1,failed
2936054,11,0,0,0,0,3,1,3,1,passed
2936074,2,0,0,0,0,1,1,19,1,passed
2936285,0,0,0,1,0,0,1,0,1,passed
2936297,0,0,0,0,0,1,1,1,1,passed
2944619,9,0,0,0,0,2,1,11,1,passed
2944623,2,0,0,0,0,1,1,1,1,passed
2957847,2,0,0,0,0,1,1,20,1,passed
2958147,2,0,0,0,0,1,1,21,1,passed
2980498,4,0,0,0,0,1,1,22,1,passed
4295877,87,0,43,1,0,4,1,9,1,passed
4317115,89,0,66,1,1,4,4,10,4,passed
4317458,23,0,27,0,0,2,1,7,1,passed
4317464,2,0,0,0,0,1,1,5,1,passed
4501258,9,0,49,0,0,3,1,8,1,passed
4502530,32,0,33,1,0,4,1,11,1,passed
4502586,2,0,0,0,0,1,1,7,1,passed
4502591,2,0,0,0,0,1,1,5,1,passed
4503005,9,0,19,0,0,5,1,18,1,passed
4506320,6,0,34,0,0,4,1,16,1,passed
5120940,39,0,97,2,0,1,1,5,1,passed
5120979,39,0,97,2,0,1,1,6,1,passed
5121132,4,0,0,0,0,2,1,13,1,passed
5121684,288,0,373,0,0,24,2,59,2,passed
5123003,288,0,373,0,0,24,1,61,1,passed
5123014,4,0,0,0,0,2,1,14,1,passed
5128928,60,3,4,0,0,2,4,11,4,passed
5133863,83,0,0,0,0,1,4,14,4,passed
5141783,4,0,0,0,0,1,1,25,1,passed
5142226,4,0,0,0,0,1,1,26,1,passed
5155308,10,0,17,0,0,2,1,4,1,passed
5178255,113,0,4,0,0,2,1,19,1,passed
5178294,23,0,0,0,0,1,1,19,1,passed
5178513,10,0,17,0,0,2,1,5,1,passed
5178563,35,0,0,0,0,4,1,25,1,passed
5178624,0,0,33,0,0,1,1,1,1,passed
5178674,2,0,0,0,0,1,1,13,1,passed
5179448,11,0,0,0,0,2,1,23,1,passed
5179506,10,0,5,0,0,3,1,23,1,passed
5179508,14,0,0,0,0,1,1,4,1,passed
5179601,6,0,0,0,0,3,2,36,2,passed
5255446,8,0,18,0,0,2,1,25,1,passed
5277668,23,0,2,0,0,2,2,26,2,passed
5287538,19,0,20,0,0,3,1,29,1,passed
5343663,8,0,16,0,0,2,1,6,1,passed
5368808,19,0,20,0,0,3,1,30,1,passed
5368871,8,0,16,0,0,2,1,7,1,passed
5369344,42,0,116,2,0,5,1,31,1,passed
5369672,26,0,0,1,0,2,1,16,1,passed
5744106,105,0,295,0,0,27,1,71,1,passed
5744327,2,0,0,0,0,1,1,4,1,passed
5744378,7,0,0,0,0,1,1,3,1,passed
5744393,0,0,0,0,0,0,1,0,1,passed
5744426,0,0,0,0,0,1,1,1,1,passed
5744535,5,0,0,0,0,1,1,1,1,passed
6421354,48,0,56,0,0,28,2,98,2,passed
6506760,48,0,56,0,0,28,1,100,1,passed
6950649,68,0,137,2,0,6,3,32,3,passed
6953628,4,0,8,0,0,2,1,20,1,passed
7025551,60,0,143,2,0,6,1,43,1,passed
7025872,5,0,0,0,0,1,1,3,1,passed
7026560,1,0,0,0,0,1,1,4,1,failed
7038340,0,0,8,0,0,1,1,5,1,passed
7220486,4,0,0,0,0,1,1,5,1,passed
7221435,4,0,0,0,0,1,1,6,1,passed
7615040,17,0,21,0,0,3,1,19,1,passed
7615069,1,0,0,0,0,1,1,5,1,passed
8191765,123,0,76,2,0,11,3,43,3,failed
8192041,8,0,0,0,0,2,1,28,1,passed
8341640,107,0,76,2,0,10,1,45,1,passed
8341666,5,0,0,0,0,2,1,19,1,passed
9784272,24,0,52,0,0,6,2,48,2,passed
9784399,18,0,52,0,0,6,1,50,1,passed
9899299,2,0,15,0,0,2,1,2,1,passed
10251884,2,0,22,0,0,2,2,32,2,passed
10260413,2,0,22,0,0,2,1,34,1,passed
10420516,2,0,42,0,0,2,1,11,1,passed
10421220,2,0,42,0,0,2,1,12,1,passed
11582468,5,0,0,0,0,1,1,16,1,passed
14025048,5,0,0,0,0,1,1,17,1,passed
14025289,2,0,15,0,0,2,1,3,1,passed
14127317,4,0,44,0,0,2,1,30,1,passed
15998458,31,0,0,0,1,3,1,21,1,passed
15998621,0,0,0,0,0,1,1,4,1,passed
15999463,37,0,30,0,0,5,1,68,1,passed
16000242,13,0,18,0,0,2,1,40,1,passed
16000409,6,0,0,0,0,1,1,38,1,passed
16001110,13,0,0,0,0,2,1,20,1,passed
16003462,51,0,32,0,0,5,2,48,2,passed
32955245,4,0,17,0,0,2,1,26,1,passed
45366317,7,0,13,0,0,2,1,12,1,passed
45428863,7,0,13,0,0,2,1,13,1,passed
87479239,8,0,29,0,0,2,1,16,1,failed
125232729,0,0,0,0,0,1,1,7,1,passed
125703537,0,0,0,0,0,1,1,8,1,passed
125705877,0,0,0,0,0,1,1,9,1,passed
125772661,58,0,137,2,0,3,1,30,1,passed
127642233,17,0,0,0,0,3,1,13,1,passed
135460877,12,0,0,0,0,3,2,32,2,passed
