tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
172809,241,0,31,1,4,5,7,128,7,failed
172871,0,0,0,0,0,1,1,1,1,failed
172926,0,0,0,0,0,1,1,2,1,failed
191101,2,0,0,0,0,1,1,46,1,failed
225743,20,0,0,0,0,2,1,148,1,failed
225767,19,0,0,0,0,1,1,100,1,failed
238489,1,0,0,0,0,1,1,29,1,failed
242935,15,0,0,0,0,1,1,102,1,failed
243013,0,0,0,0,0,1,1,3,1,passed
264477,2,0,0,0,0,1,1,61,1,passed
290351,1,0,0,0,0,2,1,50,1,passed
290442,14,0,0,0,0,2,1,46,1,passed
290484,5,0,0,0,0,1,1,107,1,passed
290520,0,0,0,0,0,0,1,0,1,passed
294942,3,0,0,0,0,1,1,109,1,passed
294957,3,0,0,0,0,1,1,110,1,passed
295112,9,0,0,0,0,1,1,14,1,passed
310863,1,0,0,0,0,1,1,111,1,passed
364508,50,0,0,0,0,2,3,163,3,passed
378792,16,0,0,0,0,2,1,53,1,passed
431172,22,0,0,0,0,1,1,31,1,passed
538917,1,0,0,0,0,1,1,11,1,passed
858507,37,0,42,0,0,3,1,176,1,passed
882125,6,0,60,0,0,2,1,12,1,passed
962084,10,0,0,0,0,1,1,12,1,passed
962622,70,0,0,0,0,1,1,134,1,passed
967511,7,0,0,0,0,1,1,36,1,passed
967731,81,0,26,0,0,4,1,247,1,passed
969679,7,0,8,0,0,2,1,115,1,passed
976790,13,0,0,0,0,1,1,84,1,passed
1833980,34,0,13,0,0,3,1,175,1,passed
1843191,10,0,0,0,0,1,1,10,1,passed
1862737,2,0,0,0,0,1,1,140,1,passed
1862752,2,0,0,0,0,1,1,38,1,passed
1869606,2,0,6,0,0,2,1,118,1,passed
1875107,8,0,21,0,0,2,1,122,1,passed
1875115,31,0,0,0,0,2,1,73,1,passed
2014081,172,0,10,0,0,5,1,225,1,passed
2063995,27,0,0,0,0,2,1,178,1,passed
2070091,27,0,0,0,0,2,1,178,1,passed
2070096,16,0,31,1,0,6,1,153,1,passed
2070952,8,0,40,0,0,5,1,132,1,passed
2071051,0,0,0,1,0,0,1,0,1,passed
2071107,4,0,0,0,0,2,1,38,1,passed
2076950,12,0,0,0,0,1,2,149,2,passed
2182361,4,0,0,0,0,1,1,13,1,passed
2186370,4,0,0,0,0,1,1,14,1,passed
2186375,14,0,0,0,0,1,1,43,1,passed
2203399,18,0,0,0,0,2,1,58,1,passed
2203456,44,0,0,0,0,1,1,151,1,passed
2203864,30,0,12,0,0,5,4,251,4,passed
2203911,4,0,0,0,0,2,1,41,1,passed
2253260,1,0,0,0,0,1,1,26,1,passed
2253265,1,0,0,0,0,1,1,27,1,passed
2327986,154,0,0,0,0,4,2,236,2,failed
2331725,154,0,0,0,0,4,1,238,1,failed
2338390,2,0,28,0,0,2,1,196,1,failed
2346806,2,0,28,0,0,2,1,197,1,failed
2670514,9,0,0,0,0,1,1,44,1,failed
2670557,9,0,0,0,0,1,1,45,1,failed
2739441,0,0,0,0,0,1,1,7,1,passed
2739454,4,0,0,0,0,1,1,29,1,failed
2803844,13,0,0,0,0,2,2,172,2,passed
2804186,243,0,0,0,0,4,2,291,2,passed
2804218,197,0,0,1,0,0,1,0,1,passed
2807483,32,0,15,0,0,2,3,201,3,passed
2816570,346,0,0,3,0,1,2,95,2,passed
2817873,515,0,10,2,1,7,7,315,7,passed
2858484,7,0,8,0,0,2,2,209,2,passed
2858565,7,0,8,0,0,2,1,211,1,passed
2906058,0,0,6,0,0,1,1,77,1,passed
2994059,2,0,0,0,0,1,1,171,1,passed
3171436,2,0,0,0,0,2,3,179,3,passed
3171672,0,0,0,0,0,1,1,10,1,passed
3174885,35,0,0,0,0,2,3,244,3,passed
3188061,27,0,0,0,0,1,1,100,1,passed
3195169,4,0,0,0,0,2,2,58,2,passed
3202012,4,0,0,0,0,2,1,60,1,passed
3207643,0,0,9,0,0,1,1,79,1,passed
3207686,0,0,9,0,0,1,1,80,1,passed
3209774,0,0,1,0,0,2,2,92,2,failed
3209813,0,0,1,0,0,2,1,94,1,failed
3220322,12,0,0,0,0,1,1,50,1,failed
3231281,0,0,4,0,0,1,1,84,1,failed
3238082,0,0,4,0,0,1,1,85,1,failed
3240009,0,0,8,0,0,1,2,86,2,failed
3242131,0,0,8,0,0,1,1,88,1,failed
3253172,33,0,10,0,0,7,6,218,6,failed
3257194,33,0,10,0,0,7,1,224,1,failed
3399530,16,0,0,0,0,1,1,30,1,failed
3407982,16,0,0,0,0,1,1,31,1,failed
3471495,3,0,0,0,0,2,2,50,2,passed
3472252,21,0,23,0,0,2,1,228,1,passed
3478236,21,0,23,0,0,2,1,229,1,failed
3498082,10,0,25,0,0,2,1,230,1,passed
3499288,10,0,25,0,0,2,1,231,1,passed
3524029,3,0,0,0,0,1,1,53,1,passed
3549812,32,0,0,0,0,1,1,49,1,passed
3670237,7,0,0,0,0,1,1,54,1,passed
3670707,4,0,0,0,0,2,1,44,1,failed
3677014,0,0,0,0,0,1,1,19,1,passed
3712984,2,0,0,0,0,1,1,50,1,failed
6526966,17,0,0,0,0,2,1,217,1,failed
6801446,17,0,0,0,0,2,1,218,1,failed
6801520,0,0,6,0,0,1,1,97,1,failed
6801872,0,0,0,0,0,1,1,21,1,failed
7390012,17,0,0,0,0,1,1,4,1,failed
7443674,17,0,0,0,0,1,1,5,1,failed
7815784,8,0,4,0,0,2,1,239,1,failed
7926225,22,0,0,0,0,4,1,260,1,passed
7926353,11,0,0,0,0,3,1,259,1,failed
7936563,0,0,2,0,0,1,1,98,1,failed
7936676,0,0,2,0,0,1,1,99,1,failed
8487340,11,0,0,0,0,1,1,103,1,failed
8669826,276,0,0,0,1,0,1,51,1,failed
8856405,9,0,0,0,0,1,1,17,1,failed
8896413,18,0,0,0,0,1,1,120,1,failed
8898892,9,0,0,0,0,1,1,18,1,failed
8898906,18,0,0,0,0,1,1,181,1,failed
8904501,71,0,0,0,0,3,1,263,1,failed
8904548,74,0,4,0,0,5,1,325,1,failed
8905244,0,0,0,0,0,1,1,22,1,failed
8905470,0,0,0,0,0,1,2,23,2,passed
8905964,62,0,0,0,0,1,1,22,1,passed
8912878,8,0,0,0,0,1,1,19,1,passed
8935792,28,0,0,0,0,2,1,266,1,passed
8937617,8,0,0,0,0,1,1,20,1,passed
8937681,28,0,0,0,0,2,1,267,1,passed
8945611,20,0,34,0,0,2,1,250,1,passed
9016378,10,0,6,0,0,3,1,284,1,passed
9017931,28,0,36,0,0,3,1,285,1,passed
9086501,3,0,0,0,0,3,2,156,2,failed
9086814,0,0,2,0,0,1,1,101,1,passed
9086876,0,0,2,0,0,1,1,101,1,passed
9088381,3,0,2,0,0,4,1,254,1,passed
9106645,17,0,0,3,0,2,1,27,1,passed
9107217,17,0,0,3,0,2,1,28,1,failed
9111896,0,2,2,0,0,1,1,107,1,passed
9117354,4,0,0,0,0,2,1,51,1,passed
9132900,3,0,0,0,0,1,1,58,1,passed
9144821,38,0,0,0,0,6,1,47,1,passed
9146684,3,0,0,0,0,1,1,59,1,passed
9148045,4,0,112,0,0,6,4,220,4,failed
9150179,0,0,2,0,0,1,1,11,1,failed
