tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
7678363,22392,0,835,115,7,124,236,96,236,failed
7678436,4062,0,401,18,16,93,43,213,43,failed
7678567,0,0,0,0,0,1,1,1,1,passed
7690194,6,0,0,0,0,1,1,2,1,passed
7692931,2,0,0,0,0,1,1,1,1,passed
7693996,53,0,0,0,0,2,1,3,1,passed
7696754,0,0,0,0,0,2,2,10,2,failed
8174013,241,0,164,2,0,5,4,15,4,passed
8286432,2,0,0,0,0,1,1,2,1,passed
8367035,13,0,0,0,0,1,1,1,1,passed
8405638,406,0,104,4,0,6,4,5,4,passed
8405709,15,0,0,0,0,3,1,2,1,passed
8442612,544,0,162,2,0,8,6,8,6,failed
8443043,0,0,12,0,0,1,1,2,1,passed
8444005,17,0,57,1,0,1,1,3,1,passed
8482395,265,0,92,0,0,6,2,13,2,passed
8520144,2,0,0,0,0,2,2,7,2,passed
8553612,47,0,0,0,0,4,2,14,2,passed
8567974,0,0,0,0,0,2,2,13,2,passed
8585430,114,0,0,0,0,1,1,1,1,passed
8592075,0,0,0,0,0,2,2,15,2,passed
8630175,9,0,254,1,0,1,1,1,1,passed
8632158,63,0,0,0,0,1,1,1,1,passed
8632479,16,0,0,0,0,1,1,9,1,passed
8669368,131,0,0,0,0,2,1,3,1,passed
8671259,92,0,0,0,0,2,2,8,2,passed
9074890,37,0,0,0,0,8,3,15,3,passed
9075246,2,0,0,0,0,1,1,4,1,passed
9910383,0,0,0,0,0,3,3,18,3,passed
9955280,554,0,0,6,0,8,5,2,5,passed
10042857,170,0,0,2,0,7,1,19,1,passed
10043331,47,0,0,0,0,2,1,1,1,passed
10294178,195,0,135,2,0,2,1,16,1,passed
11167747,1,0,0,0,0,1,1,3,1,passed
11716932,128,0,0,1,0,2,1,2,1,passed
12138179,150,0,0,0,0,12,1,2,1,passed
12150442,150,0,0,0,0,12,1,2,1,passed
12162960,78,0,0,0,0,2,1,1,1,passed
12166600,78,0,0,0,0,2,1,1,1,passed
12474176,92,0,0,0,0,6,1,3,1,passed
