tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
17626459,4778,0,419,1,0,256,1,37,1,failed
22267262,0,0,0,1,0,2,2,8,2,passed
22278501,2,0,0,1,0,2,1,31,1,passed
24114300,0,0,0,0,0,1,1,14,1,passed
24235340,0,0,0,0,0,1,1,15,1,passed
24271971,0,0,0,0,0,2,1,4,1,passed
24276776,0,0,0,0,0,2,1,5,1,passed
24726305,0,0,0,0,0,1,1,4,1,passed
24755745,0,0,0,0,0,1,1,5,1,passed
24919560,4,0,0,0,0,1,1,7,1,passed
25348054,18,0,0,0,0,1,1,3,1,passed
25349589,0,0,0,0,0,1,1,6,1,passed
25388558,62,0,0,0,0,1,1,25,1,passed
25478839,0,0,0,0,0,2,1,16,1,passed
25478869,18,0,0,0,0,1,1,4,1,passed
25478881,0,0,0,0,0,1,1,9,1,passed
25643168,17,0,1101,3,1,2,1,5,1,passed
25696352,0,0,7,0,0,1,1,1,1,passed
25719338,54,0,0,0,0,1,1,5,1,passed
25721656,0,0,0,0,1,1,1,3,1,passed
25952203,17,0,1094,3,1,2,1,7,1,passed
25952269,54,0,0,0,0,1,1,6,1,passed
25952278,0,0,0,0,1,1,1,4,1,passed
26158486,0,0,0,1,0,2,6,11,6,passed
26225205,0,0,0,1,0,1,1,18,1,passed
26241980,0,0,0,0,0,1,1,13,1,passed
26463069,0,0,0,0,0,1,1,8,1,passed
26463174,62,0,0,0,0,1,1,26,1,passed
26463222,0,0,0,0,0,1,1,14,1,passed
27408305,0,0,0,0,0,3,1,27,1,passed
27413394,0,0,0,0,0,3,1,28,1,passed
27431955,0,0,0,0,0,1,1,17,1,passed
27505844,0,0,0,0,0,1,1,18,1,passed
30894118,0,0,0,0,0,1,1,17,1,passed
31502325,4,0,0,0,0,1,1,12,1,passed
31503160,0,0,0,0,0,1,1,17,1,passed
32261728,122,0,0,0,0,6,1,21,1,passed
32377739,6,0,0,0,0,2,1,9,1,passed
32440804,6,0,0,0,0,1,1,3,1,passed
32753824,122,0,0,0,0,6,1,22,1,passed
32753834,6,0,0,0,0,2,1,10,1,passed
32753836,6,0,0,0,0,1,1,4,1,passed
33005829,0,0,0,0,0,2,1,35,1,passed
33369747,0,0,0,0,0,2,1,36,1,passed
33988455,60,0,0,0,0,4,1,7,1,passed
34289734,60,0,0,0,0,4,1,8,1,passed
35136521,0,0,0,0,0,1,1,20,1,passed
35211576,0,0,0,0,0,1,1,21,1,passed
35212036,0,0,0,0,0,1,1,18,1,passed
37625667,56,0,0,0,0,2,1,7,1,passed
38174080,56,0,0,0,0,2,1,8,1,passed
38616506,37,0,0,0,0,1,1,3,1,passed
38630364,80,0,0,0,0,2,1,5,1,passed
38658457,37,0,0,0,0,1,1,4,1,passed
38658525,80,0,0,0,0,2,1,6,1,passed
39412465,0,0,0,0,0,1,1,19,1,passed
39418776,10,0,0,0,0,1,1,5,1,passed
39433376,29,0,0,1,0,1,1,30,1,passed
39434334,29,0,0,1,0,1,1,31,1,passed
41003755,1,0,0,0,0,1,1,8,1,passed
41025110,1,0,0,0,0,1,1,9,1,passed
41263783,13037,0,1687,125,66,145,137,98,137,failed
41547043,282,0,0,2,8,26,14,100,14,failed
41615919,0,0,0,0,0,1,1,25,1,passed
41616290,83,0,0,0,0,3,1,13,1,passed
41648863,83,0,0,0,0,3,1,14,1,passed
41651080,0,0,0,0,0,1,1,20,1,passed
49221075,0,0,0,0,0,1,1,26,1,failed
49223598,0,0,0,0,0,1,1,27,1,failed
49343141,592,0,0,3,0,20,1,53,1,failed
50259262,592,0,0,3,0,20,1,54,1,failed
50402002,0,0,0,0,0,2,1,28,1,passed
50403163,0,0,0,0,0,4,1,45,1,passed
51889132,0,0,0,0,0,3,1,24,1,passed
51890739,0,0,0,0,0,3,1,25,1,passed
52042772,0,0,2,0,0,1,1,2,1,failed
52044724,0,0,15,0,0,2,2,6,2,failed
52045292,0,0,2,0,0,1,1,2,1,passed
52046751,0,0,2,0,0,1,1,3,1,passed
52163886,0,0,0,0,0,1,1,30,1,passed
52163958,28,0,0,0,0,1,1,10,1,passed
52165525,190,0,0,0,0,4,1,14,1,passed
52169107,28,0,0,0,0,1,1,11,1,passed
52171718,28,0,0,0,0,2,2,32,2,passed
52203522,0,0,0,0,0,2,4,43,4,passed
52322007,0,0,0,0,0,1,1,25,1,passed
52328961,0,0,0,0,0,1,1,34,1,passed
52329368,0,0,0,0,0,1,1,26,1,passed
52437883,0,0,0,0,0,1,1,35,1,passed
52441882,0,0,0,0,0,1,1,36,1,passed
52465903,17,0,0,0,0,1,1,4,1,passed
52466754,4,0,0,0,0,2,1,15,1,passed
52473807,17,0,0,0,0,1,1,5,1,passed
52474015,4,0,0,0,0,2,1,16,1,passed
52475412,0,0,0,0,0,1,1,24,1,passed
52950089,2,0,0,0,0,1,1,33,1,passed
52950615,4,0,0,0,0,1,1,34,1,passed
52961240,0,0,0,0,0,1,1,28,1,passed
52961642,0,0,0,0,0,1,1,29,1,passed
53220325,61,0,0,0,0,5,1,23,1,passed
53254803,6,0,0,0,0,3,1,21,1,passed
53255857,0,0,0,0,0,1,1,25,1,passed
53693036,0,0,0,0,0,1,1,31,1,passed
56567171,0,0,0,2,0,1,2,32,2,passed
56663175,0,0,0,0,1,2,3,33,3,passed
56721553,0,0,0,2,0,0,1,1,1,passed
62329218,21,0,0,0,0,1,1,7,1,passed
65089590,0,0,0,0,0,1,1,30,1,passed
65090910,0,0,0,0,0,1,1,26,1,passed
65100019,0,0,0,0,0,1,1,2,1,passed
72842708,13,2,0,0,0,1,1,2,1,passed
72843467,12,0,0,0,0,1,1,3,1,passed
74420318,0,0,54,2,0,2,2,2,2,failed
74447220,102,0,41,0,0,6,1,17,1,passed
75499570,102,0,41,0,0,6,1,18,1,passed
92778363,0,0,0,0,0,0,1,0,1,passed
92781800,10,0,0,1,0,3,1,187,1,passed
92785409,8,0,0,0,0,1,1,50,1,passed
92785781,255,0,0,5,0,2,1,130,1,passed
92787389,36,0,0,0,0,1,1,1,1,passed
92808510,2,0,0,0,0,1,1,51,1,passed
92813303,5,0,0,0,0,1,1,52,1,passed
