tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
991406,0,0,0,0,0,1,1,4,1,passed
1255413,0,0,0,0,0,1,1,4,1,passed
1255450,3,0,0,0,0,1,1,41,1,passed
1493467,3,0,0,0,0,1,1,41,1,passed
1493508,3,0,0,0,0,1,1,41,1,passed
1493512,3,0,0,0,0,1,1,41,1,passed
1493518,3,0,0,0,0,1,1,41,1,passed
1493569,2,0,0,0,0,1,1,43,1,passed
1493574,2,0,0,0,0,1,1,43,1,passed
1493590,2,0,0,0,0,1,1,43,1,passed
1493599,2,0,0,0,0,1,1,43,1,passed
1493638,2,0,0,0,0,1,1,43,1,passed
2170293,8,0,0,0,0,1,1,45,1,passed
3229204,3,0,5,0,0,2,1,45,1,passed
3837983,2,0,0,0,0,1,1,46,1,passed
3917836,2,0,0,0,0,1,1,46,1,passed
4771167,2,0,0,0,0,1,1,42,1,passed
4867303,2,0,0,0,0,1,1,36,1,passed
4959815,8,0,7,0,0,4,1,59,1,passed
4974055,2,0,0,0,0,1,1,38,1,passed
4974067,2,0,0,0,0,1,1,43,1,passed
4974076,2,0,0,0,0,1,1,47,1,passed
4974157,0,0,0,0,0,0,1,0,1,passed
4974244,3,0,5,0,0,2,1,49,1,passed
4974267,6,0,9,0,0,2,1,52,1,passed
4974667,5,0,0,0,0,1,1,5,1,passed
5629101,4,0,0,0,0,1,2,43,2,failed
6472777,0,0,0,0,0,0,1,0,1,failed
6735627,6,0,0,0,0,2,1,19,1,failed
6736351,4,0,0,0,0,1,1,21,1,failed
6737315,5,0,0,0,0,2,1,54,1,failed
6969232,129,0,0,0,0,1,1,49,1,failed
7040891,129,0,0,0,0,1,1,50,1,failed
7040898,0,0,0,0,0,0,1,1,1,failed
7041204,2,0,0,0,0,1,1,45,1,failed
7135692,13,0,0,0,0,1,1,51,1,failed
7983695,5,0,40,0,0,2,1,56,1,failed
8027153,5,0,40,0,0,2,1,57,1,failed
8027309,9,0,0,0,0,3,1,22,1,failed
10066732,4,0,39,0,0,2,1,50,1,failed
10558167,6,0,0,0,0,1,1,51,1,failed
10576605,0,0,0,0,0,1,1,2,1,failed
10576657,0,0,0,0,0,1,1,3,1,failed
10577743,13,0,0,0,0,1,1,53,1,failed
10668823,0,0,0,1,0,0,1,0,1,failed
10805220,9,0,34,0,0,2,1,52,1,failed
10805259,9,0,34,0,0,2,1,53,1,failed
11601362,9,0,0,0,0,3,1,59,1,passed
12158198,52,0,50,2,0,6,7,153,7,passed
12466263,2,0,8,1,0,2,1,58,1,passed
12501149,2,0,8,1,0,2,1,59,1,passed
14642848,21,1,8,0,0,2,2,60,2,passed
14871274,6,0,0,0,0,1,1,55,1,passed
14901180,6,0,0,0,0,1,1,56,1,passed
15466193,19,0,8,0,0,2,1,62,1,passed
15650451,9,0,6,0,0,2,1,58,1,passed
18019799,9,0,6,0,0,2,1,59,1,passed
18086480,8,0,0,0,0,1,1,58,1,passed
18086689,45,0,34,0,0,3,1,114,1,passed
18326141,11,0,0,0,0,1,1,53,1,passed
18478310,11,0,0,0,0,1,1,54,1,passed
18479145,4,0,14,0,0,2,1,70,1,passed
18487936,9,0,9,0,0,2,2,53,2,failed
18488564,0,0,14,0,0,1,1,43,1,passed
18498941,4,0,14,0,0,2,1,73,1,passed
19154537,11,0,0,0,0,1,1,3,1,passed
19155162,2,0,0,0,0,1,1,24,1,passed
19155251,4,0,0,0,0,2,1,27,1,passed
21069363,2,0,0,0,0,1,1,64,1,passed
21178485,2,0,14,0,0,2,1,77,1,passed
21215592,11,0,0,0,0,3,1,31,1,passed
25283182,22,0,260,0,0,5,1,131,1,passed
31552508,2,0,0,0,0,1,1,17,1,passed
31554069,2,0,0,0,0,1,1,18,1,passed
32109175,26,0,33,0,0,7,1,173,1,failed
32109277,4,0,6,0,0,2,2,81,2,failed
32109291,0,0,2,0,0,1,1,51,1,passed
32111685,0,0,6,0,0,1,1,8,1,passed
32112455,0,0,0,0,0,1,1,7,1,passed
32113387,4,0,6,0,0,2,1,84,1,passed
32124957,4,0,0,0,0,1,1,11,1,passed
32164444,26,0,0,0,0,1,1,57,1,passed
33219201,0,0,4,0,0,2,2,64,2,passed
35303880,16,0,2,0,0,2,2,67,2,passed
35394835,16,0,2,0,0,2,1,70,1,passed
52830665,2,0,0,0,0,1,1,63,1,passed
60164940,1,0,0,0,0,1,1,53,1,passed
60166882,0,0,2,0,0,1,1,57,1,passed
61001867,177,2,0,0,0,3,1,141,1,passed
61482786,4,0,12,0,0,2,1,95,1,passed
61538311,2,0,0,0,0,1,1,10,1,passed
61846833,2,0,98,1,0,1,1,61,1,passed
61847188,0,0,143,0,0,2,1,64,1,passed
61848963,5,0,3,0,0,2,1,27,1,passed
61900452,2,0,98,1,0,1,1,62,1,passed
62153734,4,0,17,0,0,2,1,97,1,passed
62756430,0,0,141,0,0,2,1,68,1,passed
62825427,10,0,21,0,0,2,1,100,1,passed
62825492,4,0,6,0,0,2,1,75,1,passed
62826233,2,0,0,0,0,1,1,68,1,passed
62827530,0,0,4,0,0,1,1,17,1,passed
63089516,0,0,4,0,0,1,1,18,1,passed
63268870,10,0,21,0,0,2,1,101,1,passed
65488936,4,0,5,0,0,2,1,104,1,passed
69823282,0,0,0,0,0,1,1,11,1,passed
70094291,11,0,0,0,0,2,1,20,1,passed
70115597,16,0,16,0,0,2,1,109,1,passed
70382747,0,0,152,0,0,3,1,108,1,passed
70618735,0,0,0,0,0,1,1,13,1,passed
70619081,32,0,4,0,0,2,1,114,1,passed
70619729,66,0,67,0,0,4,6,120,6,passed
71185746,52,9,47,0,0,4,1,126,1,passed
76385871,8,0,0,0,0,1,1,15,1,passed
76628435,2,0,0,0,0,1,1,13,1,passed
77405647,2,0,0,0,0,1,1,12,1,passed
77416834,8,0,0,0,0,2,1,27,1,passed
84698579,228,0,78,3,0,5,1,135,1,passed
89690878,10,0,18,0,0,2,1,84,1,passed
93773479,1,0,0,0,0,1,1,54,1,passed
93814595,1,0,0,0,0,1,1,55,1,passed
102932521,0,0,0,0,0,1,1,15,1,passed
102945102,81,0,132,2,0,5,1,220,1,passed
115794961,18,0,0,0,0,1,5,74,5,passed
116115443,16,0,0,0,0,1,1,79,1,passed
